確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0786,2004,25,連江縣,南竿鄉,M,0,20~24,1,09007,09007010
0786,2004,25,屏東縣,萬丹鄉,M,0,60~64,1,10013,10013050
0786,2005,19,台中市,南屯區,M,0,40~44,1,66000,66000070
0786,2006,19,澎湖縣,馬公市,M,0,25~29,1,10016,10016010
0786,2006,23,高雄市,楠梓區,M,0,20~24,1,64000,64000040
0786,2006,39,台北市,信義區,M,0,20~24,1,63000,63000020
0786,2008,2,新北市,新店區,M,1,45~49,1,65000,65000060
0786,2008,15,高雄市,前鎮區,M,0,25~29,1,64000,64000090
0786,2010,14,新北市,五股區,M,0,35~39,1,65000,65000150
0786,2012,28,高雄市,阿蓮區,M,0,60~64,1,64000,64000230
0786,2014,8,高雄市,前鎮區,M,0,60~64,1,64000,64000090
0786,2014,53,新北市,蘆洲區,M,0,40~44,1,65000,65000140
0786,2015,29,新北市,新店區,M,0,50~54,1,65000,65000060
0786,2015,38,新北市,三重區,M,0,55~59,1,65000,65000020
0786,2016,10,高雄市,苓雅區,F,0,70+,1,64000,64000080
0786,2016,13,高雄市,苓雅區,F,0,20~24,1,64000,64000080
0786,2016,16,高雄市,苓雅區,M,0,55~59,1,64000,64000080
0786,2017,2,高雄市,鳳山區,M,0,55~59,1,64000,64000120
0786,2018,14,新北市,淡水區,M,0,40~44,1,65000,65000100
0786,2019,34,宜蘭縣,蘇澳鎮,M,0,25~29,1,10002,10002030
0786,2019,47,新北市,三重區,F,1,60~64,1,65000,65000020
0786,2020,3,高雄市,三民區,F,0,50~54,1,64000,64000050
0786,2020,3,高雄市,三民區,F,0,65~69,1,64000,64000050
0786,2020,10,高雄市,三民區,F,0,45~49,1,64000,64000050
0786,2020,18,高雄市,鹽埕區,M,0,30~34,1,64000,64000010
0786,2020,19,基隆市,安樂區,M,0,40~44,1,10017,10017060
0786,2020,19,新北市,三重區,F,0,55~59,1,65000,65000020
0786,2020,24,高雄市,鳳山區,F,0,55~59,1,64000,64000120
0786,2020,25,屏東縣,屏東市,M,0,45~49,1,10013,10013010
0786,2020,37,屏東縣,萬丹鄉,F,0,55~59,1,10013,10013050
0786,2020,42,新北市,三重區,F,0,50~54,1,65000,65000020
0786,2020,44,屏東縣,屏東市,F,0,35~39,1,10013,10013010
0786,2021,1,高雄市,前鎮區,M,0,15~19,1,64000,64000090
0786,2021,4,高雄市,苓雅區,M,0,50~54,1,64000,64000080
0786,2021,7,彰化縣,大村鄉,M,0,30~34,1,10007,10007130
0786,2021,14,高雄市,岡山區,M,0,35~39,1,64000,64000190
0786,2021,19,高雄市,前鎮區,M,0,60~64,1,64000,64000090
0786,2021,21,高雄市,湖內區,M,0,50~54,1,64000,64000250
0786,2021,23,台中市,清水區,M,0,45~49,1,66000,66000120
0786,2021,29,新北市,蘆洲區,F,0,60~64,1,65000,65000140
0786,2021,32,台北市,中正區,M,0,45~49,1,63000,63000050
