確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0786,2004,01,連江縣,南竿鄉,M,0,20~24,1,09007,09007010
0786,2004,03,屏東縣,萬丹鄉,M,0,60~64,1,10013,10013050
0786,2004,06,台中市,南屯區,M,0,40~44,1,66000,66000070
0786,2006,03,澎湖縣,馬公市,M,0,25~29,1,10016,10016010
0786,2006,04,台北市,信義區,M,0,20~24,1,63000,63000020
0786,2006,05,高雄市,楠梓區,M,0,20~24,1,64000,64000040
0786,2007,12,新北市,新店區,M,1,45~49,1,65000,65000060
0786,2008,03,高雄市,前鎮區,M,0,25~29,1,64000,64000090
0786,2010,03,新北市,五股區,M,0,35~39,1,65000,65000150
0786,2012,06,高雄市,阿蓮區,M,0,60~64,1,64000,64000230
0786,2014,02,高雄市,前鎮區,M,0,60~64,1,64000,64000090
0786,2014,12,新北市,蘆洲區,M,0,40~44,1,65000,65000140
0786,2015,07,新北市,新店區,M,0,50~54,1,65000,65000060
0786,2015,08,新北市,三重區,M,0,55~59,1,65000,65000020
0786,2016,02,高雄市,苓雅區,F,0,70+,1,64000,64000080
0786,2016,03,高雄市,苓雅區,F,0,20~24,1,64000,64000080
0786,2016,04,高雄市,苓雅區,M,0,55~59,1,64000,64000080
0786,2016,12,高雄市,鳳山區,M,0,55~59,1,64000,64000120
0786,2018,03,新北市,淡水區,M,0,40~44,1,65000,65000100
0786,2019,08,宜蘭縣,蘇澳鎮,M,0,25~29,1,10002,10002030
0786,2019,11,新北市,三重區,F,1,60~64,1,65000,65000020
0786,2019,12,高雄市,三民區,F,0,65~69,1,64000,64000050
0786,2020,01,高雄市,三民區,F,0,50~54,1,64000,64000050
0786,2020,02,高雄市,三民區,F,0,45~49,1,64000,64000050
0786,2020,04,基隆市,安樂區,M,0,40~44,1,10017,10017060
0786,2020,04,高雄市,鳳山區,F,0,55~59,1,64000,64000120
0786,2020,04,高雄市,鹽埕區,M,0,30~34,1,64000,64000010
0786,2020,04,新北市,三重區,F,0,55~59,1,65000,65000020
0786,2020,06,屏東縣,屏東市,M,0,45~49,1,10013,10013010
0786,2020,08,屏東縣,萬丹鄉,F,0,55~59,1,10013,10013050
0786,2020,09,新北市,三重區,F,0,50~54,1,65000,65000020
0786,2020,10,屏東縣,屏東市,F,0,35~39,1,10013,10013010
0786,2020,12,高雄市,前鎮區,M,0,15~19,1,64000,64000090
0786,2021,01,彰化縣,大村鄉,M,0,30~34,1,10007,10007130
0786,2021,01,高雄市,苓雅區,M,0,50~54,1,64000,64000080
0786,2021,03,高雄市,岡山區,M,0,35~39,1,64000,64000190
0786,2021,04,高雄市,前鎮區,M,0,60~64,1,64000,64000090
0786,2021,04,高雄市,湖內區,M,0,50~54,1,64000,64000250
0786,2021,05,台中市,清水區,M,0,45~49,1,66000,66000120
0786,2021,07,台北市,中正區,M,0,45~49,1,63000,63000050
0786,2021,07,新北市,蘆洲區,F,0,60~64,1,65000,65000140
