確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
084,2003,02,新北市,板橋區,M,1,45~49,1,65000,65000010
084,2003,02,新北市,樹林區,F,1,25~29,1,65000,65000070
084,2003,02,新北市,樹林區,M,1,35~39,1,65000,65000070
084,2003,02,其他,其他,M,1,35~39,1,99999,99999999
084,2003,03,花蓮縣,吉安鄉,M,1,40~44,1,10015,10015050
084,2003,04,台東縣,達仁鄉,M,1,25~29,1,10014,10014150
084,2003,04,新北市,板橋區,F,1,25~29,1,65000,65000010
084,2003,05,屏東縣,屏東市,M,1,30~34,1,10013,10013010
084,2003,05,台北市,松山區,M,1,60~64,1,63000,63000010
084,2003,06,彰化縣,彰化市,M,1,35~39,1,10007,10007010
084,2003,06,台東縣,大武鄉,M,1,45~49,1,10014,10014100
084,2003,06,花蓮縣,花蓮市,F,1,25~29,1,10015,10015010
084,2003,06,高雄市,三民區,F,1,25~29,1,64000,64000050
084,2003,06,高雄市,楠梓區,M,1,55~59,1,64000,64000040
084,2003,06,新北市,八里區,F,1,55~59,1,65000,65000230
084,2003,06,桃園市,桃園區,M,1,40~44,1,68000,68000010
084,2003,07,台東縣,大武鄉,M,1,45~49,1,10014,10014100
084,2003,08,台東縣,太麻里鄉,M,1,30~34,1,10014,10014090
084,2003,08,桃園市,桃園區,M,1,60~64,1,68000,68000010
084,2003,09,台東縣,太麻里鄉,M,0,55~59,1,10014,10014090
084,2003,09,新竹市,北區,M,1,65~69,1,10018,10018020
084,2003,09,桃園市,龍潭區,F,1,15~19,1,68000,68000090
084,2003,09,其他,其他,F,1,40~44,1,99999,99999999
084,2003,10,宜蘭縣,五結鄉,M,1,25~29,1,10002,10002090
084,2003,10,桃園市,桃園區,M,1,50~54,1,68000,68000010
084,2003,11,台東縣,太麻里鄉,M,0,20~24,1,10014,10014090
084,2003,11,新北市,中和區,M,1,50~54,1,65000,65000030
084,2003,11,桃園市,平鎮區,M,1,45~49,1,68000,68000100
084,2003,11,桃園市,觀音區,M,1,3,1,68000,68000120
084,2003,12,屏東縣,佳冬鄉,M,1,35~39,1,10013,10013210
084,2003,12,高雄市,前鎮區,M,1,45~49,1,64000,64000090
084,2003,12,新北市,三重區,M,1,60~64,1,65000,65000020
084,2003,12,台中市,梧棲區,F,1,45~49,1,66000,66000140
084,2003,12,台中市,沙鹿區,F,1,25~29,1,66000,66000130
084,2004,01,台北市,松山區,M,1,55~59,1,63000,63000010
084,2004,01,高雄市,鼓山區,M,1,35~39,1,64000,64000020
084,2004,01,新北市,三重區,M,1,40~44,1,65000,65000020
084,2004,01,新北市,蘆洲區,M,1,40~44,1,65000,65000140
084,2004,02,高雄市,鳳山區,M,1,35~39,1,64000,64000120
084,2004,02,高雄市,鹽埕區,M,1,35~39,1,64000,64000010
084,2004,03,宜蘭縣,宜蘭市,M,1,35~39,1,10002,10002010
084,2004,03,台東縣,達仁鄉,M,1,30~34,1,10014,10014150
084,2004,03,台北市,文山區,M,1,50~54,1,63000,63000080
084,2004,03,台中市,北區,M,1,35~39,1,66000,66000050
084,2004,04,苗栗縣,苗栗市,F,1,30~34,1,10005,10005010
084,2004,04,台北市,文山區,F,1,35~39,1,63000,63000080
084,2004,04,高雄市,杉林區,M,1,50~54,1,64000,64000340
084,2004,06,台北市,大安區,M,1,30~34,1,63000,63000030
084,2004,07,花蓮縣,吉安鄉,M,1,45~49,1,10015,10015050
084,2004,08,新北市,新店區,M,1,30~34,1,65000,65000060
084,2004,10,新北市,林口區,M,1,40~44,1,65000,65000170
084,2004,11,台北市,中正區,M,1,25~29,1,63000,63000050
084,2005,02,南投縣,埔里鎮,M,1,60~64,1,10008,10008020
084,2005,02,高雄市,三民區,M,1,45~49,1,64000,64000050
084,2005,02,台中市,后里區,F,1,20~24,1,66000,66000150
084,2005,03,高雄市,小港區,F,1,50~54,1,64000,64000110
084,2005,04,新北市,林口區,M,1,40~44,1,65000,65000170
084,2005,05,台中市,梧棲區,M,1,25~29,1,66000,66000140
084,2005,06,苗栗縣,三義鄉,M,1,65~69,1,10005,10005130
084,2005,06,雲林縣,西螺鎮,M,1,50~54,1,10009,10009040
084,2005,06,台北市,信義區,M,1,20~24,1,63000,63000020
084,2005,06,高雄市,三民區,M,1,35~39,1,64000,64000050
084,2005,06,台中市,梧棲區,M,1,50~54,1,66000,66000140
084,2005,06,桃園市,桃園區,F,1,40~44,1,68000,68000010
084,2005,06,桃園市,桃園區,F,1,60~64,1,68000,68000010
084,2005,07,台北市,信義區,F,1,65~69,1,63000,63000020
084,2005,08,新北市,三重區,M,1,25~29,1,65000,65000020
084,2005,08,新北市,新店區,F,1,30~34,1,65000,65000060
084,2005,08,新北市,林口區,M,1,35~39,1,65000,65000170
084,2005,08,台中市,沙鹿區,M,1,15~19,1,66000,66000130
084,2005,09,新竹縣,竹北市,M,1,35~39,1,10004,10004010
084,2005,10,高雄市,鳳山區,M,1,50~54,1,64000,64000120
084,2005,10,新北市,新店區,F,1,40~44,1,65000,65000060
084,2005,10,台中市,沙鹿區,M,1,55~59,1,66000,66000130
084,2005,11,桃園市,觀音區,F,1,35~39,1,68000,68000120
084,2005,11,桃園市,觀音區,M,1,5~9,1,68000,68000120
084,2005,12,高雄市,三民區,M,1,50~54,1,64000,64000050
084,2005,12,高雄市,仁武區,M,1,40~44,1,64000,64000170
084,2006,01,台北市,信義區,M,1,20~24,1,63000,63000020
084,2006,01,新北市,淡水區,M,1,55~59,1,65000,65000100
084,2006,01,台中市,南區,M,1,35~39,1,66000,66000030
084,2006,01,桃園市,桃園區,M,1,50~54,1,68000,68000010
084,2006,02,桃園市,蘆竹區,M,1,35~39,1,68000,68000050
084,2006,04,台北市,中山區,F,1,10~14,1,63000,63000040
084,2006,04,台北市,士林區,M,1,10~14,4,63000,63000110
084,2006,04,新北市,永和區,M,1,15~19,1,65000,65000040
084,2006,05,屏東縣,東港鎮,M,1,45~49,1,10013,10013030
084,2006,05,台北市,大安區,F,1,30~34,1,63000,63000030
084,2006,06,台中市,梧棲區,M,1,20~24,1,66000,66000140
084,2006,06,桃園市,桃園區,M,1,50~54,1,68000,68000010
084,2006,07,屏東縣,東港鎮,M,1,40~44,1,10013,10013030
084,2006,07,屏東縣,琉球鄉,M,1,50~54,1,10013,10013220
084,2006,08,台北市,中山區,M,1,50~54,1,63000,63000040
084,2006,08,台北市,士林區,M,1,20~24,1,63000,63000110
084,2006,08,新北市,永和區,M,1,25~29,1,65000,65000040
084,2006,08,台中市,大雅區,M,1,5~9,1,66000,66000180
084,2006,09,彰化縣,伸港鄉,M,1,30~34,1,10007,10007050
084,2006,09,桃園市,中壢區,M,1,40~44,1,68000,68000020
084,2006,10,新北市,淡水區,M,1,30~34,1,65000,65000100
084,2006,11,台北市,中正區,M,1,35~39,1,63000,63000050
084,2006,12,台中市,后里區,M,1,30~34,1,66000,66000150
084,2007,01,台中市,太平區,M,1,45~49,1,66000,66000270
084,2007,02,台南市,東區,M,1,45~49,1,67000,67000320
084,2007,03,新北市,淡水區,M,1,25~29,1,65000,65000100
084,2007,04,新北市,板橋區,M,1,60~64,1,65000,65000010
084,2007,07,桃園市,桃園區,M,1,50~54,1,68000,68000010
084,2007,08,新北市,新莊區,M,1,40~44,1,65000,65000050
084,2007,09,屏東縣,竹田鄉,M,1,50~54,1,10013,10013140
084,2007,09,台北市,松山區,M,1,55~59,1,63000,63000010
084,2007,09,桃園市,桃園區,M,1,35~39,1,68000,68000010
084,2007,10,高雄市,楠梓區,M,1,55~59,1,64000,64000040
084,2007,11,高雄市,仁武區,F,1,40~44,1,64000,64000170
084,2007,12,屏東縣,屏東市,M,1,30~34,1,10013,10013010
084,2007,12,台北市,大安區,M,1,55~59,1,63000,63000030
084,2008,01,新竹縣,竹東鎮,M,1,45~49,1,10004,10004020
084,2008,01,台南市,永康區,M,1,55~59,1,67000,67000310
084,2008,02,雲林縣,麥寮鄉,M,1,25~29,1,10009,10009130
084,2008,02,屏東縣,屏東市,M,1,35~39,1,10013,10013010
084,2008,02,高雄市,前鎮區,M,1,35~39,1,64000,64000090
084,2008,04,花蓮縣,花蓮市,M,1,45~49,1,10015,10015010
084,2008,05,台中縣(舊),大里市,M,1,30~34,1,10006,10006200
084,2008,06,高雄市,鳳山區,M,1,35~39,1,64000,64000120
084,2008,07,苗栗縣,竹南鎮,M,1,40~44,1,10005,10005040
084,2008,07,苗栗縣,造橋鄉,M,1,45~49,1,10005,10005150
084,2008,07,台北市,南港區,F,1,20~24,1,63000,63000090
084,2008,09,金門縣,金湖鎮,M,1,35~39,1,09020,09020030
084,2008,09,基隆市,中正區,M,1,25~29,1,10017,10017010
