確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
061,2003,01,屏東縣,屏東市,M,0,10~14,1,10013,10013010
061,2003,01,屏東縣,屏東市,F,0,30~34,1,10013,10013010
061,2003,01,屏東縣,屏東市,F,0,40~44,1,10013,10013010
061,2003,01,屏東縣,屏東市,F,0,45~49,1,10013,10013010
061,2003,01,屏東縣,屏東市,M,0,45~49,1,10013,10013010
061,2003,01,屏東縣,屏東市,M,0,55~59,2,10013,10013010
061,2003,01,屏東縣,屏東市,M,0,70+,1,10013,10013010
061,2003,01,屏東縣,滿州鄉,F,0,40~44,1,10013,10013240
061,2003,01,屏東縣,長治鄉,F,0,35~39,1,10013,10013060
061,2003,01,台北市,中山區,F,1,35~39,1,63000,63000040
061,2003,01,台北市,內湖區,M,1,35~39,1,63000,63000100
061,2003,01,高雄市,三民區,M,0,1,1,64000,64000050
061,2003,01,高雄市,三民區,M,0,1,1,64000,64000051
061,2003,01,高雄市,三民區,M,0,1,1,64000,64000052
061,2003,01,高雄市,三民區,F,0,15~19,1,64000,64000050
061,2003,01,高雄市,三民區,F,0,15~19,1,64000,64000051
061,2003,01,高雄市,三民區,F,0,15~19,1,64000,64000052
061,2003,01,高雄市,三民區,F,0,25~29,1,64000,64000050
061,2003,01,高雄市,三民區,F,0,25~29,1,64000,64000051
061,2003,01,高雄市,三民區,F,0,25~29,1,64000,64000052
061,2003,01,高雄市,三民區,F,0,30~34,1,64000,64000050
061,2003,01,高雄市,三民區,F,0,30~34,1,64000,64000051
061,2003,01,高雄市,三民區,F,0,30~34,1,64000,64000052
061,2003,01,高雄市,三民區,F,0,40~44,2,64000,64000050
061,2003,01,高雄市,三民區,F,0,40~44,2,64000,64000051
061,2003,01,高雄市,三民區,F,0,40~44,2,64000,64000052
061,2003,01,高雄市,三民區,M,0,45~49,3,64000,64000050
061,2003,01,高雄市,三民區,M,0,45~49,3,64000,64000051
061,2003,01,高雄市,三民區,M,0,45~49,3,64000,64000052
061,2003,01,高雄市,三民區,M,0,50~54,1,64000,64000050
061,2003,01,高雄市,三民區,M,0,50~54,1,64000,64000051
061,2003,01,高雄市,三民區,M,0,50~54,1,64000,64000052
061,2003,01,高雄市,三民區,M,0,55~59,1,64000,64000050
061,2003,01,高雄市,三民區,M,0,55~59,1,64000,64000051
061,2003,01,高雄市,三民區,M,0,55~59,1,64000,64000052
061,2003,01,高雄市,三民區,F,0,60~64,1,64000,64000050
061,2003,01,高雄市,三民區,F,0,60~64,1,64000,64000051
061,2003,01,高雄市,三民區,F,0,60~64,1,64000,64000052
061,2003,01,高雄市,三民區,M,0,60~64,1,64000,64000050
061,2003,01,高雄市,三民區,M,0,60~64,1,64000,64000051
061,2003,01,高雄市,三民區,M,0,60~64,1,64000,64000052
061,2003,01,高雄市,三民區,F,0,65~69,1,64000,64000050
061,2003,01,高雄市,三民區,F,0,65~69,1,64000,64000051
061,2003,01,高雄市,三民區,F,0,65~69,1,64000,64000052
061,2003,01,高雄市,三民區,M,0,65~69,1,64000,64000050
061,2003,01,高雄市,三民區,M,0,65~69,1,64000,64000051
061,2003,01,高雄市,三民區,M,0,65~69,1,64000,64000052
061,2003,01,高雄市,三民區,F,0,70+,2,64000,64000050
061,2003,01,高雄市,三民區,F,0,70+,2,64000,64000051
061,2003,01,高雄市,三民區,F,0,70+,2,64000,64000052
061,2003,01,高雄市,前金區,M,0,65~69,1,64000,64000070
061,2003,01,高雄市,大寮區,F,0,30~34,1,64000,64000140
061,2003,01,高雄市,小港區,M,0,55~59,1,64000,64000110
061,2003,01,高雄市,左營區,M,0,50~54,1,64000,64000030
061,2003,01,高雄市,楠梓區,M,0,60~64,1,64000,64000040
061,2003,01,高雄市,苓雅區,M,1,30~34,1,64000,64000080
061,2003,01,高雄市,路竹區,F,0,35~39,1,64000,64000240
061,2003,01,高雄市,鳥松區,M,0,45~49,1,64000,64000180
061,2003,01,高雄市,鳳山區,M,0,15~19,1,64000,64000120
061,2003,01,高雄市,鳳山區,M,0,30~34,2,64000,64000120
061,2003,01,高雄市,鳳山區,M,0,45~49,1,64000,64000120
061,2003,01,高雄市,鳳山區,M,0,70+,1,64000,64000120
