確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
033,2004,36,桃園市,大溪區,F,0,0,1,68000,68000030
033,2004,37,台北市,信義區,F,0,10~14,1,63000,63000020
033,2004,38,台北市,中山區,M,0,15~19,1,63000,63000040
033,2004,39,新北市,樹林區,M,0,0,1,65000,65000070
033,2004,40,嘉義縣,梅山鄉,F,0,10~14,1,10010,10010150
033,2004,41,台北市,中山區,F,0,10~14,1,63000,63000040
033,2004,42,台北市,中山區,F,0,10~14,1,63000,63000040
033,2004,45,宜蘭縣,頭城鎮,M,0,10~14,1,10002,10002040
033,2004,47,宜蘭縣,頭城鎮,F,0,10~14,1,10002,10002040
033,2004,49,新北市,鶯歌區,M,0,0,1,65000,65000080
033,2004,51,宜蘭縣,頭城鎮,M,0,10~14,1,10002,10002040
033,2004,51,宜蘭縣,頭城鎮,F,0,35~39,1,10002,10002040
033,2004,51,新北市,鶯歌區,F,0,70+,1,65000,65000080
033,2005,4,新北市,蘆洲區,F,0,0,1,65000,65000140
033,2005,6,宜蘭縣,頭城鎮,M,0,10~14,1,10002,10002040
033,2005,9,台中市,北屯區,F,0,0,1,66000,66000080
033,2005,9,台中市,西屯區,M,0,0,1,66000,66000060
033,2005,10,高雄市,大社區,M,0,0,1,64000,64000160
033,2005,10,台中市,西屯區,M,0,20~24,1,66000,66000060
033,2005,11,台中市,西屯區,M,0,25~29,1,66000,66000060
033,2005,13,宜蘭縣,頭城鎮,F,0,10~14,1,10002,10002040
033,2005,13,宜蘭縣,頭城鎮,M,0,10~14,2,10002,10002040
033,2005,13,新竹縣,新豐鄉,F,0,30~34,1,10004,10004060
033,2005,13,高雄市,大社區,M,0,25~29,1,64000,64000160
033,2005,13,台中市,潭子區,F,0,0,1,66000,66000170
033,2005,16,台北市,中正區,F,0,0,1,63000,63000050
033,2005,16,新北市,土城區,F,0,0,1,65000,65000130
033,2005,18,台北市,中正區,F,0,50~54,1,63000,63000050
033,2005,18,台北市,中正區,M,0,60~64,1,63000,63000050
033,2005,18,台中市,北屯區,F,0,0,1,66000,66000080
033,2005,22,新北市,新店區,M,0,0,1,65000,65000060
033,2005,22,新北市,鶯歌區,M,0,0,1,65000,65000080
033,2005,22,桃園市,平鎮區,M,0,10~14,1,68000,68000100
033,2005,23,新北市,中和區,F,0,0,1,65000,65000030
033,2005,23,新北市,新店區,F,0,35~39,1,65000,65000060
033,2005,24,新北市,新店區,M,0,10~14,1,65000,65000060
033,2005,24,新北市,新店區,M,0,5~9,1,65000,65000060
033,2005,25,新北市,板橋區,M,0,0,1,65000,65000010
033,2005,29,宜蘭縣,五結鄉,M,0,0,1,10002,10002090
033,2005,29,宜蘭縣,五結鄉,M,0,35~39,1,10002,10002090
033,2005,29,彰化縣,彰化市,M,0,0,1,10007,10007010
033,2005,29,新北市,板橋區,F,0,45~49,1,65000,65000010
033,2005,31,新北市,板橋區,M,0,0,1,65000,65000010
033,2005,33,新北市,中和區,M,0,0,1,65000,65000030
