確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
033,2003,01,新北市,三峽區,M,0,2,1,65000,65000090
033,2003,02,南投縣,南投市,F,0,10~14,1,10008,10008010
033,2003,02,台北市,萬華區,M,0,0,1,63000,63000070
033,2003,03,南投縣,南投市,F,0,0,1,10008,10008010
033,2003,03,新北市,汐止區,F,0,0,1,65000,65000110
033,2003,04,新北市,三重區,F,0,0,1,65000,65000020
033,2003,04,新北市,三重區,M,0,30~34,1,65000,65000020
033,2003,04,新北市,三重區,F,0,45~49,1,65000,65000020
033,2003,04,新北市,三重區,M,0,45~49,1,65000,65000020
033,2003,04,新北市,新莊區,M,0,0,1,65000,65000050
033,2003,04,桃園市,八德區,F,0,15~19,1,68000,68000080
033,2003,06,雲林縣,斗南鎮,M,0,0,1,10009,10009020
033,2003,06,基隆市,中正區,F,0,5~9,1,10017,10017010
033,2003,06,台北市,中山區,M,0,0,1,63000,63000040
033,2003,06,台北市,中山區,F,0,5~9,1,63000,63000040
033,2003,06,桃園市,蘆竹區,M,0,0,1,68000,68000050
033,2003,07,基隆市,中正區,F,0,55~59,1,10017,10017010
033,2003,07,台中市,潭子區,F,0,0,1,66000,66000170
033,2003,08,新北市,土城區,M,0,5~9,1,65000,65000130
033,2003,10,新北市,中和區,F,0,25~29,1,65000,65000030
033,2003,11,台北市,中山區,M,0,15~19,1,63000,63000040
033,2003,11,新北市,中和區,M,0,1,1,65000,65000030
033,2003,11,新北市,中和區,F,0,2,1,65000,65000030
033,2003,11,新北市,中和區,M,0,55~59,1,65000,65000030
033,2003,12,彰化縣,福興鄉,M,0,0,1,10007,10007060
033,2003,12,台北市,內湖區,M,0,15~19,1,63000,63000100
033,2004,02,新北市,新莊區,M,0,0,1,65000,65000050
033,2004,02,新北市,永和區,M,0,4,1,65000,65000040
033,2004,02,新北市,蘆洲區,M,0,50~54,1,65000,65000140
033,2004,03,新北市,永和區,M,0,0,1,65000,65000040
033,2004,06,台北市,信義區,F,0,10~14,1,63000,63000020
033,2004,07,桃園市,大溪區,F,0,0,1,68000,68000030
033,2004,08,嘉義縣,梅山鄉,F,0,10~14,1,10010,10010150
033,2004,08,新北市,樹林區,M,0,0,1,65000,65000070
033,2004,09,台北市,中山區,F,0,10~14,2,63000,63000040
033,2004,10,宜蘭縣,頭城鎮,M,0,10~14,1,10002,10002040
033,2004,10,新竹縣,新豐鄉,F,0,30~34,1,10004,10004060
033,2004,11,宜蘭縣,頭城鎮,F,0,10~14,2,10002,10002040
033,2004,11,宜蘭縣,頭城鎮,M,0,10~14,3,10002,10002040
033,2004,11,宜蘭縣,頭城鎮,F,0,35~39,1,10002,10002040
033,2004,11,新北市,鶯歌區,M,0,0,1,65000,65000080
033,2004,12,宜蘭縣,頭城鎮,M,0,10~14,1,10002,10002040
033,2004,12,新北市,鶯歌區,F,0,70+,1,65000,65000080
033,2005,01,新北市,蘆洲區,F,0,0,1,65000,65000140
033,2005,01,台中市,西屯區,M,0,20~24,1,66000,66000060
033,2005,02,高雄市,大社區,M,0,0,1,64000,64000160
033,2005,02,高雄市,大社區,M,0,25~29,1,64000,64000160
033,2005,02,台中市,北屯區,F,0,0,1,66000,66000080
033,2005,02,台中市,潭子區,F,0,0,1,66000,66000170
033,2005,02,台中市,西屯區,M,0,0,1,66000,66000060
033,2005,02,台中市,西屯區,M,0,25~29,1,66000,66000060
033,2005,03,台北市,中正區,F,0,0,1,63000,63000050
033,2005,03,台北市,中正區,F,0,50~54,1,63000,63000050
033,2005,03,台北市,中正區,M,0,60~64,1,63000,63000050
033,2005,03,新北市,土城區,F,0,0,1,65000,65000130
033,2005,04,台中市,北屯區,F,0,0,1,66000,66000080
033,2005,05,彰化縣,彰化市,M,0,0,1,10007,10007010
033,2005,05,新北市,中和區,F,0,0,1,65000,65000030
033,2005,05,新北市,新店區,M,0,0,1,65000,65000060
033,2005,05,新北市,新店區,F,0,35~39,1,65000,65000060
033,2005,05,新北市,新店區,M,0,5~9,1,65000,65000060
033,2005,05,新北市,鶯歌區,M,0,0,1,65000,65000080
033,2005,05,桃園市,平鎮區,M,0,10~14,1,68000,68000100
033,2005,06,宜蘭縣,五結鄉,M,0,0,1,10002,10002090
033,2005,06,新北市,三峽區,F,0,30~34,1,65000,65000090
033,2005,06,新北市,新店區,M,0,10~14,1,65000,65000060
033,2005,06,新北市,板橋區,M,0,0,1,65000,65000010
033,2005,06,新北市,板橋區,F,0,45~49,1,65000,65000010
033,2005,07,宜蘭縣,五結鄉,M,0,35~39,1,10002,10002090
033,2005,07,新北市,中和區,M,0,0,1,65000,65000030
033,2005,07,新北市,板橋區,M,0,0,1,65000,65000010
033,2005,07,台南市,北區,M,0,0,1,67000,67000340
033,2005,07,桃園市,平鎮區,M,0,0,1,68000,68000100
033,2005,08,新北市,三峽區,M,0,0,1,65000,65000090
033,2005,08,新北市,三峽區,F,0,10~14,1,65000,65000090
033,2005,08,新北市,中和區,F,0,1,1,65000,65000030
033,2005,08,新北市,中和區,F,0,25~29,1,65000,65000030
033,2005,10,新北市,新店區,M,0,0,1,65000,65000060
033,2005,10,新北市,新店區,M,0,25~29,1,65000,65000060
033,2005,12,南投縣,名間鄉,F,0,0,1,10008,10008060
033,2005,12,南投縣,名間鄉,F,0,35~39,1,10008,10008060
033,2006,01,彰化縣,彰化市,F,0,0,1,10007,10007010
033,2006,01,桃園市,桃園區,F,0,0,1,68000,68000010
033,2006,02,桃園市,中壢區,F,0,0,1,68000,68000020
033,2006,04,台北市,北投區,F,0,0,1,63000,63000120
033,2006,04,新北市,板橋區,F,0,0,1,65000,65000010
033,2006,05,台北市,士林區,F,0,0,1,63000,63000110
033,2006,05,高雄市,三民區,F,0,0,1,64000,64000050
033,2006,06,台北市,中山區,F,0,5~9,1,63000,63000040
033,2006,07,新北市,三重區,F,0,0,1,65000,65000020
033,2006,08,台東縣,延平鄉,M,0,1,1,10014,10014130
033,2006,08,新北市,瑞芳區,M,0,0,1,65000,65000120
033,2006,09,新北市,新莊區,F,0,0,1,65000,65000050
033,2006,09,桃園市,大園區,M,0,0,1,68000,68000060
033,2006,11,宜蘭縣,冬山鄉,M,0,0,1,10002,10002080
033,2007,01,高雄市,大寮區,F,0,10~14,1,64000,64000140
033,2007,01,新北市,蘆洲區,M,0,0,1,65000,65000140
033,2007,04,花蓮縣,光復鄉,M,0,0,1,10015,10015070
033,2007,04,台北市,中山區,F,0,0,1,63000,63000040
033,2007,04,新北市,新店區,M,0,0,1,65000,65000060
033,2007,04,台中市,北區,F,0,35~39,1,66000,66000050
033,2007,04,桃園市,八德區,F,0,0,1,68000,68000080
033,2007,04,桃園市,八德區,M,0,30~34,1,68000,68000080
033,2007,05,新北市,土城區,F,0,0,1,65000,65000130
033,2007,05,新北市,新店區,M,0,2,1,65000,65000060
033,2007,05,新北市,汐止區,F,0,0,1,65000,65000110
033,2007,05,台中市,烏日區,M,0,0,1,66000,66000230
033,2007,07,彰化縣,社頭鄉,M,0,0,2,10007,10007170
033,2007,07,彰化縣,社頭鄉,F,0,30~34,1,10007,10007170
033,2007,07,彰化縣,社頭鄉,F,0,35~39,2,10007,10007170
033,2007,07,彰化縣,社頭鄉,M,0,45~49,1,10007,10007170
033,2007,07,南投縣,水里鄉,M,0,0,1,10008,10008110
033,2007,07,南投縣,水里鄉,F,0,1,1,10008,10008110
033,2007,07,南投縣,水里鄉,F,0,3,1,10008,10008110
033,2007,07,南投縣,草屯鎮,F,0,1,1,10008,10008030
033,2007,07,花蓮縣,新城鄉,M,0,0,1,10015,10015040
033,2007,07,台北市,士林區,M,0,1,1,63000,63000110
033,2007,07,新北市,新莊區,M,0,15~19,1,65000,65000050
033,2007,07,桃園市,中壢區,F,0,0,1,68000,68000020
033,2007,07,桃園市,中壢區,F,0,25~29,1,68000,68000020
033,2007,08,彰化縣,社頭鄉,F,0,30~34,1,10007,10007170
033,2007,08,彰化縣,社頭鄉,M,0,4,1,10007,10007170
033,2007,08,彰化縣,社頭鄉,M,0,40~44,1,10007,10007170
033,2007,08,彰化縣,社頭鄉,M,0,45~49,1,10007,10007170
033,2007,08,嘉義縣,阿里山鄉,M,0,0,1,10010,10010180
033,2007,08,台北市,士林區,F,0,45~49,1,63000,63000110
033,2007,08,新北市,新店區,M,0,1,1,65000,65000060
033,2007,08,台中市,北屯區,F,0,1,1,66000,66000080
033,2007,08,台中市,北屯區,M,0,10~14,1,66000,66000080
033,2007,09,新竹縣,竹北市,F,0,0,1,10004,10004010
033,2007,09,新竹縣,竹北市,M,0,2,1,10004,10004010
033,2007,09,新竹縣,竹北市,F,0,35~39,1,10004,10004010
033,2007,09,新竹市,東區,F,0,70+,1,10018,10018010
033,2007,09,新北市,中和區,F,0,0,1,65000,65000030
033,2007,10,台北市,士林區,M,0,0,1,63000,63000110
033,2007,11,苗栗縣,通霄鎮,F,0,0,1,10005,10005030
033,2008,02,新北市,三重區,M,0,0,1,65000,65000020
033,2008,03,彰化縣,彰化市,M,0,0,1,10007,10007010
033,2008,03,台東縣,延平鄉,M,0,0,1,10014,10014130
033,2008,03,台東縣,延平鄉,M,0,10~14,1,10014,10014130
033,2008,03,高雄市,大寮區,F,0,0,1,64000,64000140
033,2008,04,台北市,南港區,F,0,10~14,1,63000,63000090
033,2008,05,台北市,信義區,M,0,0,1,63000,63000020
033,2008,05,新北市,新莊區,F,0,10~14,1,65000,65000050
033,2008,05,新北市,汐止區,F,0,10~14,1,65000,65000110
033,2008,06,台北市,中山區,F,0,1,1,63000,63000040
033,2008,06,台北市,中山區,M,0,2,1,63000,63000040
033,2008,06,台北市,內湖區,M,0,0,1,63000,63000100
033,2008,06,台北市,松山區,M,0,1,1,63000,63000010
033,2008,06,新北市,新莊區,F,0,40~44,1,65000,65000050
033,2008,06,新北市,汐止區,F,0,10~14,2,65000,65000110
033,2008,06,新北市,泰山區,F,0,15~19,1,65000,65000160
033,2008,07,台北市,南港區,F,0,10~14,1,63000,63000090
033,2008,07,新北市,新莊區,M,1,0,1,65000,65000050
033,2008,07,新北市,新莊區,M,0,5~9,1,65000,65000050
033,2008,07,新北市,板橋區,F,0,10~14,1,65000,65000010
033,2008,07,新北市,板橋區,M,0,15~19,1,65000,65000010
033,2008,07,新北市,汐止區,F,0,10~14,2,65000,65000110
033,2008,07,新北市,汐止區,M,0,10~14,5,65000,65000110
033,2008,08,台北市,南港區,F,0,35~39,1,63000,63000090
033,2008,08,高雄市,林園區,M,0,0,1,64000,64000130
033,2008,08,新北市,汐止區,M,0,10~14,1,65000,65000110
033,2008,08,桃園市,中壢區,F,0,0,1,68000,68000020
033,2008,08,桃園市,八德區,M,0,0,1,68000,68000080
033,2008,08,桃園市,蘆竹區,F,0,0,1,68000,68000050
033,2008,09,彰化縣,彰化市,F,0,35~39,1,10007,10007010
033,2008,09,桃園市,中壢區,F,0,15~19,1,68000,68000020
033,2008,09,桃園市,中壢區,M,0,45~49,1,68000,68000020
033,2008,09,桃園市,中壢區,M,0,5~9,1,68000,68000020
033,2008,10,彰化縣,彰化市,M,0,0,1,10007,10007010
033,2008,11,新北市,林口區,F,0,0,1,65000,65000170
033,2009,01,新北市,三重區,M,0,0,1,65000,65000020
033,2009,01,台中市,北區,M,0,10~14,2,66000,66000050
033,2009,01,桃園市,八德區,F,0,0,1,68000,68000080
033,2009,02,宜蘭縣,大同鄉,M,0,0,1,10002,10002110
033,2009,02,新竹縣,竹北市,F,0,0,1,10004,10004010
033,2009,02,台北市,信義區,F,0,0,1,63000,63000020
033,2009,02,新北市,板橋區,M,0,0,1,65000,65000010
033,2009,02,新北市,泰山區,M,0,0,1,65000,65000160
033,2009,02,台中市,北區,M,0,10~14,1,66000,66000050
033,2009,02,台中市,北區,F,0,15~19,1,66000,66000050
033,2009,02,台中市,北屯區,M,0,10~14,1,66000,66000080
033,2009,02,台中市,北屯區,M,0,15~19,1,66000,66000080
033,2009,02,桃園市,八德區,M,0,30~34,1,68000,68000080
033,2009,03,雲林縣,斗六市,F,0,0,1,10009,10009010
033,2009,03,新北市,板橋區,F,0,0,1,65000,65000010
033,2009,03,新北市,板橋區,F,0,60~64,1,65000,65000010
033,2009,03,台中市,北屯區,M,0,15~19,1,66000,66000080
033,2009,03,台中市,潭子區,M,0,15~19,1,66000,66000170
033,2009,04,雲林縣,斗六市,F,0,10~14,1,10009,10009010
033,2009,04,雲林縣,斗六市,M,0,10~14,2,10009,10009010
033,2009,04,基隆市,安樂區,M,0,0,1,10017,10017060
033,2009,04,基隆市,安樂區,F,0,5~9,1,10017,10017060
033,2009,04,新北市,泰山區,F,0,0,1,65000,65000160
033,2009,04,新北市,泰山區,M,0,35~39,1,65000,65000160
033,2009,05,宜蘭縣,蘇澳鎮,M,0,10~14,1,10002,10002030
033,2009,05,宜蘭縣,蘇澳鎮,F,0,35~39,1,10002,10002030
033,2009,05,宜蘭縣,蘇澳鎮,F,0,60~64,1,10002,10002030
033,2009,05,雲林縣,斗六市,F,0,10~14,7,10009,10009010
033,2009,05,雲林縣,斗六市,M,0,10~14,5,10009,10009010
033,2009,05,雲林縣,斗六市,F,0,35~39,2,10009,10009010
033,2009,05,雲林縣,斗六市,F,0,45~49,1,10009,10009010
033,2009,05,台北市,信義區,F,0,15~19,1,63000,63000020
033,2009,05,台北市,信義區,M,0,15~19,1,63000,63000020
033,2009,05,台北市,南港區,F,0,15~19,1,63000,63000090
033,2009,05,台北市,士林區,M,0,0,1,63000,63000110
033,2009,05,新北市,中和區,F,0,30~34,1,65000,65000030
033,2009,05,新北市,新店區,F,0,5~9,1,65000,65000060
033,2009,06,苗栗縣,竹南鎮,M,0,0,1,10005,10005040
033,2009,06,雲林縣,古坑鄉,M,0,10~14,1,10009,10009070
033,2009,06,雲林縣,斗六市,F,0,10~14,2,10009,10009010
033,2009,06,雲林縣,斗六市,M,0,10~14,2,10009,10009010
033,2009,06,雲林縣,斗六市,F,0,30~34,1,10009,10009010
033,2009,06,台北市,內湖區,F,0,10~14,2,63000,63000100
033,2009,06,台北市,士林區,F,0,0,1,63000,63000110
033,2009,06,台北市,松山區,F,0,0,1,63000,63000010
033,2009,06,新北市,中和區,M,0,1,1,65000,65000030
033,2009,06,新北市,中和區,M,0,35~39,1,65000,65000030
033,2009,06,新北市,中和區,F,0,5~9,1,65000,65000030
033,2009,06,新北市,新店區,F,0,2,1,65000,65000060
033,2009,06,新北市,新店區,F,0,30~34,1,65000,65000060
033,2009,06,新北市,新店區,F,0,70+,1,65000,65000060
033,2009,06,新北市,新莊區,M,0,0,1,65000,65000050
033,2009,06,桃園市,新屋區,M,0,10~14,1,68000,68000110
033,2009,06,桃園市,桃園區,M,0,0,1,68000,68000010
033,2009,07,彰化縣,大村鄉,M,0,40~44,1,10007,10007130
033,2009,07,花蓮縣,新城鄉,F,0,0,1,10015,10015040
033,2009,07,花蓮縣,新城鄉,F,0,30~34,1,10015,10015040
033,2009,07,台北市,內湖區,M,0,10~14,1,63000,63000100
033,2009,07,台北市,松山區,F,0,45~49,2,63000,63000010
033,2009,07,新北市,新店區,F,0,5~9,1,65000,65000060
033,2009,07,新北市,新莊區,M,0,40~44,1,65000,65000050
033,2009,07,桃園市,八德區,M,0,0,1,68000,68000080
033,2009,07,桃園市,桃園區,F,0,30~34,1,68000,68000010
033,2009,07,桃園市,桃園區,F,0,60~64,1,68000,68000010
033,2009,08,苗栗縣,後龍鎮,M,0,0,1,10005,10005060
033,2009,08,苗栗縣,後龍鎮,F,0,25~29,1,10005,10005060
033,2009,08,新北市,新莊區,F,0,0,1,65000,65000050
033,2009,08,新北市,淡水區,M,0,4,1,65000,65000100
033,2009,08,台中市,北屯區,F,0,0,1,66000,66000080
033,2009,09,新北市,板橋區,F,0,0,1,65000,65000010
033,2009,11,台北市,內湖區,F,0,0,1,63000,63000100
033,2009,11,桃園市,龜山區,M,0,0,1,68000,68000070
033,2009,11,桃園市,龜山區,M,0,30~34,1,68000,68000070
033,2010,02,新北市,新店區,M,0,0,1,65000,65000060
033,2010,02,新北市,新店區,M,0,25~29,1,65000,65000060
033,2010,02,新北市,新店區,F,0,50~54,1,65000,65000060
033,2010,02,新北市,新店區,M,0,55~59,1,65000,65000060
033,2010,02,新北市,汐止區,M,0,3,1,65000,65000110
033,2010,02,台中市,南區,F,0,20~24,1,66000,66000030
033,2010,03,宜蘭縣,大同鄉,M,0,0,1,10002,10002110
033,2010,03,宜蘭縣,大同鄉,M,0,3,1,10002,10002110
033,2010,03,宜蘭縣,大同鄉,F,0,5~9,1,10002,10002110
033,2010,03,台北市,中山區,F,0,0,1,63000,63000040
033,2010,03,台北市,士林區,M,0,0,1,63000,63000110
033,2010,03,台北市,大安區,F,0,5~9,1,63000,63000030
033,2010,03,台北市,文山區,F,0,25~29,1,63000,63000080
033,2010,03,台北市,松山區,F,0,35~39,1,63000,63000010
033,2010,03,新北市,三重區,M,0,0,1,65000,65000020
033,2010,03,新北市,永和區,M,0,2,1,65000,65000040
033,2010,03,新北市,永和區,M,0,3,1,65000,65000040
033,2010,03,台中市,南屯區,M,0,0,1,66000,66000070
033,2010,04,台北市,士林區,M,0,5~9,1,63000,63000110
033,2010,04,台北市,大安區,F,0,0,1,63000,63000030
