確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0051,2006,18,宜蘭縣,蘇澳鎮,F,0,50~54,1,10002,10002030
0051,2006,35,南投縣,仁愛鄉,M,0,55~59,1,10008,10008130
0051,2006,35,南投縣,仁愛鄉,F,0,60~64,1,10008,10008130
0051,2007,21,台南市,新市區,F,0,50~54,1,67000,67000200
0051,2007,27,高雄市,小港區,M,0,65~69,1,64000,64000110
0051,2007,33,雲林縣,土庫鎮,F,0,25~29,1,10009,10009050
0051,2007,40,台中市,神岡區,F,0,70+,1,66000,66000160
0051,2007,45,宜蘭縣,冬山鄉,M,0,30~34,1,10002,10002080
0051,2008,5,新北市,中和區,M,0,25~29,1,65000,65000030
0051,2008,8,雲林縣,莿桐鄉,F,0,45~49,1,10009,10009090
0051,2008,8,台南市,玉井區,F,0,70+,1,67000,67000230
0051,2008,9,新竹市,北區,F,0,50~54,2,10018,10018020
0051,2008,11,台中市,南屯區,F,0,35~39,2,66000,66000070
0051,2008,14,苗栗縣,泰安鄉,F,0,65~69,1,10005,10005180
0051,2008,18,高雄市,大寮區,F,0,25~29,1,64000,64000140
0051,2008,18,高雄市,大寮區,M,0,25~29,1,64000,64000140
0051,2008,18,高雄市,大寮區,F,0,55~59,1,64000,64000140
0051,2008,18,高雄市,大寮區,M,0,60~64,1,64000,64000140
0051,2008,23,新竹市,北區,F,0,55~59,1,10018,10018020
0051,2008,25,台中市,北屯區,M,0,50~54,1,66000,66000080
0051,2009,12,新北市,新莊區,M,0,20~24,1,65000,65000050
0051,2010,15,苗栗縣,苑裡鎮,F,0,70+,1,10005,10005020
0051,2010,15,桃園市,中壢區,F,0,40~44,1,68000,68000020
0051,2010,15,桃園市,平鎮區,F,0,60~64,1,68000,68000100
0051,2010,16,苗栗縣,苑裡鎮,F,0,40~44,1,10005,10005020
0051,2010,18,桃園市,中壢區,M,0,45~49,1,68000,68000020
0051,2010,19,桃園市,桃園區,M,0,15~19,1,68000,68000010
0051,2010,20,台中市,烏日區,M,0,15~19,1,66000,66000230
0051,2010,21,新北市,中和區,F,0,50~54,1,65000,65000030
0051,2010,22,台中市,后里區,M,0,25~29,1,66000,66000150
0051,2010,25,雲林縣,林內鄉,M,0,35~39,1,10009,10009100
0051,2010,26,高雄市,三民區,F,0,65~69,1,64000,64000050
0051,2011,2,宜蘭縣,三星鄉,M,0,30~34,1,10002,10002100
0051,2011,7,彰化縣,永靖鄉,F,0,55~59,1,10007,10007160
0051,2011,26,屏東縣,泰武鄉,M,0,4,1,10013,10013290
0051,2011,35,南投縣,信義鄉,M,0,40~44,1,10008,10008120
0051,2011,35,南投縣,信義鄉,F,0,45~49,1,10008,10008120
0051,2011,35,南投縣,信義鄉,M,0,50~54,1,10008,10008120
0051,2013,35,新竹市,北區,F,0,10~14,1,10018,10018020
0051,2015,4,台南市,永康區,F,0,0,1,67000,67000310
0051,2015,28,連江縣,南竿鄉,M,0,55~59,1,09007,09007010
0051,2016,10,屏東縣,屏東市,F,0,65~69,1,10013,10013010
0051,2016,23,花蓮縣,新城鄉,M,0,15~19,1,10015,10015040
0051,2016,24,金門縣,金沙鎮,F,0,70+,1,09020,09020020
0051,2016,29,嘉義縣,新港鄉,M,0,65~69,1,10010,10010070
0051,2016,38,新北市,板橋區,M,0,10~14,1,65000,65000010
0051,2016,50,基隆市,暖暖區,F,0,10~14,1,10017,10017030
0051,2020,27,新北市,汐止區,M,0,0,1,65000,65000110
0051,2024,29,台南市,北區,F,0,50~54,1,67000,67000340
0051,2025,4,桃園市,蘆竹區,F,0,0,1,68000,68000050
