確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0749,2004,21,南投縣,南投市,M,0,2,1,10008,10008010
0749,2004,21,台中市,太平區,M,0,1,1,66000,66000270
0749,2004,23,屏東縣,枋寮鄉,F,0,3,1,10013,10013160
0749,2004,23,高雄市,三民區,M,0,0,1,64000,64000050
0749,2004,23,新北市,中和區,M,0,1,1,65000,65000030
0749,2004,23,台中市,石岡區,F,0,1,1,66000,66000200
0749,2004,24,桃園市,龜山區,F,0,4,1,68000,68000070
0749,2004,26,新北市,土城區,F,0,3,1,65000,65000130
0749,2004,28,台中市,龍井區,F,0,2,1,66000,66000250
0749,2004,30,台南市,永康區,M,0,0,1,67000,67000310
0749,2004,32,台南市,鹽水區,F,0,1,1,67000,67000020
0749,2004,32,桃園市,桃園區,M,0,2,1,68000,68000010
0749,2004,33,台中市,大安區,F,0,2,1,66000,66000220
0749,2004,35,彰化縣,秀水鄉,M,0,3,1,10007,10007070
0749,2004,35,高雄市,鳳山區,F,0,2,1,64000,64000120
0749,2004,35,台中市,北屯區,F,0,2,1,66000,66000080
0749,2004,36,桃園市,中壢區,F,0,3,1,68000,68000020
0749,2004,37,台中市,外埔區,M,0,0,1,66000,66000210
0749,2004,37,台南市,安南區,M,0,3,1,67000,67000350
0749,2004,38,台中市,西屯區,M,0,1,1,66000,66000060
0749,2004,39,屏東縣,內埔鄉,M,0,0,1,10013,10013130
0749,2004,41,台中市,外埔區,M,0,1,1,66000,66000210
0749,2004,41,台中市,豐原區,M,0,1,1,66000,66000090
0749,2004,42,台中市,外埔區,M,0,1,1,66000,66000210
0749,2004,42,台中市,烏日區,F,0,3,1,66000,66000230
0749,2004,42,桃園市,觀音區,F,0,1,1,68000,68000120
0749,2004,44,高雄市,三民區,M,0,3,1,64000,64000050
0749,2004,45,彰化縣,埔鹽鄉,M,0,0,1,10007,10007140
0749,2004,45,台北市,文山區,M,0,1,1,63000,63000080
0749,2004,45,高雄市,前鎮區,M,0,3,1,64000,64000090
0749,2004,46,屏東縣,佳冬鄉,F,0,0,1,10013,10013210
0749,2004,46,屏東縣,新園鄉,F,0,2,1,10013,10013170
0749,2004,46,台中市,西屯區,M,0,0,1,66000,66000060
0749,2004,47,南投縣,草屯鎮,F,0,2,1,10008,10008030
0749,2004,47,新北市,新店區,M,0,0,1,65000,65000060
0749,2004,48,新北市,三芝區,M,0,3,1,65000,65000210
0749,2004,48,新北市,烏來區,M,0,2,1,65000,65000290
0749,2004,50,新竹縣,橫山鄉,F,0,3,1,10004,10004080
0749,2004,50,新北市,新店區,M,0,1,1,65000,65000060
0749,2004,52,台中市,豐原區,F,0,1,1,66000,66000090
0749,2004,53,雲林縣,土庫鎮,M,0,0,1,10009,10009050
0749,2005,3,台南市,佳里區,M,0,1,1,67000,67000120
0749,2005,4,花蓮縣,吉安鄉,F,0,3,1,10015,10015050
0749,2005,5,高雄市,小港區,M,0,1,1,64000,64000110
0749,2005,6,南投縣,草屯鎮,M,0,1,1,10008,10008030
0749,2005,6,台中市,南屯區,M,0,0,1,66000,66000070
0749,2005,9,彰化縣,埔心鄉,F,0,1,1,10007,10007150
0749,2005,9,台中市,北屯區,F,0,2,1,66000,66000080
0749,2005,10,高雄市,前鎮區,M,0,0,1,64000,64000090
0749,2005,10,高雄市,大寮區,F,0,1,1,64000,64000140
0749,2005,12,高雄市,小港區,M,0,4,1,64000,64000110
0749,2005,12,台中市,東區,M,0,1,1,66000,66000020
0749,2005,12,台中市,龍井區,F,0,1,1,66000,66000250
0749,2005,14,台南市,安平區,M,0,0,1,67000,67000360
0749,2005,15,台中市,西屯區,M,0,0,1,66000,66000060
0749,2005,15,台南市,東區,F,0,2,1,67000,67000320
0749,2005,16,彰化縣,鹿港鎮,M,0,1,1,10007,10007020
0749,2005,17,雲林縣,二崙鄉,M,0,2,1,10009,10009110
0749,2005,18,台中市,后里區,F,0,3,1,66000,66000150
0749,2005,18,台中市,西屯區,M,0,2,1,66000,66000060
0749,2005,19,台中市,大安區,M,0,3,1,66000,66000220
0749,2005,20,新竹縣,湖口鄉,M,0,4,1,10004,10004050
0749,2005,20,彰化縣,北斗鎮,M,0,2,1,10007,10007190
0749,2005,20,基隆市,仁愛區,M,0,1,1,10017,10017040
0749,2005,20,台中市,后里區,F,0,2,1,66000,66000150
0749,2005,21,彰化縣,竹塘鄉,M,0,1,1,10007,10007250
0749,2005,21,雲林縣,口湖鄉,F,0,1,1,10009,10009190
0749,2005,21,雲林縣,古坑鄉,M,0,4,1,10009,10009070
0749,2005,21,高雄市,左營區,M,0,0,1,64000,64000030
0749,2005,21,新北市,瑞芳區,F,0,3,1,65000,65000120
0749,2005,22,彰化縣,員林市,M,0,3,1,10007,10007100
0749,2005,22,台北市,文山區,M,0,4,1,63000,63000080
0749,2005,22,高雄市,三民區,M,0,1,1,64000,64000050
0749,2005,22,高雄市,三民區,M,0,2,1,64000,64000050
0749,2005,22,台中市,外埔區,F,0,0,1,66000,66000210
0749,2005,22,台中市,大里區,F,0,1,3,66000,66000280
0749,2005,22,台中市,太平區,M,0,0,1,66000,66000270
0749,2005,23,彰化縣,溪州鄉,M,0,0,1,10007,10007260
0749,2005,23,南投縣,草屯鎮,M,0,1,1,10008,10008030
0749,2005,23,南投縣,草屯鎮,M,0,2,1,10008,10008030
0749,2005,23,雲林縣,崙背鄉,M,0,4,1,10009,10009120
0749,2005,23,高雄市,前金區,F,0,3,1,64000,64000070
0749,2005,23,新北市,三峽區,M,0,0,1,65000,65000090
0749,2005,23,新北市,淡水區,M,0,0,1,65000,65000100
0749,2005,23,新北市,蘆洲區,M,0,1,1,65000,65000140
0749,2005,23,台中市,后里區,M,0,3,1,66000,66000150
0749,2005,23,台中市,大里區,M,0,0,1,66000,66000280
0749,2005,23,台中市,烏日區,M,0,0,1,66000,66000230
0749,2005,23,台中市,烏日區,M,0,2,1,66000,66000230
0749,2005,23,台中市,霧峰區,M,0,1,1,66000,66000260
0749,2005,23,桃園市,觀音區,F,0,0,1,68000,68000120
0749,2005,23,桃園市,龍潭區,M,0,0,1,68000,68000090
