確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0749,2003,01,苗栗縣,頭份市,M,0,1,1,10005,10005050
0749,2003,01,彰化縣,北斗鎮,M,0,1,1,10007,10007190
0749,2003,01,彰化縣,員林市,M,0,2,1,10007,10007100
0749,2003,01,彰化縣,大村鄉,M,0,0,1,10007,10007130
0749,2003,01,彰化縣,大村鄉,F,0,3,1,10007,10007130
0749,2003,01,彰化縣,社頭鄉,F,0,1,1,10007,10007170
0749,2003,01,彰化縣,社頭鄉,M,0,2,1,10007,10007170
0749,2003,01,南投縣,南投市,M,0,2,1,10008,10008010
0749,2003,01,雲林縣,大埤鄉,F,0,0,1,10009,10009080
0749,2003,01,屏東縣,恆春鎮,M,0,2,1,10013,10013040
0749,2003,01,嘉義市,西區,M,0,4,1,10020,10020020
0749,2003,01,新北市,深坑區,F,0,2,1,65000,65000180
0749,2003,01,台南市,佳里區,M,0,3,1,67000,67000120
0749,2003,01,台南市,新營區,F,0,2,1,67000,67000010
0749,2003,01,台南市,麻豆區,F,0,1,1,67000,67000070
0749,2003,02,新北市,永和區,M,0,0,1,65000,65000040
0749,2003,02,台南市,麻豆區,M,0,0,1,67000,67000070
0749,2003,02,台南市,麻豆區,M,0,2,1,67000,67000070
0749,2003,03,苗栗縣,南庄鄉,F,0,1,1,10005,10005110
0749,2003,03,苗栗縣,竹南鎮,M,0,1,1,10005,10005040
0749,2003,03,彰化縣,埔心鄉,M,0,1,1,10007,10007150
0749,2003,03,彰化縣,溪湖鎮,M,0,1,1,10007,10007110
0749,2003,03,彰化縣,鹿港鎮,M,0,0,1,10007,10007020
0749,2003,03,嘉義縣,民雄鄉,M,0,5~9,1,10010,10010050
0749,2003,03,台北市,大安區,M,0,3,1,63000,63000030
0749,2003,04,苗栗縣,三灣鄉,M,0,0,1,10005,10005160
0749,2003,04,苗栗縣,後龍鎮,F,0,1,1,10005,10005060
0749,2003,04,苗栗縣,苑裡鎮,M,0,1,1,10005,10005020
0749,2003,04,苗栗縣,苗栗市,F,0,4,1,10005,10005010
0749,2003,04,彰化縣,二水鄉,M,0,0,1,10007,10007180
0749,2003,04,彰化縣,溪湖鎮,M,0,3,1,10007,10007110
0749,2003,04,彰化縣,線西鄉,M,0,1,1,10007,10007040
0749,2003,04,彰化縣,線西鄉,M,0,2,1,10007,10007040
0749,2003,04,彰化縣,鹿港鎮,F,0,0,1,10007,10007020
0749,2003,04,高雄市,鳳山區,F,0,0,1,64000,64000120
0749,2003,04,高雄市,鳳山區,F,0,2,1,64000,64000120
0749,2003,04,新北市,板橋區,M,0,5~9,1,65000,65000010
0749,2003,04,台中市,西屯區,F,0,5~9,1,66000,66000060
0749,2003,04,台南市,永康區,F,0,5~9,1,67000,67000310
0749,2003,04,桃園市,大園區,M,0,0,1,68000,68000060
0749,2003,04,桃園市,大園區,M,0,1,1,68000,68000060
0749,2003,05,苗栗縣,後龍鎮,F,0,2,1,10005,10005060
0749,2003,05,彰化縣,埤頭鄉,M,0,2,1,10007,10007220
0749,2003,05,台中市,大雅區,M,0,1,1,66000,66000180
0749,2003,05,台中市,沙鹿區,F,0,4,1,66000,66000130
0749,2003,05,台中市,西屯區,M,0,10~14,1,66000,66000060
0749,2003,05,台南市,佳里區,F,0,4,1,67000,67000120
0749,2003,05,台南市,安南區,F,0,1,1,67000,67000350
0749,2003,06,苗栗縣,頭份市,M,0,2,1,10005,10005050
0749,2003,06,彰化縣,彰化市,M,0,0,1,10007,10007010
0749,2003,06,屏東縣,高樹鄉,M,0,1,1,10013,10013110
0749,2003,06,嘉義市,西區,M,0,0,1,10020,10020020
0749,2003,07,彰化縣,大竹區,M,0,2,1,10007,10007927
0749,2003,07,台中市,龍井區,M,0,1,1,66000,66000250
0749,2003,08,彰化縣,大村鄉,F,0,0,1,10007,10007130
0749,2003,08,彰化縣,花壇鄉,M,0,0,1,10007,10007080
0749,2003,08,新北市,蘆洲區,M,0,5~9,1,65000,65000140
0749,2003,08,台中市,大里區,M,0,1,1,66000,66000280
0749,2003,08,台中市,大雅區,M,0,0,1,66000,66000180
0749,2003,08,台中市,太平區,F,0,1,1,66000,66000270
0749,2003,09,彰化縣,員林市,F,0,1,1,10007,10007100
0749,2003,09,台中市,南區,F,0,0,1,66000,66000030
0749,2003,09,台中市,太平區,F,0,3,1,66000,66000270
0749,2003,10,嘉義縣,其他,F,0,3,1,10010,10010999
0749,2003,10,台中市,東區,F,0,25~29,1,66000,66000020
0749,2003,11,屏東縣,林邊鄉,F,0,2,1,10013,10013190
0749,2003,11,台北市,內湖區,F,0,0,1,63000,63000100
0749,2003,11,新北市,三芝區,M,0,1,1,65000,65000210
0749,2003,11,新北市,汐止區,M,0,0,1,65000,65000110
0749,2003,12,高雄市,鳳山區,M,0,5~9,1,64000,64000120
