確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
ZIKAV,2016,3,台中市,大里區,M,1,20~24,1,66000,66000280
ZIKAV,2016,20,台中市,太平區,M,1,30~34,1,66000,66000270
ZIKAV,2016,23,高雄市,旗津區,M,1,20~24,1,64000,64000100
ZIKAV,2016,31,新北市,樹林區,F,1,40~44,1,65000,65000070
ZIKAV,2016,32,新竹市,東區,M,1,25~29,1,10018,10018010
ZIKAV,2016,33,新北市,新莊區,F,1,40~44,1,65000,65000050
ZIKAV,2016,36,高雄市,三民區,F,1,20~24,1,64000,64000050
ZIKAV,2016,37,彰化縣,和美鎮,M,1,60~64,1,10007,10007030
ZIKAV,2016,39,新北市,三重區,M,1,50~54,1,65000,65000020
ZIKAV,2016,41,彰化縣,鹿港鎮,M,1,25~29,1,10007,10007020
ZIKAV,2016,41,新北市,鶯歌區,M,1,60~64,1,65000,65000080
ZIKAV,2016,41,桃園市,中壢區,F,1,55~59,1,68000,68000020
ZIKAV,2016,42,彰化縣,鹿港鎮,M,1,20~24,1,10007,10007020
ZIKAV,2017,15,新北市,板橋區,M,1,25~29,1,65000,65000010
ZIKAV,2017,28,高雄市,林園區,M,1,15~19,1,64000,64000130
ZIKAV,2017,30,新北市,板橋區,M,1,20~24,1,65000,65000010
ZIKAV,2017,38,台北市,中正區,M,1,25~29,1,63000,63000050
ZIKAV,2018,30,彰化縣,二林鎮,F,1,40~44,1,10007,10007200
ZIKAV,2018,40,台北市,松山區,M,1,35~39,1,63000,63000010
ZIKAV,2018,49,台北市,大安區,M,1,60~64,1,63000,63000030
ZIKAV,2019,8,台中市,豐原區,M,1,15~19,1,66000,66000090
ZIKAV,2019,31,桃園市,中壢區,M,1,40~44,1,68000,68000020
ZIKAV,2019,33,桃園市,中壢區,M,1,15~19,1,68000,68000020
ZIKAV,2019,39,台北市,大安區,F,1,4,1,63000,63000030
ZIKAV,2020,9,桃園市,桃園區,M,1,40~44,1,68000,68000010
ZIKAV,2020,11,屏東縣,屏東市,M,1,20~24,1,10013,10013010
ZIKAV,2023,18,台北市,信義區,F,1,30~34,1,63000,63000020
ZIKAV,2023,18,台北市,信義區,M,1,35~39,1,63000,63000020
ZIKAV,2023,35,新北市,板橋區,M,1,70+,1,65000,65000010
ZIKAV,2024,28,桃園市,中壢區,M,1,25~29,1,68000,68000020
