確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
ZIKAV,2016,01,台中市,大里區,M,1,20~24,1,66000,66000280
ZIKAV,2016,05,台中市,太平區,M,1,30~34,1,66000,66000270
ZIKAV,2016,06,高雄市,旗津區,M,1,20~24,1,64000,64000100
ZIKAV,2016,07,新北市,樹林區,F,1,40~44,1,65000,65000070
ZIKAV,2016,08,新竹市,東區,M,1,25~29,1,10018,10018010
ZIKAV,2016,08,新北市,新莊區,F,1,40~44,1,65000,65000050
ZIKAV,2016,09,彰化縣,和美鎮,M,1,60~64,1,10007,10007030
ZIKAV,2016,09,高雄市,三民區,F,1,20~24,1,64000,64000050
ZIKAV,2016,09,高雄市,三民區,F,1,20~24,1,64000,64000051
ZIKAV,2016,09,高雄市,三民區,F,1,20~24,1,64000,64000052
ZIKAV,2016,09,新北市,三重區,M,1,50~54,1,65000,65000020
ZIKAV,2016,10,彰化縣,鹿港鎮,M,1,20~24,1,10007,10007020
ZIKAV,2016,10,彰化縣,鹿港鎮,M,1,25~29,1,10007,10007020
ZIKAV,2016,10,新北市,鶯歌區,M,1,60~64,1,65000,65000080
ZIKAV,2016,10,桃園市,中壢區,F,1,55~59,1,68000,68000020
ZIKAV,2017,04,新北市,板橋區,M,1,25~29,1,65000,65000010
ZIKAV,2017,07,高雄市,林園區,M,1,15~19,1,64000,64000130
ZIKAV,2017,07,新北市,板橋區,M,1,20~24,1,65000,65000010
ZIKAV,2017,09,台北市,中正區,M,1,25~29,1,63000,63000050
ZIKAV,2018,07,彰化縣,二林鎮,F,1,40~44,1,10007,10007200
ZIKAV,2018,09,台北市,松山區,M,1,35~39,1,63000,63000010
ZIKAV,2018,11,台北市,大安區,M,1,60~64,1,63000,63000030
ZIKAV,2019,02,台中市,豐原區,M,1,15~19,1,66000,66000090
ZIKAV,2019,07,桃園市,中壢區,M,1,15~19,1,68000,68000020
ZIKAV,2019,07,桃園市,中壢區,M,1,40~44,1,68000,68000020
ZIKAV,2019,09,台北市,大安區,F,1,4,1,63000,63000030
ZIKAV,2020,02,桃園市,桃園區,M,1,40~44,1,68000,68000010
ZIKAV,2020,03,屏東縣,屏東市,M,1,20~24,1,10013,10013010
ZIKAV,2023,04,台北市,信義區,M,1,35~39,1,63000,63000020
ZIKAV,2023,05,台北市,信義區,F,1,30~34,1,63000,63000020
ZIKAV,2023,08,新北市,板橋區,M,1,70+,1,65000,65000010
ZIKAV,2024,06,桃園市,中壢區,M,1,25~29,1,68000,68000020
