確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
1048,2007,46,台北市,內湖區,M,1,20~24,1,63000,63000100
1048,2008,14,高雄市,楠梓區,M,1,55~59,1,64000,64000040
1048,2008,31,台北市,大同區,F,1,55~59,1,63000,63000060
1048,2008,34,高雄市,鼓山區,F,1,50~54,1,64000,64000020
1048,2012,18,台中市,北屯區,M,1,20~24,1,66000,66000080
1048,2012,48,台北市,文山區,M,1,20~24,1,63000,63000080
1048,2012,48,台北市,文山區,M,1,20~24,1,63000,63000081
1048,2012,48,台北市,文山區,M,1,20~24,1,63000,63000082
1048,2014,33,新北市,中和區,M,1,45~49,1,65000,65000030
1048,2014,37,台北市,士林區,F,1,50~54,1,63000,63000110
1048,2015,29,台北市,大同區,M,1,15~19,1,63000,63000060
1048,2015,31,台北市,大安區,F,1,35~39,1,63000,63000030
1048,2016,34,台北市,內湖區,M,1,50~54,1,63000,63000100
1048,2016,39,新北市,汐止區,F,1,60~64,1,65000,65000110
1048,2017,40,台北市,中正區,M,1,30~34,1,63000,63000050
1048,2018,33,高雄市,大社區,M,1,35~39,1,64000,64000160
1048,2018,40,嘉義市,西區,F,1,45~49,1,10020,10020020
1048,2019,11,台北市,士林區,M,1,25~29,1,63000,63000110
1048,2020,51,台東縣,卑南鄉,M,1,35~39,1,10014,10014040
1048,2021,41,新北市,三重區,M,1,5~9,1,65000,65000020
1048,2022,2,南投縣,埔里鎮,M,1,5~9,1,10008,10008020
1048,2024,50,新北市,新店區,M,1,60~64,1,65000,65000060
