確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
4828,2003,01,花蓮縣,玉里鎮,M,0,60~64,1,10015,10015030
4828,2003,01,高雄市,新興區,M,0,55~59,1,64000,64000060
4828,2003,01,新北市,三峽區,M,0,55~59,1,65000,65000090
4828,2003,02,花蓮縣,光復鄉,F,0,65~69,1,10015,10015070
4828,2003,02,花蓮縣,豐濱鄉,F,0,65~69,1,10015,10015080
4828,2003,02,花蓮縣,豐濱鄉,M,0,70+,1,10015,10015080
4828,2003,03,苗栗縣,後龍鎮,F,0,40~44,1,10005,10005060
4828,2003,03,彰化縣,鹿港鎮,M,0,70+,1,10007,10007020
4828,2003,03,花蓮縣,光復鄉,M,0,70+,1,10015,10015070
4828,2003,03,花蓮縣,吉安鄉,F,0,50~54,1,10015,10015050
4828,2003,03,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
4828,2003,03,花蓮縣,新城鄉,F,0,35~39,1,10015,10015040
4828,2003,03,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
4828,2003,03,花蓮縣,萬榮鄉,F,0,35~39,1,10015,10015120
4828,2003,03,新北市,中和區,M,0,70+,1,65000,65000030
4828,2003,03,新北市,板橋區,M,0,70+,2,65000,65000010
4828,2003,03,台中市,太平區,F,0,60~64,1,66000,66000270
4828,2003,04,花蓮縣,吉安鄉,F,0,70+,1,10015,10015050
4828,2003,04,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
4828,2003,04,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2003,04,台北市,大安區,M,1,55~59,1,63000,63000030
4828,2003,04,新北市,板橋區,M,0,55~59,1,65000,65000010
4828,2003,04,台中市,大甲區,M,0,70+,1,66000,66000110
4828,2003,04,台中市,龍井區,M,0,70+,1,66000,66000250
4828,2003,05,新竹縣,湖口鄉,F,0,65~69,1,10004,10004050
4828,2003,05,花蓮縣,壽豐鄉,M,0,20~24,1,10015,10015060
4828,2003,05,花蓮縣,壽豐鄉,M,0,35~39,1,10015,10015060
4828,2003,05,花蓮縣,富里鄉,F,0,35~39,1,10015,10015100
4828,2003,05,花蓮縣,秀林鄉,M,0,55~59,1,10015,10015110
4828,2003,05,花蓮縣,花蓮市,F,0,20~24,1,10015,10015010
4828,2003,05,花蓮縣,花蓮市,M,0,20~24,1,10015,10015010
4828,2003,05,花蓮縣,花蓮市,M,0,45~49,1,10015,10015010
4828,2003,05,花蓮縣,花蓮市,M,0,55~59,1,10015,10015010
4828,2003,05,花蓮縣,花蓮市,F,0,60~64,1,10015,10015010
4828,2003,05,花蓮縣,花蓮市,M,0,70+,3,10015,10015010
4828,2003,05,澎湖縣,馬公市,M,0,60~64,1,10016,10016010
4828,2003,05,台北市,北投區,M,0,40~44,1,63000,63000120
4828,2003,05,台北市,萬華區,M,0,70+,1,63000,63000070
4828,2003,06,新竹縣,竹北市,F,0,60~64,1,10004,10004010
4828,2003,06,苗栗縣,苗栗市,F,0,70+,1,10005,10005010
4828,2003,06,苗栗縣,造橋鄉,F,0,15~19,1,10005,10005150
4828,2003,06,苗栗縣,頭份市,M,0,40~44,1,10005,10005050
4828,2003,06,花蓮縣,吉安鄉,F,0,30~34,1,10015,10015050
4828,2003,06,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
4828,2003,06,花蓮縣,花蓮市,F,0,35~39,2,10015,10015010
4828,2003,06,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
4828,2003,06,花蓮縣,鳳林鎮,F,0,25~29,1,10015,10015020
4828,2003,06,台北市,中正區,M,0,70+,1,63000,63000050
4828,2003,06,台北市,北投區,M,0,40~44,1,63000,63000120
4828,2003,06,台北市,士林區,M,0,30~34,1,63000,63000110
4828,2003,06,新北市,板橋區,M,0,35~39,1,65000,65000010
4828,2003,06,新北市,樹林區,M,0,50~54,1,65000,65000070
4828,2003,06,新北市,雙溪區,M,0,70+,1,65000,65000250
4828,2003,06,台南市,新市區,F,0,55~59,1,67000,67000200
4828,2003,07,台北市,士林區,M,0,40~44,1,63000,63000110
4828,2003,07,高雄市,橋頭區,M,0,45~49,1,64000,64000200
4828,2003,07,新北市,中和區,M,0,65~69,1,65000,65000030
4828,2003,07,新北市,板橋區,M,0,60~64,1,65000,65000010
4828,2003,07,新北市,樹林區,M,0,65~69,1,65000,65000070
4828,2003,08,花蓮縣,吉安鄉,F,0,70+,1,10015,10015050
4828,2003,08,新北市,三峽區,M,1,70+,1,65000,65000090
