確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
100,2004,19,彰化縣,埤頭鄉,M,0,35~39,1,10007,10007220
100,2004,19,彰化縣,溪湖鎮,M,0,45~49,1,10007,10007110
100,2004,20,彰化縣,田中鎮,M,0,40~44,1,10007,10007120
100,2004,20,花蓮縣,萬榮鄉,M,0,55~59,1,10015,10015120
100,2004,20,高雄市,大樹區,F,0,60~64,1,64000,64000150
100,2004,23,苗栗縣,大湖鄉,M,0,50~54,1,10005,10005080
100,2004,23,苗栗縣,銅鑼鄉,M,0,70+,1,10005,10005100
100,2004,23,台東縣,台東市,M,0,30~34,1,10014,10014010
100,2004,23,台東縣,太麻里鄉,M,0,20~24,1,10014,10014090
100,2004,23,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
100,2004,23,高雄市,楠梓區,F,0,45~49,1,64000,64000040
100,2004,23,新北市,鶯歌區,M,0,55~59,1,65000,65000080
100,2004,23,台中市,大肚區,M,0,70+,1,66000,66000240
100,2004,25,高雄市,燕巢區,M,0,25~29,1,64000,64000210
100,2004,25,台中市,北屯區,M,0,15~19,1,66000,66000080
100,2004,25,台中市,大雅區,M,0,45~49,1,66000,66000180
100,2004,26,花蓮縣,卓溪鄉,M,0,65~69,1,10015,10015130
100,2004,28,南投縣,埔里鎮,M,0,55~59,1,10008,10008020
100,2004,28,花蓮縣,富里鄉,F,0,55~59,1,10015,10015100
100,2004,29,南投縣,信義鄉,M,0,25~29,1,10008,10008120
100,2004,36,屏東縣,來義鄉,F,0,30~34,1,10013,10013300
100,2004,37,南投縣,水里鄉,M,0,50~54,1,10008,10008110
100,2004,37,花蓮縣,吉安鄉,M,0,35~39,1,10015,10015050
100,2004,38,台東縣,延平鄉,M,0,35~39,1,10014,10014130
100,2004,38,台中市,北區,F,1,30~34,1,66000,66000050
100,2004,38,台中市,龍井區,M,0,45~49,1,66000,66000250
100,2004,39,台東縣,綠島鄉,F,0,60~64,1,10014,10014110
100,2004,39,花蓮縣,花蓮市,M,0,50~54,1,10015,10015010
100,2004,39,花蓮縣,花蓮市,M,0,60~64,1,10015,10015010
100,2004,39,台中市,潭子區,M,0,30~34,1,66000,66000170
100,2004,40,新北市,新店區,M,0,60~64,1,65000,65000060
100,2004,40,新北市,板橋區,M,0,40~44,1,65000,65000010
100,2004,41,南投縣,國姓鄉,M,0,50~54,1,10008,10008100
100,2004,41,台東縣,池上鄉,M,0,55~59,1,10014,10014060
100,2004,41,花蓮縣,玉里鎮,M,0,50~54,1,10015,10015030
100,2004,41,台中市,新社區,M,1,30~34,1,66000,66000190
100,2004,41,台中市,霧峰區,M,0,40~44,1,66000,66000260
100,2004,42,花蓮縣,富里鄉,F,0,50~54,1,10015,10015100
100,2004,42,花蓮縣,花蓮市,F,0,30~34,1,10015,10015010
100,2004,42,高雄市,鼓山區,M,0,60~64,1,64000,64000020
100,2004,42,台中市,后里區,M,0,30~34,1,66000,66000150
100,2004,43,花蓮縣,花蓮市,F,0,50~54,1,10015,10015010
100,2004,43,台中市,北區,F,1,35~39,1,66000,66000050
100,2004,44,彰化縣,埔鹽鄉,F,0,55~59,1,10007,10007140
100,2004,44,彰化縣,埔鹽鄉,M,0,65~69,1,10007,10007140
100,2004,44,屏東縣,新埤鄉,M,0,55~59,1,10013,10013150
100,2004,44,台東縣,成功鎮,M,0,65~69,1,10014,10014020
100,2004,44,花蓮縣,玉里鎮,F,0,70+,1,10015,10015030
100,2004,44,花蓮縣,萬榮鄉,M,0,35~39,1,10015,10015120
100,2004,44,高雄市,六龜區,M,0,30~34,1,64000,64000320
100,2004,44,新北市,永和區,M,0,40~44,1,65000,65000040
100,2004,44,台中市,北區,M,0,30~34,1,66000,66000050
100,2004,45,花蓮縣,壽豐鄉,M,0,55~59,1,10015,10015060
100,2004,45,台南市,後壁區,M,0,45~49,1,67000,67000050
100,2004,45,桃園市,桃園區,M,0,30~34,1,68000,68000010
100,2004,46,花蓮縣,玉里鎮,M,0,35~39,1,10015,10015030
100,2004,46,花蓮縣,豐濱鄉,F,0,65~69,1,10015,10015080
100,2004,46,花蓮縣,豐濱鄉,M,0,65~69,1,10015,10015080
100,2004,46,桃園市,新屋區,M,0,50~54,1,68000,68000110
100,2004,48,彰化縣,北斗鎮,M,0,60~64,1,10007,10007190
100,2004,48,彰化縣,彰化市,F,1,35~39,1,10007,10007010
100,2004,48,雲林縣,土庫鎮,M,0,15~19,1,10009,10009050
100,2004,48,雲林縣,莿桐鄉,M,0,50~54,1,10009,10009090
100,2004,48,雲林縣,虎尾鎮,F,0,45~49,1,10009,10009030
100,2004,49,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
100,2004,52,台中市,西屯區,M,0,45~49,1,66000,66000060
100,2004,53,台中市,大甲區,M,0,55~59,1,66000,66000110
100,2004,53,台南市,永康區,M,0,50~54,1,67000,67000310
100,2005,2,屏東縣,恆春鎮,M,0,45~49,1,10013,10013040
100,2005,3,南投縣,國姓鄉,M,0,40~44,1,10008,10008100
100,2005,3,嘉義縣,大林鎮,F,0,70+,1,10010,10010040
100,2005,5,彰化縣,和美鎮,M,0,60~64,1,10007,10007030
100,2005,5,花蓮縣,壽豐鄉,M,0,70+,1,10015,10015060
100,2005,5,花蓮縣,新城鄉,F,0,55~59,1,10015,10015040
100,2005,5,花蓮縣,萬榮鄉,F,0,35~39,1,10015,10015120
100,2005,5,台中市,北屯區,M,0,60~64,1,66000,66000080
100,2005,6,高雄市,大社區,M,0,35~39,1,64000,64000160
100,2005,18,屏東縣,佳冬鄉,M,0,30~34,1,10013,10013210
100,2005,18,新北市,中和區,F,0,45~49,1,65000,65000030
100,2005,18,新北市,新店區,M,0,55~59,1,65000,65000060
100,2005,27,雲林縣,崙背鄉,M,0,65~69,1,10009,10009120
100,2005,27,新北市,板橋區,M,0,35~39,1,65000,65000010
100,2005,28,新北市,三重區,M,0,55~59,1,65000,65000020
100,2005,28,台南市,柳營區,M,0,70+,1,67000,67000040
100,2005,30,花蓮縣,鳳林鎮,M,0,50~54,1,10015,10015020
100,2005,30,高雄市,鳥松區,M,0,40~44,1,64000,64000180
100,2005,31,高雄市,三民區,F,0,70+,1,64000,64000050
100,2005,31,台中市,大肚區,M,0,25~29,1,66000,66000240
100,2005,31,台南市,仁德區,F,0,70+,1,67000,67000270
100,2005,32,高雄市,鳳山區,M,0,30~34,1,64000,64000120
100,2005,33,台中市,烏日區,M,0,70+,1,66000,66000230
100,2005,35,花蓮縣,萬榮鄉,M,0,45~49,1,10015,10015120
100,2005,36,新竹縣,新埔鎮,M,0,20~24,1,10004,10004030
100,2005,36,南投縣,草屯鎮,M,0,55~59,1,10008,10008030
100,2005,36,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
100,2005,36,台東縣,卑南鄉,M,0,55~59,1,10014,10014040
100,2005,37,屏東縣,潮州鎮,M,0,35~39,1,10013,10013020
100,2005,37,高雄市,美濃區,F,0,65~69,1,64000,64000310
100,2005,37,桃園市,新屋區,F,0,55~59,1,68000,68000110
100,2005,38,台北市,文山區,M,0,30~34,1,63000,63000080
100,2005,40,屏東縣,東港鎮,M,0,60~64,1,10013,10013030
100,2005,40,屏東縣,高樹鄉,M,0,60~64,1,10013,10013110
100,2005,42,新北市,三峽區,M,0,40~44,1,65000,65000090
100,2005,43,花蓮縣,秀林鄉,M,0,25~29,1,10015,10015110
100,2005,43,高雄市,前金區,M,0,55~59,1,64000,64000070
100,2005,44,台北市,萬華區,M,0,25~29,1,63000,63000070
100,2005,44,新北市,鶯歌區,M,0,70+,1,65000,65000080
100,2005,45,彰化縣,彰化市,F,0,45~49,1,10007,10007010
100,2005,45,屏東縣,內埔鄉,M,0,50~54,1,10013,10013130
100,2005,45,屏東縣,屏東市,M,0,30~34,1,10013,10013010
100,2005,45,屏東縣,萬巒鄉,M,0,30~34,1,10013,10013120
