確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
100,2003,01,屏東縣,新埤鄉,M,0,55~59,1,10013,10013150
100,2003,01,桃園市,大溪區,M,0,35~39,1,68000,68000030
100,2003,02,高雄市,橋頭區,M,0,50~54,1,64000,64000200
100,2003,03,桃園市,龜山區,M,0,30~34,1,68000,68000070
100,2003,05,高雄市,小港區,M,0,30~34,1,64000,64000110
100,2003,06,南投縣,仁愛鄉,M,0,50~54,1,10008,10008130
100,2003,07,花蓮縣,花蓮市,F,0,50~54,1,10015,10015010
100,2003,07,台中市,北屯區,M,0,15~19,1,66000,66000080
100,2003,07,台中市,北屯區,F,0,45~49,1,66000,66000080
100,2003,07,台中市,豐原區,M,0,40~44,1,66000,66000090
100,2003,08,花蓮縣,吉安鄉,M,0,50~54,1,10015,10015050
100,2003,08,台南市,佳里區,F,0,40~44,1,67000,67000120
100,2003,09,屏東縣,三地門鄉,M,0,70+,1,10013,10013260
100,2003,09,台中市,大雅區,M,0,45~49,1,66000,66000180
100,2003,10,高雄市,三民區,F,0,35~39,1,64000,64000050
100,2003,10,高雄市,三民區,F,0,35~39,1,64000,64000051
100,2003,10,高雄市,三民區,F,0,35~39,1,64000,64000052
100,2003,10,新北市,三峽區,M,0,40~44,1,65000,65000090
100,2003,10,台中市,北區,M,0,35~39,1,66000,66000050
100,2003,11,台東縣,延平鄉,M,0,50~54,1,10014,10014130
100,2003,11,花蓮縣,玉里鎮,F,0,65~69,1,10015,10015030
100,2003,11,高雄市,大寮區,M,0,30~34,1,64000,64000140
100,2003,11,高雄市,鳳山區,M,0,45~49,1,64000,64000120
100,2003,11,新北市,三重區,F,0,45~49,1,65000,65000020
100,2003,11,台中市,石岡區,M,0,50~54,1,66000,66000200
100,2003,12,新竹縣,竹東鎮,F,0,50~54,1,10004,10004020
100,2003,12,屏東縣,屏東市,M,0,60~64,1,10013,10013010
100,2003,12,花蓮縣,壽豐鄉,M,0,35~39,1,10015,10015060
100,2003,12,高雄市,前鎮區,M,0,50~54,1,64000,64000090
100,2003,12,新北市,三重區,M,0,60~64,1,65000,65000020
100,2003,12,新北市,鶯歌區,M,0,60~64,1,65000,65000080
100,2004,01,屏東縣,崁頂鄉,M,0,65~69,1,10013,10013180
100,2004,02,苗栗縣,大湖鄉,M,0,50~54,1,10005,10005080
100,2004,02,台東縣,太麻里鄉,M,0,20~24,1,10014,10014090
100,2004,02,台東縣,關山鎮,M,0,45~49,1,10014,10014030
100,2004,02,花蓮縣,光復鄉,M,0,55~59,1,10015,10015070
100,2004,02,高雄市,林園區,M,0,25~29,1,64000,64000130
100,2004,02,高雄市,林園區,F,0,45~49,1,64000,64000130
100,2004,03,彰化縣,埤頭鄉,M,0,35~39,1,10007,10007220
100,2004,03,屏東縣,內埔鄉,M,0,50~54,1,10013,10013130
100,2004,03,台中市,大肚區,M,0,70+,1,66000,66000240
100,2004,03,台南市,白河區,M,0,60~64,1,67000,67000030
100,2004,04,彰化縣,溪湖鎮,M,0,45~49,1,10007,10007110
100,2004,04,彰化縣,田中鎮,M,0,40~44,1,10007,10007120
100,2004,04,花蓮縣,光復鄉,M,0,60~64,1,10015,10015070
100,2004,04,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
100,2004,04,花蓮縣,萬榮鄉,M,0,55~59,1,10015,10015120
100,2004,04,高雄市,大樹區,F,0,60~64,1,64000,64000150
100,2004,04,高雄市,楠梓區,F,0,45~49,1,64000,64000040
100,2004,04,新北市,三峽區,M,0,20~24,1,65000,65000090
100,2004,04,台中市,神岡區,M,0,60~64,1,66000,66000160
100,2004,05,苗栗縣,銅鑼鄉,M,0,70+,1,10005,10005100
100,2004,05,台東縣,台東市,M,0,30~34,1,10014,10014010
100,2004,05,花蓮縣,吉安鄉,M,0,35~39,1,10015,10015050
100,2004,05,高雄市,燕巢區,M,0,25~29,1,64000,64000210
100,2004,05,新北市,鶯歌區,M,0,55~59,1,65000,65000080
100,2004,05,台中市,大雅區,M,0,45~49,1,66000,66000180
100,2004,06,南投縣,信義鄉,M,0,25~29,1,10008,10008120
100,2004,06,南投縣,埔里鎮,M,0,55~59,1,10008,10008020
100,2004,06,屏東縣,來義鄉,F,0,30~34,1,10013,10013300
100,2004,06,花蓮縣,卓溪鄉,M,0,65~69,1,10015,10015130
100,2004,06,花蓮縣,富里鄉,F,0,55~59,1,10015,10015100
100,2004,06,花蓮縣,花蓮市,M,0,60~64,1,10015,10015010
100,2004,07,彰化縣,北斗鎮,M,0,60~64,1,10007,10007190
