確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
006,2004,19,苗栗縣,後龍鎮,F,1,30~34,1,10005,10005060
006,2004,20,彰化縣,鹿港鎮,F,0,20~24,1,10007,10007020
006,2004,21,台南市,新化區,F,0,30~34,1,67000,67000180
006,2004,21,台南市,新化區,F,0,40~44,2,67000,67000180
006,2004,21,台南市,新化區,F,0,45~49,1,67000,67000180
006,2004,21,台南市,新化區,M,0,45~49,3,67000,67000180
006,2004,21,台南市,新化區,F,0,50~54,2,67000,67000180
006,2004,21,台南市,新化區,M,0,50~54,2,67000,67000180
006,2004,21,台南市,新化區,M,0,55~59,1,67000,67000180
006,2004,22,台中市,南屯區,F,1,35~39,1,66000,66000070
006,2004,22,台南市,新化區,M,0,60~64,1,67000,67000180
006,2004,23,彰化縣,彰化市,M,1,40~44,1,10007,10007010
006,2004,24,花蓮縣,玉里鎮,F,0,30~34,1,10015,10015030
006,2004,24,花蓮縣,玉里鎮,M,0,45~49,1,10015,10015030
006,2004,24,台中市,太平區,F,1,35~39,1,66000,66000270
006,2004,25,彰化縣,花壇鄉,F,1,40~44,1,10007,10007080
006,2004,25,台中市,太平區,M,1,20~24,1,66000,66000270
006,2004,26,桃園市,龜山區,M,1,25~29,1,68000,68000070
006,2004,28,新北市,淡水區,M,0,30~34,1,65000,65000100
006,2004,29,台中市,北屯區,F,1,20~24,1,66000,66000080
006,2004,30,台北市,大安區,F,1,25~29,1,63000,63000030
006,2004,30,台中市,龍井區,F,1,35~39,1,66000,66000250
006,2004,31,台北市,南港區,M,0,25~29,1,63000,63000090
006,2004,31,新北市,新莊區,M,0,30~34,1,65000,65000050
006,2004,31,新北市,烏來區,M,0,55~59,1,65000,65000290
006,2004,38,雲林縣,斗六市,F,1,40~44,1,10009,10009010
006,2004,38,新北市,板橋區,M,0,35~39,1,65000,65000010
006,2004,40,新北市,樹林區,M,1,25~29,1,65000,65000070
006,2004,41,彰化縣,彰化市,M,1,35~39,1,10007,10007010
006,2004,43,台北市,大同區,F,1,20~24,1,63000,63000060
006,2004,43,台中市,清水區,F,0,25~29,1,66000,66000120
006,2004,44,花蓮縣,吉安鄉,F,1,25~29,1,10015,10015050
006,2004,46,花蓮縣,玉里鎮,F,0,55~59,1,10015,10015030
006,2004,47,雲林縣,斗六市,M,1,65~69,1,10009,10009010
006,2004,47,台北市,中山區,M,1,50~54,1,63000,63000040
006,2004,47,台北市,大安區,F,1,30~34,1,63000,63000030
006,2004,48,苗栗縣,頭份市,F,1,25~29,1,10005,10005050
006,2004,48,台北市,士林區,M,0,30~34,1,63000,63000110
006,2004,49,新北市,中和區,F,1,20~24,1,65000,65000030
006,2004,50,台北市,中正區,M,0,55~59,1,63000,63000050
006,2004,51,台北市,中山區,M,1,50~54,1,63000,63000040
006,2004,51,台中市,太平區,M,0,40~44,1,66000,66000270
006,2004,52,新北市,新店區,F,1,35~39,1,65000,65000060
006,2004,53,新北市,三重區,M,0,30~34,1,65000,65000020
006,2005,3,新竹縣,竹北市,F,1,20~24,1,10004,10004010
006,2005,3,彰化縣,鹿港鎮,F,1,20~24,1,10007,10007020
006,2005,3,台中市,東勢區,F,1,25~29,1,66000,66000100
006,2005,4,屏東縣,潮州鎮,F,1,20~24,1,10013,10013020
006,2005,4,新北市,板橋區,M,1,40~44,1,65000,65000010
006,2005,5,花蓮縣,玉里鎮,F,0,60~64,1,10015,10015030
006,2005,6,雲林縣,斗六市,F,1,30~34,1,10009,10009010
006,2005,6,花蓮縣,玉里鎮,F,0,40~44,1,10015,10015030
006,2005,6,新北市,中和區,F,1,30~34,1,65000,65000030
006,2005,8,新竹市,北區,M,0,50~54,1,10018,10018020
006,2005,8,台北市,萬華區,M,0,55~59,1,63000,63000070
006,2005,9,新北市,淡水區,M,0,55~59,1,65000,65000100
006,2005,10,新北市,淡水區,M,0,30~34,1,65000,65000100
006,2005,10,新北市,淡水區,M,0,50~54,1,65000,65000100
006,2005,10,新北市,淡水區,M,0,55~59,1,65000,65000100
006,2005,10,新北市,淡水區,M,0,65~69,1,65000,65000100
006,2005,11,桃園市,桃園區,M,0,25~29,1,68000,68000010
006,2005,12,台北市,士林區,M,0,50~54,1,63000,63000110
006,2005,12,台中市,潭子區,F,1,25~29,1,66000,66000170
006,2005,13,新北市,永和區,M,0,30~34,1,65000,65000040
006,2005,13,新北市,汐止區,M,1,35~39,1,65000,65000110
006,2005,14,新北市,淡水區,M,0,40~44,1,65000,65000100
006,2005,15,彰化縣,鹿港鎮,M,0,20~24,1,10007,10007020
006,2005,15,新北市,烏來區,M,1,20~24,1,65000,65000290
006,2005,16,新竹市,東區,F,1,20~24,1,10018,10018010
006,2005,16,台北市,士林區,F,1,35~39,1,63000,63000110
006,2005,16,新北市,淡水區,F,1,20~24,1,65000,65000100
006,2005,17,花蓮縣,玉里鎮,M,0,50~54,1,10015,10015030
006,2005,17,台南市,安定區,F,1,20~24,1,67000,67000210
006,2005,18,花蓮縣,玉里鎮,M,0,45~49,1,10015,10015030
006,2005,18,台北市,松山區,M,0,35~39,1,63000,63000010
006,2005,18,新北市,三芝區,M,1,45~49,1,65000,65000210
006,2005,18,新北市,淡水區,F,1,25~29,1,65000,65000100
006,2005,18,新北市,蘆洲區,M,0,25~29,1,65000,65000140
006,2005,18,桃園市,大園區,M,0,35~39,1,68000,68000060
006,2005,20,南投縣,埔里鎮,F,1,25~29,1,10008,10008020
006,2005,20,雲林縣,麥寮鄉,M,1,40~44,1,10009,10009130
006,2005,20,屏東縣,內埔鄉,M,0,20~24,1,10013,10013130
006,2005,20,新北市,中和區,M,0,35~39,1,65000,65000030
006,2005,20,新北市,汐止區,M,1,30~34,1,65000,65000110
006,2005,21,花蓮縣,花蓮市,M,0,20~24,1,10015,10015010
006,2005,21,嘉義市,西區,F,1,35~39,1,10020,10020020
006,2005,21,新北市,中和區,F,0,65~69,1,65000,65000030
006,2005,22,台中市,大肚區,F,1,30~34,1,66000,66000240
006,2005,23,嘉義縣,中埔鄉,F,1,25~29,1,10010,10010130
006,2005,23,台北市,中山區,F,1,30~34,1,63000,63000040
006,2005,23,新北市,永和區,M,0,25~29,1,65000,65000040
006,2005,24,宜蘭縣,羅東鎮,M,1,30~34,1,10002,10002020
006,2005,25,花蓮縣,花蓮市,M,0,30~34,1,10015,10015010
006,2005,25,台中市,大里區,M,1,35~39,1,66000,66000280
006,2005,29,台北市,北投區,F,1,35~39,1,63000,63000120
006,2005,29,台南市,安南區,M,0,70+,1,67000,67000350
006,2005,31,新竹縣,竹北市,F,1,25~29,1,10004,10004010
006,2005,31,南投縣,南投市,F,1,30~34,1,10008,10008010
006,2005,33,台北市,信義區,M,0,35~39,1,63000,63000020
006,2005,33,台北市,北投區,M,0,20~24,1,63000,63000120
006,2005,34,南投縣,水里鄉,F,1,20~24,1,10008,10008110
006,2005,34,台北市,大安區,F,1,45~49,1,63000,63000030
006,2005,34,台中市,大甲區,F,1,30~34,1,66000,66000110
006,2005,36,台中市,潭子區,F,1,40~44,1,66000,66000170
006,2005,37,花蓮縣,玉里鎮,M,0,40~44,1,10015,10015030
006,2005,37,花蓮縣,玉里鎮,M,0,50~54,1,10015,10015030
006,2005,37,花蓮縣,玉里鎮,M,0,55~59,1,10015,10015030
006,2005,37,新竹市,北區,M,0,45~49,1,10018,10018020
006,2005,38,花蓮縣,玉里鎮,F,0,30~34,1,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,35~39,1,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,40~44,3,10015,10015030
006,2005,38,花蓮縣,玉里鎮,F,0,45~49,1,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,45~49,5,10015,10015030
006,2005,38,花蓮縣,玉里鎮,F,0,50~54,1,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,50~54,6,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,55~59,3,10015,10015030
006,2005,38,花蓮縣,玉里鎮,F,0,60~64,1,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,60~64,2,10015,10015030
006,2005,38,花蓮縣,玉里鎮,F,0,65~69,1,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,65~69,4,10015,10015030
006,2005,38,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
006,2005,38,新北市,永和區,M,1,20~24,1,65000,65000040
006,2005,39,新竹市,東區,F,1,30~34,1,10018,10018010
006,2005,40,台北市,士林區,M,0,20~24,1,63000,63000110
006,2005,41,新北市,淡水區,M,0,30~34,1,65000,65000100
006,2005,41,新北市,淡水區,M,0,35~39,1,65000,65000100
006,2005,41,新北市,淡水區,M,0,45~49,2,65000,65000100
006,2005,41,新北市,淡水區,M,0,50~54,2,65000,65000100
006,2005,41,新北市,淡水區,F,0,55~59,1,65000,65000100
006,2005,41,新北市,淡水區,M,0,55~59,1,65000,65000100
006,2005,41,台中市,西屯區,M,1,30~34,1,66000,66000060
006,2005,44,台北市,中山區,M,0,20~24,1,63000,63000040
006,2005,44,台中市,大里區,F,1,20~24,1,66000,66000280
006,2005,44,台中市,西區,M,0,35~39,1,66000,66000040
006,2005,45,花蓮縣,玉里鎮,M,0,55~59,1,10015,10015030
006,2005,45,花蓮縣,玉里鎮,M,0,65~69,1,10015,10015030
006,2005,46,台北市,內湖區,F,1,25~29,1,63000,63000100
006,2005,47,台北市,士林區,F,0,50~54,1,63000,63000110
006,2005,47,台北市,大同區,M,1,70+,1,63000,63000060
006,2005,49,台北市,大安區,F,1,35~39,1,63000,63000030
006,2005,49,高雄市,大寮區,M,0,40~44,1,64000,64000140
006,2005,49,新北市,三重區,M,0,40~44,1,65000,65000020
006,2005,49,台中市,西屯區,F,1,20~24,1,66000,66000060
006,2005,50,台北市,士林區,F,1,30~34,1,63000,63000110
006,2005,51,彰化縣,和美鎮,M,1,35~39,1,10007,10007030
006,2005,51,彰化縣,社頭鄉,F,1,30~34,1,10007,10007170
006,2005,51,新北市,八里區,F,1,25~29,1,65000,65000230
006,2005,52,台中市,南區,F,1,25~29,1,66000,66000030
006,2005,53,宜蘭縣,冬山鄉,F,1,30~34,1,10002,10002080
006,2006,1,高雄市,鹽埕區,F,0,70+,1,64000,64000010
006,2006,1,新北市,板橋區,M,0,25~29,1,65000,65000010
006,2006,2,彰化縣,彰化市,M,0,55~59,1,10007,10007010
006,2006,2,新北市,三重區,M,0,45~49,1,65000,65000020
006,2006,4,宜蘭縣,員山鄉,M,0,40~44,1,10002,10002070
006,2006,4,台中市,南屯區,M,0,35~39,1,66000,66000070
006,2006,6,台南市,新化區,F,0,45~49,1,67000,67000180
006,2006,7,台南市,新化區,F,0,50~54,1,67000,67000180
006,2006,7,台南市,新化區,F,0,65~69,3,67000,67000180
006,2006,8,新北市,三重區,M,1,40~44,1,65000,65000020
006,2006,8,台南市,新化區,F,0,35~39,1,67000,67000180
006,2006,8,台南市,新化區,F,0,40~44,1,67000,67000180
006,2006,8,台南市,新化區,F,0,45~49,1,67000,67000180
006,2006,8,台南市,新化區,M,0,45~49,1,67000,67000180
006,2006,8,台南市,新化區,F,0,50~54,1,67000,67000180
006,2006,8,台南市,新化區,M,0,50~54,1,67000,67000180
006,2006,8,台南市,新化區,M,0,60~64,1,67000,67000180
006,2006,8,台南市,新化區,F,0,70+,1,67000,67000180
006,2006,8,台南市,新化區,M,0,70+,2,67000,67000180
006,2006,9,新北市,新店區,M,0,30~34,1,65000,65000060
006,2006,9,台南市,新化區,M,0,55~59,1,67000,67000180
006,2006,10,苗栗縣,西湖鄉,F,1,40~44,1,10005,10005140
006,2006,10,新竹市,香山區,M,0,35~39,1,10018,10018030
006,2006,10,新北市,深坑區,M,0,35~39,1,65000,65000180
006,2006,11,宜蘭縣,冬山鄉,F,1,20~24,1,10002,10002080
006,2006,11,新北市,永和區,F,1,20~24,1,65000,65000040
006,2006,11,台中市,北區,M,0,40~44,1,66000,66000050
006,2006,11,台南市,新營區,F,1,20~24,1,67000,67000010
006,2006,11,桃園市,八德區,M,1,20~24,1,68000,68000080
006,2006,12,嘉義縣,東石鄉,F,0,25~29,1,10010,10010090
006,2006,13,高雄市,岡山區,M,0,25~29,1,64000,64000190
006,2006,13,新北市,淡水區,M,0,35~39,1,65000,65000100
006,2006,13,新北市,淡水區,M,0,50~54,1,65000,65000100
006,2006,13,新北市,淡水區,F,0,55~59,1,65000,65000100
006,2006,13,新北市,淡水區,M,0,55~59,2,65000,65000100
006,2006,13,新北市,淡水區,M,0,60~64,1,65000,65000100
006,2006,14,花蓮縣,壽豐鄉,F,0,25~29,1,10015,10015060
006,2006,14,新北市,淡水區,M,0,35~39,1,65000,65000100
006,2006,14,新北市,淡水區,M,0,40~44,2,65000,65000100
006,2006,14,新北市,淡水區,M,0,70+,1,65000,65000100
006,2006,15,台北市,士林區,M,1,35~39,1,63000,63000110
006,2006,15,台北市,萬華區,M,1,25~29,1,63000,63000070
006,2006,15,新北市,淡水區,M,0,65~69,1,65000,65000100
006,2006,16,彰化縣,社頭鄉,F,1,30~34,1,10007,10007170
006,2006,17,苗栗縣,竹南鎮,F,1,25~29,1,10005,10005040
006,2006,17,南投縣,南投市,M,1,35~39,1,10008,10008010
006,2006,17,花蓮縣,秀林鄉,M,0,40~44,1,10015,10015110
006,2006,17,台中市,西屯區,F,1,20~24,1,66000,66000060
006,2006,18,南投縣,仁愛鄉,M,0,15~19,1,10008,10008130
006,2006,19,新北市,新店區,F,0,40~44,1,65000,65000060
006,2006,19,台南市,新營區,M,0,55~59,1,67000,67000010
006,2006,20,高雄市,阿蓮區,M,1,30~34,1,64000,64000230
006,2006,20,新北市,中和區,M,0,35~39,1,65000,65000030
006,2006,20,台中市,龍井區,M,0,25~29,1,66000,66000250
006,2006,20,台南市,學甲區,F,1,30~34,1,67000,67000130
006,2006,20,台南市,永康區,F,1,30~34,1,67000,67000310
006,2006,21,屏東縣,屏東市,M,0,25~29,1,10013,10013010
006,2006,23,台中市,大里區,M,0,35~39,1,66000,66000280
006,2006,23,台中市,豐原區,F,1,20~24,1,66000,66000090
006,2006,26,宜蘭縣,頭城鎮,F,1,25~29,1,10002,10002040
006,2006,26,台南市,學甲區,F,1,30~34,1,67000,67000130
006,2006,26,台南市,東區,M,0,30~34,1,67000,67000320
006,2006,27,台南市,玉井區,M,0,30~34,1,67000,67000230
006,2006,28,宜蘭縣,礁溪鄉,M,0,70+,1,10002,10002050
006,2006,28,台南市,南區,M,1,25~29,1,67000,67000330
006,2006,28,台南市,南區,F,1,35~39,1,67000,67000330
006,2006,28,台南市,安平區,M,1,20~24,1,67000,67000360
006,2006,28,台南市,東區,F,1,30~34,1,67000,67000320
006,2006,29,新北市,石碇區,M,0,40~44,1,65000,65000190
006,2006,30,苗栗縣,通霄鎮,F,1,25~29,1,10005,10005030
006,2006,30,台中市,東勢區,M,0,50~54,1,66000,66000100
006,2006,32,花蓮縣,瑞穗鄉,F,0,70+,1,10015,10015090
006,2006,32,台北市,信義區,M,0,15~19,1,63000,63000020
006,2006,32,台北市,士林區,M,0,40~44,1,63000,63000110
006,2006,33,彰化縣,和美鎮,F,0,25~29,1,10007,10007030
006,2006,33,屏東縣,枋寮鄉,F,0,50~54,1,10013,10013160
006,2006,33,新北市,新莊區,M,1,55~59,1,65000,65000050
006,2006,34,台北市,文山區,M,1,30~34,1,63000,63000080
006,2006,34,新北市,板橋區,M,0,35~39,1,65000,65000010
006,2006,35,宜蘭縣,冬山鄉,M,1,25~29,1,10002,10002080
006,2006,35,高雄市,左營區,M,0,35~39,1,64000,64000030
006,2006,35,台中市,霧峰區,F,1,20~24,1,66000,66000260
006,2006,36,新北市,中和區,M,0,20~24,1,65000,65000030
006,2006,36,新北市,新店區,M,0,30~34,1,65000,65000060
006,2006,36,新北市,汐止區,M,1,30~34,1,65000,65000110
006,2006,36,桃園市,中壢區,M,0,70+,1,68000,68000020
006,2006,37,高雄市,三民區,M,0,45~49,1,64000,64000050
006,2006,39,彰化縣,和美鎮,M,0,50~54,1,10007,10007030
006,2006,41,屏東縣,長治鄉,M,0,45~49,1,10013,10013060
006,2006,41,台中市,北區,M,0,40~44,1,66000,66000050
006,2006,41,台南市,關廟區,F,1,25~29,1,67000,67000290
006,2006,43,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
006,2006,44,嘉義市,西區,F,1,30~34,1,10020,10020020
