確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
006,2003,01,宜蘭縣,羅東鎮,F,1,30~34,1,10002,10002020
006,2003,01,宜蘭縣,蘇澳鎮,M,1,20~24,1,10002,10002030
006,2003,01,新竹縣,橫山鄉,F,1,20~24,1,10004,10004080
006,2003,01,苗栗縣,公館鄉,F,1,25~29,1,10005,10005090
006,2003,01,彰化縣,和美鎮,M,1,35~39,2,10007,10007030
006,2003,01,彰化縣,員林市,F,1,25~29,1,10007,10007100
006,2003,01,屏東縣,新園鄉,F,0,25~29,1,10013,10013170
006,2003,01,基隆市,信義區,M,0,25~29,1,10017,10017070
006,2003,01,台北市,信義區,F,1,30~34,1,63000,63000020
006,2003,01,台北市,其他,F,1,30~34,1,63000,63000999
006,2003,01,台北市,士林區,F,1,20~24,1,63000,63000110
006,2003,01,台北市,大同區,F,1,20~24,1,63000,63000060
006,2003,01,台北市,松山區,F,1,25~29,1,63000,63000010
006,2003,01,高雄市,路竹區,M,1,20~24,1,64000,64000240
006,2003,01,新北市,三芝區,F,1,25~29,1,65000,65000210
006,2003,01,新北市,三重區,F,1,20~24,1,65000,65000020
006,2003,01,新北市,新店區,F,1,30~34,1,65000,65000060
006,2003,01,新北市,樹林區,F,1,25~29,1,65000,65000070
006,2003,01,台南市,善化區,F,1,20~24,1,67000,67000190
006,2003,01,台南市,善化區,F,1,25~29,1,67000,67000190
006,2003,01,台南市,後壁區,M,0,30~34,3,67000,67000050
006,2003,01,台南市,後壁區,M,0,35~39,4,67000,67000050
006,2003,01,台南市,後壁區,M,0,40~44,1,67000,67000050
006,2003,01,台南市,後壁區,F,0,45~49,1,67000,67000050
006,2003,01,台南市,新營區,F,1,25~29,1,67000,67000010
006,2003,01,桃園市,龜山區,F,0,25~29,1,68000,68000070
006,2003,02,宜蘭縣,宜蘭市,F,1,30~34,1,10002,10002010
006,2003,02,新竹縣,竹東鎮,F,0,25~29,1,10004,10004020
006,2003,02,彰化縣,和美鎮,M,1,25~29,1,10007,10007030
006,2003,02,彰化縣,和美鎮,M,1,40~44,1,10007,10007030
006,2003,02,彰化縣,田中鎮,F,0,70+,1,10007,10007120
