確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
025,2004,23,屏東縣,車城鄉,M,0,55~59,1,10013,10013230
025,2004,26,台南市,南區,M,0,65~69,1,67000,67000330
025,2004,27,高雄市,甲仙區,M,0,45~49,1,64000,64000330
025,2004,32,高雄市,林園區,F,0,60~64,1,64000,64000130
025,2004,35,台南市,南區,F,0,70+,1,67000,67000330
025,2004,39,高雄市,茄萣區,F,0,40~44,1,64000,64000260
025,2004,39,台中市,北屯區,M,0,45~49,1,66000,66000080
025,2004,40,屏東縣,獅子鄉,M,0,60~64,1,10013,10013320
025,2004,43,台中市,豐原區,M,0,60~64,1,66000,66000090
025,2004,49,高雄市,林園區,M,0,20~24,1,64000,64000130
025,2004,52,高雄市,鳳山區,M,0,15~19,1,64000,64000120
025,2005,10,高雄市,楠梓區,M,0,20~24,1,64000,64000040
025,2005,11,屏東縣,里港鄉,M,0,35~39,1,10013,10013090
025,2005,21,高雄市,苓雅區,M,0,50~54,1,64000,64000080
025,2005,31,高雄市,燕巢區,M,0,50~54,1,64000,64000210
025,2005,31,台南市,南區,F,0,45~49,1,67000,67000330
025,2005,32,高雄縣(舊),茄萣鄉,M,0,50~54,1,10012,10012150
025,2005,32,高雄市,小港區,F,0,65~69,1,64000,64000110
025,2005,32,高雄市,梓官區,F,0,50~54,1,64000,64000290
025,2005,32,高雄市,湖內區,M,0,50~54,1,64000,64000250
025,2005,32,高雄市,湖內區,F,0,60~64,1,64000,64000250
025,2005,32,高雄市,苓雅區,M,0,50~54,1,64000,64000080
025,2005,32,高雄市,茄萣區,M,0,30~34,1,64000,64000260
025,2005,32,高雄市,茄萣區,M,0,40~44,1,64000,64000260
025,2005,32,高雄市,茄萣區,M,0,55~59,2,64000,64000260
025,2005,32,高雄市,茄萣區,F,0,60~64,1,64000,64000260
025,2005,32,高雄市,茄萣區,M,0,65~69,1,64000,64000260
025,2005,32,高雄市,茄萣區,F,0,70+,1,64000,64000260
025,2005,32,高雄市,茄萣區,M,0,70+,1,64000,64000260
025,2005,32,高雄市,鳳山區,M,0,55~59,1,64000,64000120
025,2005,32,台中市,太平區,F,0,60~64,1,66000,66000270
025,2005,32,台南市,仁德區,F,0,70+,1,67000,67000270
025,2005,32,台南市,仁德區,M,0,70+,2,67000,67000270
025,2005,32,台南市,南區,M,0,50~54,1,67000,67000330
025,2005,32,台南市,南區,M,0,55~59,1,67000,67000330
025,2005,32,台南市,南區,F,0,65~69,1,67000,67000330
025,2005,32,台南市,南區,M,0,65~69,1,67000,67000330
025,2005,32,台南市,南區,M,0,70+,3,67000,67000330
025,2005,32,桃園市,八德區,F,0,50~54,1,68000,68000080
025,2005,33,屏東縣,枋寮鄉,M,0,40~44,1,10013,10013160
025,2005,33,高雄市,大樹區,M,0,65~69,1,64000,64000150
025,2005,33,高雄市,梓官區,M,0,45~49,1,64000,64000290
025,2005,33,高雄市,茄萣區,M,0,65~69,1,64000,64000260
025,2005,33,高雄市,茄萣區,M,0,70+,1,64000,64000260
025,2005,33,台南市,永康區,M,0,50~54,1,67000,67000310
025,2005,34,屏東縣,屏東市,M,0,70+,1,10013,10013010
025,2005,34,高雄市,茄萣區,M,0,65~69,1,64000,64000260
025,2005,34,高雄市,茄萣區,F,0,70+,1,64000,64000260
025,2005,34,台南市,仁德區,M,0,55~59,1,67000,67000270
025,2005,34,台南市,南區,M,0,35~39,1,67000,67000330
025,2005,34,台南市,南區,F,0,55~59,1,67000,67000330
025,2005,34,台南市,南區,M,0,60~64,1,67000,67000330
025,2005,34,台南市,南區,M,0,70+,1,67000,67000330
025,2005,35,高雄市,大樹區,F,0,50~54,1,64000,64000150
025,2005,35,高雄市,茄萣區,F,0,70+,1,64000,64000260
025,2005,35,高雄市,茄萣區,M,0,70+,1,64000,64000260
025,2005,35,高雄市,鳳山區,M,0,65~69,1,64000,64000120
025,2005,35,台南市,南區,M,0,50~54,1,67000,67000330
025,2005,35,台南市,南區,M,0,60~64,1,67000,67000330
025,2005,36,屏東縣,佳冬鄉,F,0,40~44,1,10013,10013210
025,2005,36,台南市,中西區,M,0,70+,1,67000,67000370
025,2005,37,高雄市,三民區,M,0,45~49,1,64000,64000050
025,2005,37,高雄市,三民區,M,0,45~49,1,64000,64000051
025,2005,37,高雄市,三民區,M,0,45~49,1,64000,64000052
025,2005,37,高雄市,左營區,M,0,70+,1,64000,64000030
025,2005,37,高雄市,茄萣區,F,0,55~59,1,64000,64000260
025,2005,37,台南市,仁德區,M,0,35~39,1,67000,67000270
025,2005,38,高雄市,旗津區,M,0,60~64,1,64000,64000100
025,2005,38,高雄市,茄萣區,M,0,65~69,1,64000,64000260
025,2005,38,高雄市,茄萣區,F,0,70+,1,64000,64000260
025,2005,39,高雄市,茄萣區,M,0,65~69,1,64000,64000260
025,2005,40,高雄市,楠梓區,F,0,55~59,1,64000,64000040
025,2005,40,台中市,西區,M,1,45~49,1,66000,66000040
025,2005,42,高雄市,茄萣區,M,0,50~54,1,64000,64000260
025,2005,43,台南市,仁德區,F,0,60~64,1,67000,67000270
025,2005,43,台南市,安南區,M,0,70+,1,67000,67000350
025,2005,43,台南市,玉井區,M,0,70+,1,67000,67000230
025,2005,44,高雄市,茄萣區,M,0,70+,1,64000,64000260
025,2005,44,台南市,南區,F,0,70+,1,67000,67000330
025,2005,45,高雄市,左營區,M,0,50~54,1,64000,64000030
025,2005,47,高雄市,茄萣區,F,0,60~64,1,64000,64000260
025,2005,47,台南市,仁德區,F,0,70+,1,67000,67000270
025,2005,52,高雄市,梓官區,M,0,50~54,1,64000,64000290
025,2006,4,高雄市,茄萣區,M,0,60~64,1,64000,64000260
025,2006,17,台南市,歸仁區,M,0,70+,1,67000,67000280
025,2006,18,高雄市,茄萣區,F,0,55~59,1,64000,64000260
025,2006,18,高雄市,路竹區,M,0,70+,1,64000,64000240
025,2006,20,台南市,南區,M,1,40~44,1,67000,67000330
025,2006,26,高雄縣(舊),彌陀鄉,M,0,55~59,1,10012,10012170
025,2006,26,高雄市,鳳山區,M,0,45~49,1,64000,64000120
025,2006,26,台中市,大里區,M,1,65~69,1,66000,66000280
025,2006,27,高雄縣(舊),茄萣鄉,F,0,40~44,1,10012,10012150
025,2006,30,屏東縣,車城鄉,M,0,55~59,1,10013,10013230
025,2006,30,高雄市,大樹區,M,0,70+,1,64000,64000150
025,2006,31,屏東縣,林邊鄉,M,0,45~49,1,10013,10013190
025,2006,31,屏東縣,車城鄉,F,0,70+,1,10013,10013230
025,2006,31,高雄市,三民區,M,0,55~59,1,64000,64000050
025,2006,31,高雄市,三民區,M,0,55~59,1,64000,64000051
025,2006,31,高雄市,三民區,M,0,55~59,1,64000,64000052
025,2006,31,高雄市,茄萣區,M,0,40~44,1,64000,64000260
025,2006,31,台南市,仁德區,M,0,70+,1,67000,67000270
025,2006,33,雲林縣,台西鄉,M,0,40~44,1,10009,10009160
025,2006,33,屏東縣,里港鄉,M,0,45~49,1,10013,10013090
025,2006,36,新北市,永和區,M,0,50~54,1,65000,65000040
025,2006,36,台南市,仁德區,F,0,45~49,1,67000,67000270
