確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
025,2003,03,基隆市,七堵區,M,0,35~39,1,10017,10017020
025,2003,04,台中市,北區,M,1,50~54,1,66000,66000050
025,2003,10,屏東縣,瑪家鄉,M,0,45~49,1,10013,10013280
025,2003,11,屏東縣,新園鄉,M,0,40~44,1,10013,10013170
025,2003,11,屏東縣,潮州鎮,M,1,70+,1,10013,10013020
025,2004,01,屏東縣,車城鄉,M,0,55~59,1,10013,10013230
025,2004,03,高雄縣(舊),杉林鄉,M,0,35~39,1,10012,10012230
025,2004,05,屏東縣,車城鄉,M,0,55~59,1,10013,10013230
025,2004,05,台南市,南區,M,0,65~69,1,67000,67000330
025,2004,06,高雄市,甲仙區,M,0,45~49,1,64000,64000330
025,2004,07,高雄市,林園區,F,0,60~64,1,64000,64000130
025,2004,07,高雄市,鳳山區,M,0,15~19,1,64000,64000120
025,2004,08,高雄市,茄萣區,F,0,40~44,1,64000,64000260
025,2004,08,台南市,南區,F,0,70+,1,67000,67000330
025,2004,09,屏東縣,獅子鄉,M,0,60~64,1,10013,10013320
025,2004,09,台中市,北屯區,M,0,45~49,1,66000,66000080
025,2004,09,台中市,豐原區,M,0,60~64,1,66000,66000090
025,2004,10,高雄市,林園區,M,0,20~24,1,64000,64000130
025,2005,01,高雄市,楠梓區,M,0,20~24,1,64000,64000040
025,2005,02,屏東縣,里港鄉,M,0,35~39,1,10013,10013090
025,2005,04,高雄市,苓雅區,M,0,50~54,1,64000,64000080
025,2005,07,高雄縣(舊),茄萣鄉,M,0,50~54,1,10012,10012150
025,2005,07,屏東縣,佳冬鄉,F,0,40~44,1,10013,10013210
025,2005,07,屏東縣,車城鄉,F,0,70+,1,10013,10013230
025,2005,07,高雄市,小港區,F,0,65~69,1,64000,64000110
025,2005,07,高雄市,梓官區,F,0,50~54,1,64000,64000290
025,2005,07,高雄市,湖內區,M,0,50~54,1,64000,64000250
025,2005,07,高雄市,湖內區,F,0,60~64,1,64000,64000250
025,2005,07,高雄市,燕巢區,M,0,50~54,1,64000,64000210
025,2005,07,高雄市,苓雅區,M,0,50~54,1,64000,64000080
025,2005,07,高雄市,茄萣區,M,0,30~34,1,64000,64000260
025,2005,07,高雄市,茄萣區,M,0,40~44,1,64000,64000260
025,2005,07,高雄市,茄萣區,M,0,55~59,2,64000,64000260
025,2005,07,高雄市,茄萣區,F,0,60~64,1,64000,64000260
025,2005,07,高雄市,茄萣區,M,0,65~69,3,64000,64000260
025,2005,07,高雄市,茄萣區,F,0,70+,1,64000,64000260
025,2005,07,高雄市,茄萣區,M,0,70+,2,64000,64000260
025,2005,07,高雄市,鳳山區,M,0,55~59,1,64000,64000120
025,2005,07,新北市,新莊區,M,0,25~29,1,65000,65000050
025,2005,07,台中市,太平區,F,0,60~64,1,66000,66000270
025,2005,07,台南市,仁德區,F,0,70+,1,67000,67000270
025,2005,07,台南市,仁德區,M,0,70+,2,67000,67000270
025,2005,07,台南市,南區,F,0,45~49,1,67000,67000330
025,2005,07,台南市,南區,M,0,50~54,1,67000,67000330
025,2005,07,台南市,南區,F,0,55~59,1,67000,67000330
025,2005,07,台南市,南區,M,0,55~59,1,67000,67000330
025,2005,07,台南市,南區,F,0,65~69,1,67000,67000330
025,2005,07,台南市,南區,M,0,65~69,1,67000,67000330
025,2005,07,台南市,南區,M,0,70+,3,67000,67000330
025,2005,07,台南市,安南區,M,0,70+,1,67000,67000350
025,2005,07,桃園市,八德區,F,0,50~54,1,68000,68000080
025,2005,08,屏東縣,屏東市,M,0,70+,1,10013,10013010
025,2005,08,屏東縣,枋寮鄉,M,0,40~44,1,10013,10013160
025,2005,08,高雄市,三民區,M,0,45~49,1,64000,64000050
025,2005,08,高雄市,三民區,M,0,45~49,1,64000,64000051
025,2005,08,高雄市,三民區,M,0,45~49,1,64000,64000052
025,2005,08,高雄市,大樹區,F,0,50~54,1,64000,64000150
025,2005,08,高雄市,大樹區,M,0,65~69,1,64000,64000150
025,2005,08,高雄市,左營區,M,0,70+,1,64000,64000030
025,2005,08,高雄市,旗津區,M,0,60~64,1,64000,64000100
025,2005,08,高雄市,梓官區,M,0,45~49,1,64000,64000290
025,2005,08,高雄市,茄萣區,F,0,55~59,1,64000,64000260
025,2005,08,高雄市,茄萣區,F,0,70+,2,64000,64000260
025,2005,08,高雄市,茄萣區,M,0,70+,1,64000,64000260
025,2005,08,高雄市,鳳山區,M,0,65~69,1,64000,64000120
025,2005,08,台中市,西區,M,1,45~49,1,66000,66000040
025,2005,08,台南市,中西區,M,0,70+,1,67000,67000370
025,2005,08,台南市,仁德區,M,0,35~39,1,67000,67000270
025,2005,08,台南市,仁德區,M,0,55~59,1,67000,67000270
025,2005,08,台南市,南區,M,0,35~39,1,67000,67000330
025,2005,08,台南市,南區,M,0,50~54,1,67000,67000330
025,2005,08,台南市,南區,M,0,60~64,2,67000,67000330
025,2005,08,台南市,南區,M,0,70+,1,67000,67000330
025,2005,08,台南市,永康區,M,0,50~54,1,67000,67000310
025,2005,09,高雄市,楠梓區,F,0,55~59,1,64000,64000040
025,2005,09,高雄市,茄萣區,M,0,50~54,1,64000,64000260
025,2005,09,高雄市,茄萣區,M,0,65~69,2,64000,64000260
025,2005,09,高雄市,茄萣區,F,0,70+,1,64000,64000260
025,2005,10,高雄市,左營區,M,0,50~54,1,64000,64000030
025,2005,10,高雄市,茄萣區,F,0,60~64,1,64000,64000260
025,2005,10,高雄市,茄萣區,M,0,70+,1,64000,64000260
025,2005,10,台南市,仁德區,F,0,60~64,1,67000,67000270
025,2005,10,台南市,南區,F,0,70+,1,67000,67000330
025,2005,10,台南市,玉井區,M,0,70+,1,67000,67000230
025,2005,11,台南市,仁德區,F,0,70+,1,67000,67000270
025,2005,12,高雄市,梓官區,M,0,50~54,1,64000,64000290
025,2006,01,高雄市,茄萣區,M,0,60~64,1,64000,64000260
025,2006,04,高雄市,茄萣區,F,0,55~59,1,64000,64000260
025,2006,04,高雄市,路竹區,M,0,70+,1,64000,64000240
025,2006,04,台南市,歸仁區,M,0,70+,1,67000,67000280
025,2006,05,台南市,南區,M,1,40~44,1,67000,67000330
025,2006,06,高雄縣(舊),彌陀鄉,M,0,55~59,1,10012,10012170
025,2006,06,高雄縣(舊),茄萣鄉,F,0,40~44,1,10012,10012150
025,2006,06,屏東縣,車城鄉,M,0,55~59,1,10013,10013230
025,2006,06,高雄市,茄萣區,M,0,40~44,1,64000,64000260
025,2006,06,高雄市,鳳山區,M,0,45~49,1,64000,64000120
025,2006,06,台中市,大里區,M,1,65~69,1,66000,66000280
025,2006,07,屏東縣,林邊鄉,M,0,45~49,1,10013,10013190
025,2006,07,屏東縣,里港鄉,M,0,45~49,1,10013,10013090
025,2006,07,高雄市,三民區,M,0,55~59,1,64000,64000050
025,2006,07,高雄市,三民區,M,0,55~59,1,64000,64000051
025,2006,07,高雄市,三民區,M,0,55~59,1,64000,64000052
025,2006,07,高雄市,大樹區,M,0,70+,1,64000,64000150
025,2006,07,台南市,仁德區,M,0,70+,1,67000,67000270
025,2006,08,雲林縣,台西鄉,M,0,40~44,1,10009,10009160
025,2006,08,高雄市,梓官區,M,0,70+,1,64000,64000290
025,2006,08,高雄市,楠梓區,M,0,70+,1,64000,64000040
025,2006,08,新北市,永和區,M,0,50~54,1,65000,65000040
025,2006,08,台南市,仁德區,F,0,45~49,1,67000,67000270
025,2006,09,屏東縣,車城鄉,M,0,40~44,1,10013,10013230
025,2006,09,澎湖縣,七美鄉,F,0,40~44,1,10016,10016060
025,2006,09,高雄市,鼓山區,M,0,55~59,1,64000,64000020
025,2006,10,屏東縣,屏東市,M,0,65~69,1,10013,10013010
025,2006,11,彰化縣,溪州鄉,M,0,55~59,1,10007,10007260
025,2006,11,高雄市,鳳山區,M,0,60~64,1,64000,64000120
025,2006,12,高雄市,左營區,M,0,70+,1,64000,64000030
025,2006,12,台南市,仁德區,M,0,60~64,1,67000,67000270
025,2006,12,台南市,仁德區,F,0,70+,1,67000,67000270
025,2006,12,桃園市,中壢區,M,0,50~54,1,68000,68000020
025,2007,01,彰化縣,彰化市,M,0,70+,1,10007,10007010
025,2007,01,台南市,仁德區,M,0,70+,1,67000,67000270
025,2007,02,屏東縣,鹽埔鄉,F,0,40~44,1,10013,10013100
025,2007,02,台南市,仁德區,M,0,70+,1,67000,67000270
025,2007,04,台南市,南區,F,0,65~69,1,67000,67000330
025,2007,05,高雄市,茄萣區,F,0,40~44,1,64000,64000260
025,2007,06,高雄市,鼓山區,M,0,55~59,1,64000,64000020
025,2007,06,台南市,南區,M,0,60~64,1,67000,67000330
025,2007,08,南投縣,信義鄉,F,0,4,1,10008,10008120
025,2007,08,高雄市,梓官區,F,0,40~44,1,64000,64000290
025,2007,08,台南市,安南區,M,0,65~69,1,67000,67000350
