確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
麻疹,2005,12,新北市,板橋區,M,否,1,1
麻疹,2005,12,新北市,板橋區,M,否,2,1
麻疹,2005,14,宜蘭縣,宜蘭市,F,否,10-14,1
麻疹,2005,33,高雄市,鼓山區,F,否,35-39,1
麻疹,2005,36,屏東縣,九如鄉,M,否,0,1
麻疹,2005,37,台北市,內湖區,M,否,0,1
麻疹,2005,43,台北市,南港區,F,否,0,1
麻疹,2005,50,新北市,新店區,M,是,40-44,1
麻疹,2005,51,台北市,內湖區,F,否,30-34,1
麻疹,2006,3,新北市,新莊區,F,否,15-19,1
麻疹,2006,10,台南市,六甲區,F,否,35-39,1
麻疹,2006,23,新北市,新莊區,M,是,0,1
麻疹,2006,23,彰化縣,溪湖鎮,M,否,40-44,1
麻疹,2006,26,台南市,新化區,F,是,0,1
麻疹,2006,44,新北市,新莊區,F,是,25-29,1
麻疹,2007,23,台南市,安南區,F,是,30-34,1
麻疹,2007,24,新北市,板橋區,F,是,25-29,1
麻疹,2007,25,台南市,北區,M,是,25-29,1
麻疹,2007,30,台中市,南屯區,M,是,0,1
麻疹,2007,31,台中市,北屯區,F,是,0,1
麻疹,2007,34,台北市,士林區,F,是,15-19,1
麻疹,2007,34,高雄市,苓雅區,M,是,1,1
麻疹,2008,2,花蓮縣,花蓮市,F,是,4,1
麻疹,2008,5,新北市,中和區,M,是,1,1
麻疹,2008,5,新北市,中和區,F,是,30-34,1
麻疹,2008,7,桃園市,桃園區,M,是,25-29,1
麻疹,2008,13,嘉義縣,大林鎮,F,是,30-34,1
麻疹,2008,14,嘉義縣,大林鎮,F,是,0,1
麻疹,2008,17,台北市,中正區,F,是,30-34,1
麻疹,2008,17,新北市,中和區,M,是,45-49,1
麻疹,2008,34,基隆市,七堵區,M,是,25-29,1
麻疹,2008,35,基隆市,七堵區,F,否,0,1
麻疹,2008,39,桃園市,龜山區,F,否,20-24,1
麻疹,2009,2,高雄市,左營區,M,否,0,1
麻疹,2009,2,高雄市,左營區,F,否,35-39,1
麻疹,2009,4,高雄市,大寮區,M,否,2,2
麻疹,2009,7,高雄市,三民區,F,否,0,1
麻疹,2009,7,高雄市,前鎮區,M,否,0,1
