確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
055,2003,04,其他,其他,F,1,0,2,99999,99999999
055,2003,05,桃園市,龜山區,M,1,1,1,68000,68000070
055,2003,09,台南市,六甲區,F,0,35~39,1,67000,67000090
055,2003,10,台中市,南區,F,1,25~29,1,66000,66000030
055,2003,11,宜蘭縣,冬山鄉,F,1,25~29,1,10002,10002080
055,2005,02,新北市,板橋區,M,0,1,1,65000,65000010
055,2005,03,宜蘭縣,宜蘭市,F,0,10~14,1,10002,10002010
055,2005,03,新北市,板橋區,M,0,2,1,65000,65000010
055,2005,08,台北市,南港區,F,0,0,1,63000,63000090
055,2005,11,台北市,內湖區,F,0,30~34,1,63000,63000100
055,2005,11,新北市,新店區,M,1,40~44,1,65000,65000060
055,2005,11,新北市,新莊區,F,0,15~19,1,65000,65000050
055,2006,02,彰化縣,溪湖鎮,M,0,40~44,1,10007,10007110
055,2006,04,新北市,新莊區,M,1,0,1,65000,65000050
055,2006,05,台南市,新化區,F,1,0,1,67000,67000180
055,2006,09,新北市,新莊區,F,1,25~29,1,65000,65000050
055,2007,05,台南市,安南區,F,1,30~34,1,67000,67000350
055,2007,06,新北市,板橋區,F,1,25~29,1,65000,65000010
055,2007,06,台南市,北區,M,1,25~29,1,67000,67000340
055,2007,07,高雄市,苓雅區,M,1,1,1,64000,64000080
055,2007,07,台中市,北屯區,F,1,0,1,66000,66000080
055,2007,07,台中市,南屯區,M,1,0,1,66000,66000070
055,2007,08,台北市,士林區,F,1,15~19,1,63000,63000110
055,2007,12,花蓮縣,花蓮市,F,1,4,1,10015,10015010
055,2007,12,新北市,中和區,M,1,1,1,65000,65000030
055,2007,12,新北市,中和區,F,1,30~34,1,65000,65000030
055,2008,01,桃園市,桃園區,M,1,25~29,1,68000,68000010
055,2008,03,嘉義縣,大林鎮,F,1,0,1,10010,10010040
055,2008,03,嘉義縣,大林鎮,F,1,30~34,1,10010,10010040
055,2008,04,台北市,中正區,F,1,30~34,1,63000,63000050
055,2008,04,新北市,中和區,M,1,45~49,1,65000,65000030
055,2008,06,桃園市,龜山區,F,0,20~24,1,68000,68000070
055,2008,08,基隆市,七堵區,F,0,0,1,10017,10017020
055,2008,08,基隆市,七堵區,M,1,25~29,1,10017,10017020
055,2008,11,高雄市,三民區,F,0,0,1,64000,64000050
055,2008,11,高雄市,三民區,F,1,1,1,64000,64000050
055,2008,11,高雄市,前鎮區,M,0,0,1,64000,64000090
055,2008,11,高雄市,左營區,F,0,4,1,64000,64000030
055,2008,12,高雄市,大寮區,M,0,2,2,64000,64000140
055,2008,12,高雄市,左營區,M,0,0,1,64000,64000030
055,2008,12,高雄市,左營區,F,0,35~39,1,64000,64000030
055,2009,01,台南市,下營區,F,1,0,1,67000,67000080
055,2009,02,苗栗縣,公館鄉,M,0,25~29,1,10005,10005090
055,2009,02,高雄市,三民區,F,0,1,1,64000,64000050
055,2009,02,新北市,新莊區,M,0,0,2,65000,65000050
055,2009,02,新北市,新莊區,F,0,2,1,65000,65000050
055,2009,02,新北市,林口區,M,0,30~34,1,65000,65000170
055,2009,02,新北市,樹林區,M,0,0,1,65000,65000070
055,2009,02,新北市,樹林區,M,0,1,1,65000,65000070
055,2009,02,台中市,北區,M,1,1,1,66000,66000050
055,2009,02,台中市,東區,F,0,2,1,66000,66000020
055,2009,02,台中市,潭子區,F,0,1,1,66000,66000170
055,2009,02,台中市,西屯區,M,0,0,1,66000,66000060
055,2009,02,台南市,北區,M,0,2,1,67000,67000340
055,2009,02,台南市,北區,F,0,35~39,1,67000,67000340
055,2009,02,台南市,永康區,F,0,0,1,67000,67000310
055,2009,02,台南市,永康區,M,0,0,1,67000,67000310
055,2009,02,台南市,永康區,F,1,1,1,67000,67000310
055,2009,02,台南市,永康區,M,0,25~29,1,67000,67000310
055,2009,02,桃園市,中壢區,M,0,0,1,68000,68000020
055,2009,02,桃園市,中壢區,M,0,5~9,1,68000,68000020
055,2009,02,桃園市,八德區,F,0,2,1,68000,68000080
055,2009,03,南投縣,仁愛鄉,M,0,15~19,1,10008,10008130
055,2009,03,新北市,新店區,M,1,0,1,65000,65000060
055,2009,03,新北市,新店區,M,0,1,1,65000,65000060
