確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0830,2003,03,高雄市,那瑪夏區,F,0,55~59,1,64000,64000380
0830,2003,04,台南市,關廟區,M,0,35~39,1,67000,67000290
0830,2003,11,高雄市,小港區,F,1,55~59,1,64000,64000110
0830,2003,11,台南市,善化區,F,0,65~69,1,67000,67000190
0830,2003,12,彰化縣,二林鎮,M,0,25~29,1,10007,10007200
0830,2003,12,屏東縣,竹田鄉,F,0,60~64,1,10013,10013140
0830,2003,12,高雄市,三民區,F,0,20~24,1,64000,64000050
0830,2003,12,高雄市,岡山區,M,0,40~44,1,64000,64000190
0830,2004,01,苗栗縣,後龍鎮,M,0,50~54,1,10005,10005060
0830,2004,01,花蓮縣,花蓮市,F,0,20~24,1,10015,10015010
0830,2004,01,高雄市,左營區,M,0,30~34,1,64000,64000030
0830,2004,01,高雄市,林園區,M,0,35~39,1,64000,64000130
0830,2004,01,高雄市,楠梓區,M,0,45~49,1,64000,64000040
0830,2004,01,台南市,官田區,M,0,55~59,1,67000,67000100
0830,2004,02,屏東縣,高樹鄉,M,0,50~54,1,10013,10013110
0830,2004,02,台南市,鹽水區,M,0,60~64,1,67000,67000020
0830,2004,03,彰化縣,二林鎮,M,0,45~49,1,10007,10007200
0830,2004,03,彰化縣,埤頭鄉,M,0,35~39,1,10007,10007220
0830,2004,03,彰化縣,彰化市,M,0,50~54,1,10007,10007010
0830,2004,03,彰化縣,福興鄉,M,0,70+,1,10007,10007060
0830,2004,03,高雄市,楠梓區,F,0,50~54,1,64000,64000040
0830,2004,04,彰化縣,二林鎮,M,0,50~54,1,10007,10007200
0830,2004,04,彰化縣,埤頭鄉,M,0,50~54,1,10007,10007220
0830,2004,04,彰化縣,溪湖鎮,M,1,40~44,1,10007,10007110
0830,2004,04,彰化縣,福興鄉,M,0,65~69,1,10007,10007060
0830,2004,04,彰化縣,花壇鄉,M,0,30~34,1,10007,10007080
0830,2004,04,屏東縣,內埔鄉,M,0,40~44,1,10013,10013130
0830,2004,04,高雄市,大樹區,M,0,55~59,1,64000,64000150
0830,2004,04,高雄市,岡山區,M,0,35~39,1,64000,64000190
0830,2004,04,高雄市,橋頭區,M,0,40~44,1,64000,64000200
0830,2004,04,高雄市,燕巢區,M,0,50~54,1,64000,64000210
0830,2004,04,高雄市,路竹區,M,0,40~44,1,64000,64000240
0830,2004,04,高雄市,鳳山區,M,0,35~39,1,64000,64000120
0830,2004,04,高雄市,鳳山區,M,0,45~49,1,64000,64000120
0830,2004,04,高雄市,鼓山區,M,0,20~24,1,64000,64000020
0830,2004,05,彰化縣,和美鎮,M,0,30~34,1,10007,10007030
0830,2004,05,彰化縣,溪湖鎮,M,0,40~44,1,10007,10007110
0830,2004,05,彰化縣,社頭鄉,M,0,40~44,1,10007,10007170
0830,2004,05,屏東縣,恆春鎮,M,0,65~69,1,10013,10013040
0830,2004,05,屏東縣,東港鎮,M,0,20~24,1,10013,10013030
0830,2004,05,花蓮縣,瑞穗鄉,M,0,60~64,1,10015,10015090
0830,2004,05,高雄市,三民區,M,0,30~34,1,64000,64000050
0830,2004,05,高雄市,大社區,M,0,35~39,1,64000,64000160
