年度,醫院層級,菌種名稱,抗生素名稱,分離菌株總數,通報藥敏試驗菌株總數,敏感性菌株數,非敏感性菌株數,通報藥敏試驗醫院家數
2018,醫學中心,Acinetobacter baumannii,Ampicillin/Sulbactam,18627,10676,5154,5522,16
2018,醫學中心,Acinetobacter baumannii,Amikacin,18627,7976,3273,4703,16
2018,醫學中心,Acinetobacter baumannii,Cefepime,18627,13457,5488,7969,16
2018,醫學中心,Acinetobacter baumannii,Ciprofloxacin,18627,14141,5436,8705,16
2018,醫學中心,Acinetobacter baumannii,Ceftazidime,18627,14126,5555,8571,16
2018,醫學中心,Acinetobacter baumannii,Colistin,18627,7383,7251,132,14
2018,醫學中心,Acinetobacter baumannii,Gentamicin,18627,11709,4680,7029,16
2018,醫學中心,Acinetobacter baumannii,Imipenem,18627,16863,7090,9773,22
2018,醫學中心,Acinetobacter baumannii,Levofloxacin,18627,9422,4101,5321,14
2018,醫學中心,Acinetobacter baumannii,Meropenem,18627,11773,5100,6673,21
2018,醫學中心,Acinetobacter baumannii,Piperacillin/Tazobactam,18627,13716,4845,8871,16
2018,醫學中心,Acinetobacter baumannii,Piperacillin,18627,940,267,673,14
2018,醫學中心,Acinetobacter baumannii,Tigecycline,18627,6898,5100,1798,14
2018,醫學中心,Enterobacter cloacae,Amikacin,7908,5181,5016,165,14
2018,醫學中心,Enterobacter cloacae,Cefotaxime,7908,3093,1664,1429,14
2018,醫學中心,Enterobacter cloacae,Cefepime,7908,5977,4853,1124,14
2018,醫學中心,Enterobacter cloacae,Ciprofloxacin,7908,5733,4487,1246,14
2018,醫學中心,Enterobacter cloacae,Ceftazidime,7908,6016,3415,2601,16
2018,醫學中心,Enterobacter cloacae,Ceftriaxone,7908,4794,2681,2113,16
2018,醫學中心,Enterobacter cloacae,Ertapenem,7908,6764,5547,1217,16
2018,醫學中心,Enterobacter cloacae,Gentamicin,7908,6174,5237,937,14
2018,醫學中心,Enterobacter cloacae,Imipenem,7908,5792,5021,771,16
2018,醫學中心,Enterobacter cloacae,Levofloxacin,7908,4833,3856,977,14
2018,醫學中心,Enterobacter cloacae,Meropenem,7908,2352,2234,118,16
2018,醫學中心,Escherichia coli,Ampicillin/Sulbactam,79105,49394,20574,28820,14
2018,醫學中心,Escherichia coli,Ampicillin,79105,17573,4267,13306,14
2018,醫學中心,Escherichia coli,Amikacin,79105,74302,73714,588,16
2018,醫學中心,Escherichia coli,Cefuroxime sodium,79105,14276,8602,5674,14
2018,醫學中心,Escherichia coli,Cefotaxime,79105,24619,16449,8170,14
2018,醫學中心,Escherichia coli,Ciprofloxacin,79105,74795,45324,29471,16
2018,醫學中心,Escherichia coli,Ceftazidime,79105,40575,28811,11764,16
2018,醫學中心,Escherichia coli,Cefazolin,79105,42791,22177,20614,14
2018,醫學中心,Escherichia coli,Ceftriaxone,79105,48644,31359,17285,16
2018,醫學中心,Escherichia coli,Ertapenem,79105,65303,64328,975,16
2018,醫學中心,Escherichia coli,Gentamicin,79105,76985,58301,18684,16
2018,醫學中心,Escherichia coli,Imipenem,79105,50139,49514,625,16
2018,醫學中心,Escherichia coli,Levofloxacin,79105,65185,40343,24842,16
2018,醫學中心,Escherichia coli,Meropenem,79105,17918,17774,144,16
2018,醫學中心,Klebsiella pneumoniae,Ampicillin/Sulbactam,50699,24957,13658,11299,14
2018,醫學中心,Klebsiella pneumoniae,Ampicillin,50699,10220,2,10218,14
2018,醫學中心,Klebsiella pneumoniae,Amikacin,50699,33230,30453,2777,16
2018,醫學中心,Klebsiella pneumoniae,Cefuroxime sodium,50699,7446,4194,3252,14
2018,醫學中心,Klebsiella pneumoniae,Cefotaxime,50699,14471,9590,4881,14
2018,醫學中心,Klebsiella pneumoniae,Ciprofloxacin,50699,35701,24763,10938,16
2018,醫學中心,Klebsiella pneumoniae,Ceftazidime,50699,26210,15970,10240,16
2018,醫學中心,Klebsiella pneumoniae,Cefazolin,50699,22973,11891,11082,14
2018,醫學中心,Klebsiella pneumoniae,Ceftriaxone,50699,14091,9327,4764,14
2018,醫學中心,Klebsiella pneumoniae,Ertapenem,50699,40798,34892,5906,21
2018,醫學中心,Klebsiella pneumoniae,Gentamicin,50699,37059,25985,11074,16
2018,醫學中心,Klebsiella pneumoniae,Imipenem,50699,36777,31704,5073,22
2018,醫學中心,Klebsiella pneumoniae,Levofloxacin,50699,21263,15355,5908,14
2018,醫學中心,Klebsiella pneumoniae,Meropenem,50699,11451,10551,900,21
2018,醫學中心,Proteus mirabilis,Ampicillin/Sulbactam,10453,8131,5532,2599,16
2018,醫學中心,Proteus mirabilis,Ampicillin,10453,2963,1102,1861,14
2018,醫學中心,Proteus mirabilis,Amikacin,10453,7538,7233,305,14
2018,醫學中心,Proteus mirabilis,Cefuroxime sodium,10453,1704,1509,195,14
2018,醫學中心,Proteus mirabilis,Cefotaxime,10453,3986,3500,486,14
2018,醫學中心,Proteus mirabilis,Ciprofloxacin,10453,7452,5034,2418,14
2018,醫學中心,Proteus mirabilis,Cefazolin,10453,8610,3570,5040,16
2018,醫學中心,Proteus mirabilis,Ceftriaxone,10453,3858,3323,535,14
2018,醫學中心,Proteus mirabilis,Gentamicin,10453,10248,7092,3156,16
2018,醫學中心,Proteus mirabilis,Levofloxacin,10453,5952,4417,1535,14
2018,醫學中心,Proteus mirabilis,Meropenem,10453,3592,3581,11,14
2018,醫學中心,Pseudomonas aeruginosa,Amikacin,33895,22679,22073,606,14
2018,醫學中心,Pseudomonas aeruginosa,Cefepime,33895,21634,18749,2885,14
2018,醫學中心,Pseudomonas aeruginosa,Ciprofloxacin,33895,30282,24561,5721,16
2018,醫學中心,Pseudomonas aeruginosa,Ceftazidime,33895,29381,24811,4570,16
2018,醫學中心,Pseudomonas aeruginosa,Gentamicin,33895,27187,24604,2583,16
2018,醫學中心,Pseudomonas aeruginosa,Imipenem,33895,29174,23871,5303,17
2018,醫學中心,Pseudomonas aeruginosa,Levofloxacin,33895,24900,19009,5891,16
2018,醫學中心,Pseudomonas aeruginosa,Meropenem,33895,24883,21421,3462,17
2018,醫學中心,Pseudomonas aeruginosa,Piperacillin/Tazobactam,33895,29486,23930,5556,16
2018,醫學中心,Pseudomonas aeruginosa,Piperacillin,33895,2518,2020,498,14
2018,醫學中心,Enterococcus faecalis,Ampicillin,23273,12689,12638,51,16
2018,醫學中心,Enterococcus faecalis,Gentamicin-High,23273,14544,8143,6401,16
2018,醫學中心,Enterococcus faecalis,Vancomycin,23273,23208,23052,156,22
2018,醫學中心,Enterococcus faecium,Ampicillin,16033,8408,1210,7198,16
2018,醫學中心,Enterococcus faecium,Gentamicin-High,16033,9662,4925,4737,16
2018,醫學中心,Enterococcus faecium,Vancomycin,16033,16009,7061,8948,22
2018,醫學中心,Staphylococcus aureus,Ciprofloxacin,44946,14588,10359,4229,14
2018,醫學中心,Staphylococcus aureus,Oxacillin,44946,44904,23067,21837,22
2018,醫學中心,Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,44946,31757,27711,4046,16
2018,醫學中心,Staphylococcus aureus,Vancomycin,44946,34024,34001,23,18
2018,醫學中心,Enterococcus spp.,Ampicillin,2343,1684,1262,422,16
2018,醫學中心,Enterococcus spp.,Gentamicin-High,2343,1925,1405,520,16
2018,醫學中心,Enterococcus spp.,Vancomycin,2343,2313,1873,440,21
2018,區域醫院,Acinetobacter baumannii,Ampicillin/Sulbactam,25094,20650,8792,11858,75
2018,區域醫院,Acinetobacter baumannii,Amikacin,25094,14397,6356,8041,75
2018,區域醫院,Acinetobacter baumannii,Cefepime,25094,19141,6832,12309,74
2018,區域醫院,Acinetobacter baumannii,Ciprofloxacin,25094,14776,4582,10194,75
2018,區域醫院,Acinetobacter baumannii,Ceftazidime,25094,20715,6274,14441,75
2018,區域醫院,Acinetobacter baumannii,Colistin,25094,5774,5557,217,75
2018,區域醫院,Acinetobacter baumannii,Gentamicin,25094,20069,6807,13262,75
2018,區域醫院,Acinetobacter baumannii,Imipenem,25094,21115,7508,13607,81
2018,區域醫院,Acinetobacter baumannii,Levofloxacin,25094,14848,4788,10060,75
2018,區域醫院,Acinetobacter baumannii,Meropenem,25094,11861,4463,7398,81
2018,區域醫院,Acinetobacter baumannii,Piperacillin/Tazobactam,25094,19617,5806,13811,75
2018,區域醫院,Acinetobacter baumannii,Piperacillin,25094,3667,546,3121,74
2018,區域醫院,Acinetobacter baumannii,Tigecycline,25094,11057,7937,3120,74
