年,週,年齡別,縣市,急性腹瀉急診就診人次
2007,01,0-6,嘉義市,33
2007,01,0-6,嘉義縣,24
2007,01,0-6,桃園市,106
2007,01,0-6,屏東縣,45
2007,01,0-6,南投縣,21
2007,01,0-6,彰化縣,14
2007,01,0-6,宜蘭縣,38
2007,01,0-6,新北市,172
2007,01,0-6,新竹市,49
2007,01,0-6,新竹縣,10
2007,01,0-6,花蓮縣,11
2007,01,0-6,苗栗縣,18
2007,01,0-6,高雄市,268
2007,01,0-6,台北市,299
2007,01,0-6,台中市,222
2007,01,0-6,台南市,45
2007,01,0-6,台東縣,15
2007,01,0-6,雲林縣,57
2007,01,0-6,基隆市,19
2007,01,13-18,嘉義市,5
2007,01,13-18,嘉義縣,6
2007,01,13-18,桃園市,37
2007,01,13-18,屏東縣,10
2007,01,13-18,南投縣,6
2007,01,13-18,彰化縣,4
2007,01,13-18,宜蘭縣,19
2007,01,13-18,新北市,54
2007,01,13-18,新竹市,10
2007,01,13-18,新竹縣,9
2007,01,13-18,花蓮縣,1
2007,01,13-18,苗栗縣,12
2007,01,13-18,高雄市,64
2007,01,13-18,台北市,86
2007,01,13-18,台中市,76
2007,01,13-18,台南市,35
2007,01,13-18,台東縣,1
2007,01,13-18,雲林縣,10
2007,01,13-18,基隆市,7
2007,01,19-64,嘉義市,42
2007,01,19-64,嘉義縣,63
2007,01,19-64,桃園市,323
2007,01,19-64,屏東縣,127
2007,01,19-64,南投縣,86
2007,01,19-64,彰化縣,55
2007,01,19-64,宜蘭縣,117
2007,01,19-64,新北市,625
2007,01,19-64,新竹市,136
2007,01,19-64,新竹縣,48
2007,01,19-64,花蓮縣,38
2007,01,19-64,苗栗縣,85
2007,01,19-64,高雄市,577
2007,01,19-64,台北市,820
2007,01,19-64,台中市,605
2007,01,19-64,台南市,236
2007,01,19-64,台東縣,16
2007,01,19-64,雲林縣,81
2007,01,19-64,基隆市,54
2007,01,65+,嘉義市,7
2007,01,65+,嘉義縣,18
2007,01,65+,桃園市,47
2007,01,65+,屏東縣,36
2007,01,65+,南投縣,25
2007,01,65+,彰化縣,10
2007,01,65+,宜蘭縣,23
2007,01,65+,新北市,89
2007,01,65+,新竹市,12
2007,01,65+,新竹縣,7
2007,01,65+,花蓮縣,9
2007,01,65+,苗栗縣,15
2007,01,65+,高雄市,75
2007,01,65+,台北市,142
2007,01,65+,台中市,70
2007,01,65+,台南市,38
2007,01,65+,台東縣,6
2007,01,65+,雲林縣,12
2007,01,65+,基隆市,6
2007,01,7-12,嘉義市,11
2007,01,7-12,嘉義縣,8
2007,01,7-12,桃園市,27
2007,01,7-12,屏東縣,16
2007,01,7-12,南投縣,7
2007,01,7-12,彰化縣,2
2007,01,7-12,宜蘭縣,12
2007,01,7-12,新北市,60
2007,01,7-12,新竹市,11
2007,01,7-12,新竹縣,3
2007,01,7-12,花蓮縣,5
2007,01,7-12,苗栗縣,9
2007,01,7-12,高雄市,79
2007,01,7-12,台北市,85
2007,01,7-12,台中市,65
2007,01,7-12,台南市,21
2007,01,7-12,台東縣,5
2007,01,7-12,雲林縣,11
2007,01,7-12,基隆市,12
2007,02,0-6,嘉義市,25
2007,02,0-6,嘉義縣,20
2007,02,0-6,桃園市,106
2007,02,0-6,屏東縣,23
2007,02,0-6,南投縣,27
2007,02,0-6,彰化縣,8
2007,02,0-6,宜蘭縣,19
2007,02,0-6,新北市,140
2007,02,0-6,新竹市,66
