年,週,年齡別,縣市,紅眼症急診就診人次,縣市別代碼
2007,01,0~6,嘉義縣,2,10010
2007,01,0~6,桃園市,12,68000
2007,01,0~6,彰化縣,2,10007
2007,01,0~6,宜蘭縣,2,10002
2007,01,0~6,新北市,6,65000
2007,01,0~6,新竹市,2,10018
2007,01,0~6,苗栗縣,1,10005
2007,01,0~6,高雄市,8,64000
2007,01,0~6,台北市,14,63000
2007,01,0~6,台中市,2,66000
2007,01,0~6,雲林縣,1,10009
2007,01,0~6,基隆市,4,10017
2007,01,13~18,宜蘭縣,1,10002
2007,01,13~18,新北市,1,65000
2007,01,13~18,高雄市,2,64000
2007,01,13~18,台北市,3,63000
2007,01,13~18,台中市,1,66000
2007,01,13~18,基隆市,2,10017
2007,01,19~64,嘉義縣,5,10010
2007,01,19~64,桃園市,9,68000
2007,01,19~64,南投縣,1,10008
2007,01,19~64,彰化縣,2,10007
2007,01,19~64,宜蘭縣,1,10002
2007,01,19~64,新北市,3,65000
2007,01,19~64,高雄市,16,64000
2007,01,19~64,台北市,36,63000
2007,01,19~64,台中市,11,66000
2007,01,19~64,台南市,4,67000
2007,01,19~64,台東縣,2,10014
2007,01,19~64,雲林縣,1,10009
2007,01,65+,嘉義縣,1,10010
2007,01,65+,南投縣,1,10008
2007,01,65+,新北市,1,65000
2007,01,65+,高雄市,2,64000
2007,01,65+,台北市,6,63000
2007,01,65+,台南市,1,67000
2007,01,7~12,嘉義縣,2,10010
2007,01,7~12,桃園市,3,68000
2007,01,7~12,屏東縣,1,10013
2007,01,7~12,宜蘭縣,1,10002
2007,01,7~12,新北市,2,65000
2007,01,7~12,新竹市,1,10018
2007,01,7~12,高雄市,4,64000
2007,01,7~12,台北市,5,63000
2007,01,7~12,台中市,1,66000
2007,01,7~12,台南市,1,67000
2007,02,0~6,桃園市,3,68000
2007,02,0~6,南投縣,1,10008
2007,02,0~6,彰化縣,1,10007
2007,02,0~6,新北市,1,65000
2007,02,0~6,新竹市,1,10018
2007,02,0~6,高雄市,9,64000
2007,02,0~6,台北市,10,63000
2007,02,0~6,台中市,3,66000
2007,02,0~6,台南市,1,67000
2007,02,0~6,台東縣,1,10014
2007,02,0~6,雲林縣,1,10009
2007,02,0~6,基隆市,2,10017
2007,02,13~18,嘉義縣,1,10010
2007,02,13~18,桃園市,1,68000
2007,02,13~18,新北市,1,65000
2007,02,13~18,高雄市,2,64000
2007,02,13~18,台北市,4,63000
2007,02,13~18,台中市,1,66000
2007,02,13~18,基隆市,1,10017
2007,02,19~64,嘉義縣,4,10010
2007,02,19~64,桃園市,11,68000
2007,02,19~64,屏東縣,1,10013
2007,02,19~64,彰化縣,3,10007
2007,02,19~64,宜蘭縣,1,10002
2007,02,19~64,新北市,6,65000
2007,02,19~64,花蓮縣,4,10015
2007,02,19~64,高雄市,14,64000
2007,02,19~64,台北市,25,63000
2007,02,19~64,台中市,9,66000
2007,02,19~64,台南市,1,67000
2007,02,19~64,基隆市,5,10017
2007,02,65+,嘉義縣,2,10010
2007,02,65+,新北市,1,65000
2007,02,65+,高雄市,2,64000
2007,02,65+,台北市,6,63000
2007,02,65+,台中市,3,66000
2007,02,7~12,桃園市,1,68000
2007,02,7~12,彰化縣,1,10007
2007,02,7~12,新北市,1,65000
2007,02,7~12,台北市,2,63000
2007,02,7~12,台中市,1,66000
2007,02,7~12,基隆市,1,10017
2007,03,0~6,嘉義縣,2,10010
