年,週,年齡別,縣市,腸病毒急診就診人次
2007,01,0,嘉義縣,1
2007,01,0,桃園市,3
2007,01,0,彰化縣,1
2007,01,0,新北市,2
2007,01,0,新竹市,3
2007,01,0,高雄市,1
2007,01,0,台北市,4
2007,01,0,台中市,3
2007,01,1-3,桃園市,7
2007,01,1-3,屏東縣,2
2007,01,1-3,南投縣,4
2007,01,1-3,彰化縣,3
2007,01,1-3,新北市,8
2007,01,1-3,新竹市,15
2007,01,1-3,苗栗縣,2
2007,01,1-3,高雄市,12
2007,01,1-3,台北市,15
2007,01,1-3,台中市,17
2007,01,1-3,台南市,11
2007,01,1-3,台東縣,2
2007,01,1-3,雲林縣,2
2007,01,4-6,桃園市,1
2007,01,4-6,彰化縣,1
2007,01,4-6,宜蘭縣,1
2007,01,4-6,新北市,1
2007,01,4-6,新竹市,6
2007,01,4-6,苗栗縣,2
2007,01,4-6,高雄市,2
2007,01,4-6,台北市,7
2007,01,4-6,台中市,2
2007,01,4-6,台南市,1
2007,01,7-15,彰化縣,2
2007,01,7-15,苗栗縣,1
2007,01,7-15,台北市,3
2007,02,0,桃園市,1
2007,02,0,新竹市,1
2007,02,0,苗栗縣,1
2007,02,0,高雄市,1
2007,02,0,台北市,3
2007,02,0,台中市,2
2007,02,0,台南市,1
2007,02,1-3,嘉義縣,1
2007,02,1-3,桃園市,5
2007,02,1-3,彰化縣,4
2007,02,1-3,新北市,4
2007,02,1-3,新竹市,7
2007,02,1-3,新竹縣,1
2007,02,1-3,花蓮縣,2
2007,02,1-3,苗栗縣,1
2007,02,1-3,高雄市,5
2007,02,1-3,台北市,10
2007,02,1-3,台中市,12
2007,02,1-3,台南市,1
2007,02,1-3,台東縣,2
2007,02,1-3,雲林縣,2
2007,02,1-3,基隆市,1
2007,02,16+,新竹市,1
2007,02,4-6,嘉義縣,1
2007,02,4-6,彰化縣,2
2007,02,4-6,新竹市,1
2007,02,4-6,苗栗縣,1
2007,02,4-6,高雄市,3
2007,02,4-6,台北市,1
2007,02,4-6,台中市,2
2007,02,4-6,雲林縣,2
2007,02,7-15,屏東縣,1
2007,02,7-15,高雄市,1
2007,03,0,桃園市,1
2007,03,0,彰化縣,3
2007,03,0,新北市,1
2007,03,0,新竹市,1
2007,03,0,新竹縣,1
2007,03,0,苗栗縣,1
2007,03,0,台北市,1
2007,03,0,台中市,2
2007,03,1-3,嘉義市,2
2007,03,1-3,嘉義縣,1
2007,03,1-3,桃園市,7
2007,03,1-3,屏東縣,1
2007,03,1-3,南投縣,1
2007,03,1-3,彰化縣,5
2007,03,1-3,宜蘭縣,1
2007,03,1-3,新北市,5
2007,03,1-3,新竹市,6
2007,03,1-3,新竹縣,2
2007,03,1-3,高雄市,2
2007,03,1-3,台北市,13
2007,03,1-3,台中市,6
2007,03,1-3,台南市,2
2007,03,1-3,雲林縣,2
2007,03,16+,彰化縣,1
2007,03,4-6,新北市,2
2007,03,4-6,新竹縣,1
2007,03,4-6,台北市,2
2007,03,4-6,台中市,1
2007,03,7-15,彰化縣,2
2007,03,7-15,新北市,1
2007,03,7-15,高雄市,1
2007,03,7-15,台中市,2
2007,04,0,屏東縣,1
2007,04,0,彰化縣,1
2007,04,0,新北市,1
2007,04,0,花蓮縣,1
2007,04,0,苗栗縣,1
2007,04,0,高雄市,2
2007,04,0,台北市,1
2007,04,0,台中市,2
2007,04,0,台南市,1
2007,04,1-3,嘉義市,1
2007,04,1-3,嘉義縣,1
2007,04,1-3,桃園市,5
2007,04,1-3,屏東縣,3
2007,04,1-3,南投縣,1
2007,04,1-3,彰化縣,3
2007,04,1-3,宜蘭縣,1
2007,04,1-3,新北市,5
2007,04,1-3,新竹市,8
2007,04,1-3,新竹縣,4
2007,04,1-3,苗栗縣,2
2007,04,1-3,高雄市,5
2007,04,1-3,台北市,13
2007,04,1-3,台中市,3
2007,04,1-3,台東縣,4
2007,04,1-3,雲林縣,1
2007,04,16+,台北市,2
2007,04,4-6,桃園市,1
2007,04,4-6,新北市,1
2007,04,4-6,新竹市,1
2007,04,4-6,台北市,3
2007,04,4-6,台中市,1
2007,04,4-6,台南市,1
2007,04,4-6,基隆市,1
2007,04,7-15,彰化縣,1
2007,04,7-15,新竹市,1
2007,04,7-15,苗栗縣,1
2007,04,7-15,高雄市,1
2007,04,7-15,台北市,1
2007,04,7-15,台中市,2
2007,05,0,桃園市,1
2007,05,0,彰化縣,1
2007,05,0,新北市,3
2007,05,0,新竹市,1
2007,05,0,花蓮縣,1
2007,05,0,苗栗縣,1
2007,05,0,台南市,1
2007,05,1-3,嘉義縣,1
2007,05,1-3,桃園市,3
2007,05,1-3,屏東縣,2
2007,05,1-3,南投縣,1
2007,05,1-3,彰化縣,5
2007,05,1-3,宜蘭縣,1
2007,05,1-3,新北市,2
2007,05,1-3,新竹市,4
2007,05,1-3,新竹縣,1
2007,05,1-3,花蓮縣,1
2007,05,1-3,苗栗縣,1
2007,05,1-3,高雄市,1
2007,05,1-3,台北市,13
2007,05,1-3,台中市,5
2007,05,1-3,台南市,1
2007,05,1-3,台東縣,1
2007,05,16+,台中市,1
2007,05,4-6,嘉義縣,1
2007,05,4-6,桃園市,2
2007,05,4-6,苗栗縣,1
2007,05,4-6,高雄市,1
2007,05,4-6,台北市,2
2007,05,4-6,台中市,1
2007,05,4-6,台南市,2
2007,05,4-6,台東縣,1
2007,05,7-15,嘉義市,1
2007,05,7-15,台北市,1
2007,06,0,嘉義縣,1
2007,06,0,新竹市,1
2007,06,0,苗栗縣,2
2007,06,0,高雄市,1
2007,06,0,台中市,1
2007,06,0,雲林縣,1
2007,06,1-3,嘉義市,1
2007,06,1-3,桃園市,3
2007,06,1-3,屏東縣,1
2007,06,1-3,南投縣,1
2007,06,1-3,彰化縣,2
2007,06,1-3,宜蘭縣,1
2007,06,1-3,新北市,1
2007,06,1-3,花蓮縣,2
2007,06,1-3,苗栗縣,1
2007,06,1-3,高雄市,2
2007,06,1-3,台北市,5
2007,06,1-3,台中市,9
2007,06,1-3,台南市,3
2007,06,1-3,雲林縣,1
2007,06,16+,桃園市,1
2007,06,16+,台中市,1
2007,06,4-6,桃園市,1
2007,06,4-6,新北市,1
2007,06,4-6,新竹縣,1
2007,06,7-15,新北市,1
2007,07,0,桃園市,1
2007,07,0,新竹市,1
2007,07,0,高雄市,1
2007,07,0,台北市,2
2007,07,0,台南市,2
2007,07,0,雲林縣,1
2007,07,1-3,桃園市,8
2007,07,1-3,彰化縣,1
2007,07,1-3,宜蘭縣,2
2007,07,1-3,新北市,5
2007,07,1-3,新竹市,3
2007,07,1-3,高雄市,2
2007,07,1-3,台北市,11
2007,07,1-3,台中市,11
2007,07,1-3,台南市,4
2007,07,1-3,台東縣,1
2007,07,16+,台南市,1
2007,07,4-6,嘉義市,1
2007,07,4-6,彰化縣,1
2007,07,4-6,新北市,1
2007,07,4-6,苗栗縣,1
2007,07,4-6,台北市,3
2007,07,4-6,台中市,3
2007,07,4-6,台東縣,1
2007,07,4-6,雲林縣,1
2007,07,7-15,高雄市,1
2007,07,7-15,台北市,1
2007,07,7-15,台中市,3
2007,07,7-15,台南市,1
2007,08,0,彰化縣,3
