年,週,年齡別,縣市,類流感急診就診人次,縣市別代碼
2007,01,0~6,嘉義市,120,10020
2007,01,0~6,嘉義縣,121,10010
2007,01,0~6,桃園市,493,68000
2007,01,0~6,屏東縣,186,10013
2007,01,0~6,南投縣,119,10008
2007,01,0~6,彰化縣,133,10007
2007,01,0~6,宜蘭縣,114,10002
2007,01,0~6,新北市,680,65000
2007,01,0~6,新竹市,171,10018
2007,01,0~6,新竹縣,18,10004
2007,01,0~6,花蓮縣,79,10015
2007,01,0~6,苗栗縣,74,10005
2007,01,0~6,高雄市,750,64000
2007,01,0~6,台北市,1142,63000
2007,01,0~6,台中市,638,66000
2007,01,0~6,台南市,608,67000
2007,01,0~6,台東縣,72,10014
2007,01,0~6,雲林縣,187,10009
2007,01,0~6,基隆市,141,10017
2007,01,13~18,嘉義市,28,10020
2007,01,13~18,嘉義縣,43,10010
2007,01,13~18,桃園市,121,68000
2007,01,13~18,屏東縣,48,10013
2007,01,13~18,南投縣,46,10008
2007,01,13~18,彰化縣,34,10007
2007,01,13~18,宜蘭縣,38,10002
2007,01,13~18,新北市,174,65000
2007,01,13~18,新竹市,44,10018
2007,01,13~18,新竹縣,10,10004
2007,01,13~18,花蓮縣,21,10015
2007,01,13~18,苗栗縣,39,10005
2007,01,13~18,高雄市,240,64000
2007,01,13~18,台北市,203,63000
2007,01,13~18,台中市,217,66000
2007,01,13~18,台南市,202,67000
2007,01,13~18,台東縣,11,10014
2007,01,13~18,雲林縣,47,10009
2007,01,13~18,基隆市,18,10017
2007,01,19~64,嘉義市,43,10020
2007,01,19~64,嘉義縣,108,10010
2007,01,19~64,桃園市,448,68000
2007,01,19~64,屏東縣,154,10013
2007,01,19~64,南投縣,99,10008
2007,01,19~64,彰化縣,88,10007
2007,01,19~64,宜蘭縣,134,10002
2007,01,19~64,新北市,648,65000
2007,01,19~64,新竹市,175,10018
2007,01,19~64,新竹縣,37,10004
2007,01,19~64,花蓮縣,65,10015
2007,01,19~64,苗栗縣,81,10005
2007,01,19~64,高雄市,687,64000
2007,01,19~64,台北市,869,63000
2007,01,19~64,台中市,609,66000
2007,01,19~64,台南市,326,67000
2007,01,19~64,台東縣,39,10014
2007,01,19~64,雲林縣,87,10009
2007,01,19~64,基隆市,49,10017
2007,01,65+,嘉義市,17,10020
