型態,縣市代碼,設置單位,地址,連絡電話,聯絡人,更新年度
匿篩醫院,63000,臺北市立聯合醫院林森中醫昆明院區,台北市萬華區昆明街100號4樓,0979-306-875,王少平,2020
匿篩醫院,63000,國立臺灣大學醫學院附設醫院,台北市常德街1號5東3樓諮詢篩檢辦公室,0978-195-151,張藍心,2020
匿篩醫院,63000,臺北榮民總醫院,台北市北投區石牌路2段201號中正樓13樓(個案管理衛教諮詢室),02-2875-1997,江柏賢,2020
匿篩醫院,63000,臺北醫學大學附設醫院,台北市信義區吳興街252號,0970-405473、0970-405471,"洪慧彤
舒敬媛",2020
匿篩醫院,63000,臺北市立萬芳醫院,台北市文山區興隆路3段111號,02-2930-7930#1722,黃毓萱,2020
匿篩醫院,65000,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正區362號,02-22193391#66214,劉彥宏,2020
匿篩醫院,65000,新泰綜合醫院,新北市新莊區新樹路176號,02-29962121#2300,徐偉中,2020
匿篩醫院,65000,衛生福利部雙和醫院,新北市中和區中正路291號,02-22490088#8191、8174,"鍾宛蓉
廖梓婷",2020
匿篩醫院,10017,長庚醫療財團法人基隆長庚紀念醫院,基隆市安樂區麥金路222號(306診室),02-2431-3131#2302,田怡紋,2020
匿篩醫院,10002,財團法人天主教靈醫會羅東聖母醫院,宜蘭縣羅東鎮中正南路160號,03-954-4106#5535、0921544109,葉淑瑗,2020
匿篩醫院,68000,衛生福利部桃園醫院,桃園市桃園區中山路1492號,03-369-9721#3255,彭千惠,2020
匿篩醫院,68000,長庚醫療財團法人林口長庚紀念醫院,桃園市龜山區復興街5號,"03-328-1200#5205
0975-367981",袁芳雪,2020
匿篩醫院,10018,新竹馬偕紀念醫院,新竹市東區光復路二段690號,03-611-9595#2936 or 2938,吳崇豪,2020
匿篩醫院,10018,國立臺灣大學醫學院附設醫院新竹分院,新竹市北區經國路一段442巷25號,"03-5326151#2026
0972155170",彭安婷,2020
匿篩醫院,10004,東元綜合醫院,新竹縣竹北市縣政二路69號,"03-5527000#1161、6318
0900-216233",劉美辰,2020
匿篩醫院,10005,衛生福利部苗栗醫院,苗栗縣苗栗市為公路747號,037-261-920#1120,陳惠珊,2020
匿篩醫院,10005,財團法人為恭紀念醫院,苗栗縣苗栗市頭份市信義路128號,037-676811#83253、0983643937,黃吟慈,2020
匿篩醫院,10019,臺中榮民總醫院,台中市西屯區台灣大道四段1650號(門診後棟一樓 3101 衛教室),"04-23592525#3111
0975-351221",余思樺,2020
匿篩醫院,10019,童綜合醫療社團法人童綜合醫院,台中市梧棲區台灣大道八段699號,04-26581919#58260,陳苡婧,2020
匿篩醫院,10019,光田醫療社團法人光田綜合醫院,台中市沙鹿區沙田路117號,"(沙鹿總院)04-26365000#2133、0978-306845
(大甲院區)04-26885599#1241、0978-306677","林逸琄      (沙鹿總院)
賴幸慧      (大甲院區)",2020
匿篩醫院,10019,林新醫療社團法人林新醫院,台中市南屯區惠中路三段36號(B棟2F感染科),0975-901-822,陳虹君,2020
匿篩醫院,10019,衛生福利部臺中醫院,台中市西區三民路一段199號,04-2229-4411#3058#3059,邱毓慧,2020
匿篩醫院,10019,衛生福利部豐原醫院,台中市豐原區安康路100號,0919-542-659,黃秋滿,2020
匿篩醫院,10019,中國醫藥大學附設醫院,台中市北區育德路2號,04-2208-1937,張珮芝,2020
匿篩醫院,10019,中山醫學大學附設醫院,台中市南區建國北路一段110號(內科大樓九樓衛教室),04-2473-9595 #38922,林書帆,2020
匿篩醫院,10019,澄清綜合醫院中港分院,台中市西屯區台灣大道四段966號,04-24632000#55287,簡瓊如,2020
匿篩醫院,10019,佛教慈濟醫療財團法人台中慈濟醫院,台中市潭子區豐興路一段88號,04-3606-0666#5101,張尹箏,2020
匿篩醫院,10007,衛生福利部彰化醫院,彰化縣埔心鄉舊館村中正路2段80號,"04-8298686#1039, 1762",李怡青,2020
匿篩醫院,10007,秀傳醫療社團法人秀傳紀念醫院,彰化縣彰化市中山路一段542號,0975611629,林沂臻,2020
匿篩醫院,10007,彰化基督教醫療財團法人員林基督教醫院,彰化縣員林市莒光路456號,04-8381456#1935,黃春雅,2020
匿篩醫院,10007,彰化基督教醫療財團法人彰化基督教醫院,彰化縣彰化市南校街135號,0983-145043,程家怡,2020
匿篩醫院,10008,衛生福利部南投醫院,南投市復興路478號,049-223-1150#2261,李雅琴,2020
匿篩醫院,10008,竹山秀傳醫院,南投縣竹山鎮集山路二段75號,049-2624266,李玉惠,2020
匿篩醫院,10008,埔基醫療財團法人埔里基督教醫院,南投縣埔里鎮鐵山路1號,049-2912151#2882,吳相諪,2020
