"死亡年份","死亡月份","縣市別","性別","死亡年齡分組","個案數"
"1986","03","台北市","M","25-34",1
"1988","05","台北市","F","35-44",1
"1988","05","高雄市","M","25-34",1
"1988","10","台北市","M","35-44",1
"1988","11","台北市","M","35-44",1
"1989","04","台北市","M","25-34",1
"1989","04","台北市","M","55-64",1
"1989","06","台北市","M","25-34",1
"1989","08","台中市","M","35-44",1
"1989","10","桃園市","M","25-34",1
"1990","01","台中市","M","55-64",1
"1990","05","台北市","M","45-54",1
"1990","07","台北市","M","15-24",1
"1990","07","台北市","M","25-34",1
"1990","07","台北市","M","65以上",1
"1990","07","新北市","M","35-44",1
"1990","08","台北市","M","35-44",1
"1991","01","台北市","M","35-44",1
"1991","02","高雄市","F","25-34",1
"1991","05","台北市","M","25-34",1
"1991","05","台北市","M","45-54",1
"1991","05","南投縣","M","25-34",1
"1991","05","桃園市","M","15-24",1
"1991","07","高雄市","M","25-34",1
"1991","11","台北市","M","45-54",1
"1991","12","台北市","M","15-24",1
"1991","12","台北市","M","55-64",1
"1991","12","彰化縣","M","55-64",1
"1992","01","台北市","M","25-34",1
"1992","02","台北市","M","25-34",1
"1992","03","台北市","M","25-34",1
"1992","03","台北市","M","35-44",1
"1992","04","台北市","M","25-34",1
"1992","04","雲林縣","M","25-34",1
"1992","05","台北市","M","45-54",1
"1992","06","新北市","F","65以上",1
"1992","08","台北市","M","25-34",1
"1992","09","台中市","M","25-34",1
"1992","09","台北市","M","35-44",1
"1992","09","台北市","M","45-54",1
"1992","09","台北市","M","55-64",1
"1992","10","台中市","M","55-64",1
"1992","10","台北市","M","55-64",1
"1992","10","台北市","M","65以上",1
"1992","10","高雄市","M","25-34",1
"1992","11","台北市","M","25-34",1
"1992","11","台北市","M","55-64",1
"1992","11","台北市","M","65以上",1
"1992","11","高雄市","M","35-44",1
"1992","12","台北市","M","15-24",1
"1992","12","台北市","M","25-34",1
"1992","12","台北市","M","35-44",1
"1993","01","台北市","M","35-44",2
"1993","01","台北市","M","55-64",1
"1993","01","新北市","M","45-54",1
"1993","03","台北市","M","35-44",1
"1993","04","台北市","M","15-24",1
"1993","04","台北市","M","35-44",1
"1993","04","台北市","M","45-54",1
"1993","05","台北市","M","45-54",1
"1993","06","新北市","M","55-64",1
"1993","07","台中市","M","25-34",1
"1993","07","台北市","M","35-44",3
"1993","08","台北市","M","25-34",1
"1993","08","嘉義市","M","55-64",1
"1993","09","台北市","M","25-34",1
"1993","09","台北市","M","55-64",1
"1993","10","台北市","M","25-34",1
"1993","10","台北市","M","35-44",2
"1993","10","台北市","M","65以上",1
"1993","10","高雄市","M","35-44",1
"1993","11","台北市","M","25-34",1
"1993","12","台北市","M","25-34",1
"1993","12","台北市","M","65以上",1
"1993","12","桃園市","M","35-44",1
"1993","12","高雄市","M","45-54",1
"1994","01","台中市","M","55-64",1
"1994","01","台北市","M","25-34",1
"1994","01","台北市","M","55-64",1
"1994","02","台北市","M","25-34",1
"1994","02","高雄市","M","25-34",1
"1994","02","高雄市","M","35-44",1
"1994","03","台中市","M","35-44",1
"1994","03","台北市","M","45-54",1
"1994","03","桃園市","M","25-34",1
"1994","04","台北市","F","25-34",1
"1994","04","台北市","M","15-24",1
"1994","04","台北市","M","35-44",1
"1994","04","台北市","M","55-64",1
"1994","04","高雄市","M","45-54",1
"1994","05","台北市","M","45-54",1
"1994","05","台北市","M","55-64",2
"1994","06","台北市","M","25-34",1
"1994","06","台北市","M","45-54",3
"1994","06","高雄市","M","25-34",1
"1994","06","高雄市","M","55-64",1
"1994","07","台北市","M","65以上",1
"1994","07","桃園市","M","25-34",1
"1994","07","新北市","M","45-54",1
"1994","07","嘉義縣","M","25-34",1
"1994","08","台北市","F","45-54",1
"1994","08","台北市","M","35-44",1
"1994","08","台北市","M","65以上",1
"1994","08","台南市","M","45-54",1
"1994","08","宜蘭縣","M","65以上",1
"1994","09","台中市","M","35-44",1
"1994","10","台中市","M","35-44",1
"1994","10","台北市","M","25-34",1
"1994","10","台北市","M","35-44",1
"1994","10","宜蘭縣","M","25-34",1
"1994","10","彰化縣","M","65以上",1
"1994","11","台中市","M","55-64",1
"1994","11","台北市","M","25-34",1
"1994","11","台北市","M","35-44",1
"1994","11","台南市","M","15-24",1
"1994","11","桃園市","M","45-54",1
"1994","11","高雄市","M","25-34",1
"1994","12","台中市","F","25-34",1
"1994","12","台北市","M","25-34",1
"1994","12","台北市","M","35-44",2
"1994","12","台北市","M","45-54",1
"1995","01","台南市","M","35-44",1
"1995","02","台北市","M","35-44",1
"1995","02","宜蘭縣","M","25-34",1
"1995","02","桃園市","M","25-34",1
"1995","02","高雄市","M","25-34",1
"1995","03","台北市","F","35-44",1
"1995","03","台北市","M","25-34",1
"1995","03","高雄市","M","25-34",1
"1995","04","台北市","M","35-44",1
"1995","04","台北市","M","45-54",1
"1995","04","桃園市","M","35-44",1
"1995","04","桃園市","M","45-54",1
"1995","05","台北市","M","25-34",1
"1995","05","台北市","M","35-44",2
"1995","05","台南市","M","35-44",1
"1995","05","桃園市","M","35-44",1
"1995","06","台中市","M","25-34",1
"1995","06","台北市","M","35-44",1
"1995","06","台北市","M","45-54",1
"1995","06","高雄市","M","35-44",1
"1995","06","高雄市","M","65以上",1
"1995","06","嘉義縣","M","25-34",1
"1995","07","台中市","M","25-34",1
"1995","07","台中市","M","35-44",1
"1995","07","台中市","M","45-54",1
"1995","07","台北市","M","25-34",3
"1995","07","台北市","M","35-44",2
"1995","07","台北市","M","45-54",4
"1995","07","台南市","M","25-34",1
"1995","08","台中市","M","35-44",1
"1995","08","台北市","M","25-34",2
"1995","08","台北市","M","35-44",1
"1995","08","台北市","M","45-54",1
"1995","08","台南市","M","25-34",1
"1995","08","台南市","M","35-44",1
"1995","08","桃園市","M","45-54",1
"1995","08","高雄市","M","25-34",1
"1995","08","新北市","F","35-44",1
"1995","09","台中市","M","55-64",1
"1995","09","台北市","M","25-34",1
"1995","09","台北市","M","45-54",1
"1995","09","台北市","M","65以上",1
"1995","09","台南市","M","65以上",1
"1995","09","高雄市","M","15-24",1
"1995","09","高雄市","M","35-44",2
"1995","09","新北市","M","25-34",1
"1995","10","台中市","M","25-34",1
"1995","10","台北市","M","25-34",1
