醫療院所名稱,抗蛇毒血清種類,電話,區域別,縣市別,縣市別代碼,縣市鄉鎮市區,縣市鄉鎮市區代碼,地址,經度,緯度,醫事機構代碼
南投縣仁愛鄉衛生所,抗百步蛇毒血清,(049)2802341,中區,南投縣,10008,南投縣仁愛鄉,10008130,南投縣仁愛鄉大同村五福巷17號,121.134875,24.024615,2338130011
南投縣信義鄉衛生所,抗百步蛇毒血清,(049)2791148,中區,南投縣,10008,南投縣信義鄉,10008120,南投縣信義鄉明德村玉山路45號,120.85472,23.696529,2338120015
南投縣魚池鄉衛生所,抗百步蛇毒血清,(049)2895513,中區,南投縣,10008,南投縣魚池鄉,10008090,南投縣魚池鄉魚池街194號,120.941269,23.895524,2338090012
南投縣鹿谷鄉衛生所,抗百步蛇毒血清,(049)2752002,中區,南投縣,10008,南投縣鹿谷鄉,10008070,南投縣鹿谷鄉鹿谷村中正路二段20號,120.754245,23.744882,2338070010
南投縣仁愛鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(049)2802341,中區,南投縣,10008,南投縣仁愛鄉,10008130,南投縣仁愛鄉大同村五福巷17號,121.134875,24.024615,2338130011
南投縣信義鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(049)2791148,中區,南投縣,10008,南投縣信義鄉,10008120,南投縣信義鄉明德村玉山路45號,120.85472,23.696529,2338120015
南投縣魚池鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(049)2895513,中區,南投縣,10008,南投縣魚池鄉,10008090,南投縣魚池鄉魚池街194號,120.941269,23.895524,2338090012
南投縣鹿谷鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(049)2752002,中區,南投縣,10008,南投縣鹿谷鄉,10008070,南投縣鹿谷鄉鹿谷村中正路二段20號,120.754245,23.744882,2338070010
埔基醫療財團法人埔里基督教醫院,抗雨傘節及飯匙倩蛇毒血清,(049)2912151,中區,南投縣,10008,南投縣埔里鎮,10008020,南投縣埔里鎮愛蘭里鐵山路１號,120.946799,23.970928,1138020015
臺中榮民總醫院埔里分院,抗雨傘節及飯匙倩蛇毒血清,(049)2990833,中區,南投縣,10008,南投縣埔里鎮,10008020,南投縣埔里鎮蜈蚣里榮光路１號,120.9921782,23.9787545,0638020014
衛生福利部南投醫院,抗雨傘節及飯匙倩蛇毒血清,(049)2231150,中區,南投縣,10008,南投縣南投市,10008010,南投縣南投市康壽里復興路４７８號,120.685294,23.914094,0138010027
竹山秀傳醫療社團法人竹山秀傳醫院,抗龜殼花及赤尾鮐蛇毒血清,(049)2624266,中區,南投縣,10008,南投縣竹山鎮,10008040,南投縣竹山鎮山崇里集山路２段７５號,120.7139784,23.80024336,0938040012
佑民醫療社團法人佑民醫院,抗龜殼花及赤尾鮐蛇毒血清,(049)2358151,中區,南投縣,10008,南投縣草屯鎮,10008030,南投縣草屯鎮山腳里太平路一段２００號,120.681861,23.960535,0938030016
南投縣中寮鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(049)2691404,中區,南投縣,10008,南投縣中寮鄉,10008080,南投縣中寮鄉永昌街102號,120.765703,23.880997,2338080016
南投縣仁愛鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(049)2802341,中區,南投縣,10008,南投縣仁愛鄉,10008130,南投縣仁愛鄉大同村五福巷17號,121.134875,24.024615,2338130011
南投縣信義鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(049)2791148,中區,南投縣,10008,南投縣信義鄉,10008120,南投縣信義鄉明德村玉山路45號,120.85472,23.696529,2338120015
南投縣魚池鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(049)2895513,中區,南投縣,10008,南投縣魚池鄉,10008090,南投縣魚池鄉魚池街194號,120.941269,23.895524,2338090012
南投縣鹿谷鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(049)2752002,中區,南投縣,10008,南投縣鹿谷鄉,10008070,南投縣鹿谷鄉鹿谷村中正路二段20號,120.754245,23.744882,2338070010
埔基醫療財團法人埔里基督教醫院,抗龜殼花及赤尾鮐蛇毒血清,(049)2912151,中區,南投縣,10008,南投縣埔里鎮,10008020,南投縣埔里鎮愛蘭里鐵山路１號,120.946799,23.970928,1138020015
彰化基督教醫療財團法人南投基督教醫院,抗龜殼花及赤尾鮐蛇毒血清,(049)2225595,中區,南投縣,10008,南投縣南投市,10008010,南投縣南投市嘉和里中興路870號,120.68393,23.898923,1138010019
臺中榮民總醫院埔里分院,抗龜殼花及赤尾鮐蛇毒血清,(049)2990833,中區,南投縣,10008,南投縣埔里鎮,10008020,南投縣埔里鎮蜈蚣里榮光路１號,120.9921782,23.9787545,0638020014
衛生福利部南投醫院,抗龜殼花及赤尾鮐蛇毒血清,(049)2231150,中區,南投縣,10008,南投縣南投市,10008010,南投縣南投市康壽里復興路４７８號,120.685294,23.914094,0138010027
秀傳醫療社團法人秀傳紀念醫院,抗雨傘節及飯匙倩蛇毒血清,(04)7256166,中區,彰化縣,10007,彰化縣彰化市,10007010,彰化縣彰化市南瑤里中山路一段５４２號,120.537508,24.064786,0937010019
