醫事機構代碼,合約醫院名稱,所在縣市,郵遞區號,合約醫院地址,緯度,經度,看診科別,合約醫院電話,合約醫院網站,開辦日期,M痘疫苗接種
117030010,衛生福利部臺中醫院,臺中市,403301,臺中市西區三民路一段199號,24.1406262,120.6762712,家庭醫學科,(04)22294411,http://www.taic.mohw.gov.tw/,2006/11/1,1
936060016,童綜合醫療社團法人童綜合醫院梧棲院區,臺中市,435403,臺中市梧棲區臺灣大道八段699號,24.2472297,120.5428236,國際旅遊與留學預防接種門診,(04)26581919,http://www.sltung.com.tw/,2009/1/1,1
1137010024,彰化基督教醫療財團法人彰化基督教醫院,彰化縣,500209,彰化縣彰化市南校街135號,24.0715309,120.5446075,旅遊醫學門診,(04)7238595,http://www.cch.org.tw/,2014/3/14,0
1138020015,埔基醫療財團法人埔里基督教醫院,南投縣,545401,南投縣埔里鎮鐵山路1號,23.9704493,120.9465243,感染科,(049)2912151,http://www.pch.org.tw/,2014/3/14,0
138010027,衛生福利部南投醫院,南投縣,540234,南投縣南投市復興路478號,23.914008,120.684943,國際旅遊醫學門診,(049)2231150,http://www.nant.mohw.gov.tw/?aid=home,2018/2/1,0
145010019,衛生福利部花蓮醫院,花蓮縣,970007,花蓮縣花蓮市中正路600號,23.9794974,121.6111125,家庭醫學科,(03)8358141,http://www.hwln.mohw.gov.tw/,2006/10/20,0
146010013,衛生福利部臺東醫院,臺東縣,950204,臺東縣臺東市五權街1號,22.7572027,121.1498616,國際旅遊醫學門診,(089)324112,http://www.tait.mohw.gov.tw/,2014/3/14,0
1145010010,佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮縣,970473,花蓮縣花蓮市中央路三段707號,23.9957217,121.5932877,旅遊醫學門診,(03)8561825,https://hlm.tzuchi.com.tw/home/,2019/7/1,0
1101100011,馬偕紀念醫院臺北院區,臺北市,104217,臺北市中山區中山北路二段92號,25.0588322,121.5223675,家庭醫學科,(02)25433535,http://www.mmh.org.tw,2006/10/20,0
111070010,衛生福利部基隆醫院,基隆市,201203,基隆市信義區信二路268號,25.1302624,121.7481291,家庭醫學科,(02)24292525,http://www.kln.mohw.gov.tw/,2009/1/1,0
