確定病名,死亡年份,死亡月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數
嚴重特殊傳染性肺炎,2023,3,台北市,大安區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台北市,南港區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台北市,士林區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台北市,士林區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台北市,北投區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台北市,信義區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台北市,中正區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台北市,萬華區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,3,台北市,萬華區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台中市,豐原區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台中市,清水區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,3,台中市,龍井區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台中市,太平區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台中市,東區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,3,台中市,北屯區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台南市,歸仁區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台南市,永康區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台南市,東區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,3,台南市,南區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台南市,中西區,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,3,台南市,北區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,台南市,安南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,高雄市,鳳山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,高雄市,旗山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,高雄市,大寮區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,3,高雄市,大樹區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,3,高雄市,仁武區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,高雄市,鹽埕區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,3,高雄市,左營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,高雄市,三民區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,3,高雄市,苓雅區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,高雄市,前鎮區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,基隆市,中正區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,基隆市,暖暖區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,基隆市,信義區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,嘉義市,西區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,新北市,板橋區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,3,新北市,中和區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,3,新北市,中和區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,3,新北市,新店區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,3,新北市,汐止區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,新北市,土城區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,新北市,五股區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,3,新北市,五股區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,3,新北市,八里區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,桃園市,桃園區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,3,桃園市,大園區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,桃園市,新屋區,M,否,70+,1
