確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2020,07,彰化縣,彰化市,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2020,12,新北市,新店區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2020,14,新竹市,東區,M,是,40-44,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2020,14,桃園市,蘆竹區,F,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2020,14,屏東縣,麟洛鄉,M,是,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2020,15,新北市,中和區,M,是,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2020,20,台北市,士林區,M,是,45-49,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,04,桃園市,桃園區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,05,新北市,八里區,M,是,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,09,台北市,大安區,M,是,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,14,桃園市,八德區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,16,新竹縣,竹北市,M,是,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,台北市,大同區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,台北市,中山區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,台北市,萬華區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,台北市,萬華區,M,否,60-64,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,台北市,萬華區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,台北市,萬華區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,板橋區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,板橋區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,板橋區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,三重區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,三重區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,永和區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,中和區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,中和區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,新店區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,新莊區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,三峽區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,淡水區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,汐止區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,土城區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,20,新北市,蘆洲區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,松山區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,大安區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,大安區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,大同區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,南港區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,南港區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,士林區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,北投區,F,否,40-44,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,北投區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,信義區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,信義區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,信義區,F,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,信義區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,中正區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,中正區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,萬華區,M,否,55-59,4
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,萬華區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,萬華區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,萬華區,F,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,萬華區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,萬華區,F,否,70+,4
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,萬華區,M,否,70+,9
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,文山區,F,否,45-49,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,文山區,M,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,文山區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,台北市,文山區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,基隆市,仁愛區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,板橋區,F,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,板橋區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,板橋區,M,否,60-64,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,板橋區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,板橋區,M,否,65-69,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,板橋區,F,否,70+,5
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,板橋區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,三重區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,三重區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,三重區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,三重區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,三重區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,永和區,F,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,永和區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,永和區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,永和區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,永和區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,中和區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,中和區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,中和區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,中和區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,中和區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,新店區,M,否,35-39,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,新店區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,新店區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,新店區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,新莊區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,新莊區,M,否,60-64,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,新莊區,M,否,70+,4
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,樹林區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,淡水區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,淡水區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,汐止區,F,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,瑞芳區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,土城區,M,否,35-39,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,土城區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,土城區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,土城區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,蘆洲區,M,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,蘆洲區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,新北市,深坑區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,桃園市,桃園區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,桃園市,楊梅區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,宜蘭縣,冬山鄉,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,21,彰化縣,永靖鄉,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,松山區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,松山區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大安區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大安區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大安區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大同區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大同區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大同區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大同區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,大同區,M,否,70+,6
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中山區,M,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中山區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中山區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中山區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,內湖區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,內湖區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,南港區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,南港區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,士林區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,士林區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,北投區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,北投區,M,否,70+,5
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,信義區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,信義區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,信義區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,信義區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,信義區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中正區,M,否,30-34,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中正區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中正區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中正區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中正區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,中正區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,M,否,35-39,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,M,否,40-44,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,F,否,45-49,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,M,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,F,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,M,否,55-59,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,F,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,M,否,65-69,5
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,F,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,萬華區,M,否,70+,4
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,文山區,F,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,文山區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,文山區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台北市,文山區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,台中市,北屯區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,基隆市,暖暖區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,基隆市,仁愛區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,基隆市,仁愛區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,基隆市,中山區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,板橋區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,板橋區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,板橋區,F,否,70+,5
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,板橋區,M,否,70+,10
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三重區,M,否,55-59,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三重區,F,否,60-64,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三重區,M,否,60-64,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三重區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三重區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三重區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三重區,M,否,70+,5
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,永和區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,永和區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,永和區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,中和區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,中和區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,中和區,M,否,70+,6
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,新店區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,新店區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,新店區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,新莊區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,新莊區,F,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,新莊區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,樹林區,F,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,樹林區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三峽區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,三峽區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,淡水區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,汐止區,M,否,60-64,1
