單位類別,受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市別
團體,財團法人私立高雄醫學大學附設中和紀念醫院,,,1051219,"498,455",105-106年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥前驅計畫,高雄市
團體,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,,,1060101,"11,731",106年度補助醫院辦理漢生病個案確診及治療計畫,臺北市
團體,中華身心健康促進暨研究協會,,,1060120,"119,000",106年補助民間團體及大專院校愛滋病防治工作計畫,桃園市
團體,世界和平婦女會台灣總會,,,1060120,"80,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,台灣愛滋病學會,,,1060120,"500,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,社團法人中華民國台灣懷愛協會,,,1060120,"100,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺中市
團體,社團法人中華民國社會工作師公會全國聯合會,,,1060120,"100,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺中市
團體,社團法人中華民國愛滋感染者權益促進會,,,1060120,"400,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,社團法人台灣世界快樂聯盟,,,1060120,"100,000",106年補助民間團體及大專院校愛滋病防治工作計畫,屏東縣
團體,社團法人台灣愛之希望協會,,,1060120,"350,000",106年補助民間團體及大專院校愛滋病防治工作計畫,高雄市
團體,社團法人台灣愛滋病護理學會,,,1060120,"450,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,社團法人台灣愛滋關懷協會,,,1060120,"78,473",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,社團法人台灣露德協會,,,1060120,"1,450,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,財團法人台灣紅絲帶基金會,,,1060120,"900,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,財團法人台灣關愛基金會,,,1060120,"100,000",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,財團法人護理人員愛滋病防治基金會,,,1060120,"1,600",106年補助民間團體及大專院校愛滋病防治工作計畫,臺北市
團體,社團法人臺灣兒科醫學會,,,1060202,"300,000",辦理106年新生兒暨兒童重要傳染病防治研討會,臺北市
團體,大千綜合醫院,,,1060207,"30,000",愛滋防治替代治療補助計畫,苗栗縣
團體,中國醫藥大學北港附設醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,雲林縣
團體,中國醫藥大學附設醫院,,,1060207,"320,000",愛滋防治替代治療補助計畫,臺中市
團體,天主教若瑟醫療財團法人若瑟醫院,,,1060207,"150,000",愛滋防治替代治療補助計畫,雲林縣
團體,天主教耕莘醫療財團法人耕莘醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,新北市
團體,台南市立醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,臺南市
團體,安泰醫療社團法人安泰醫院,,,1060207,"70,000",愛滋防治替代治療補助計畫,屏東縣
團體,李綜合醫療社團法人苑裡李綜合醫院,,,1060207,"30,000",愛滋防治替代治療補助計畫,苗栗縣
團體,阮綜合醫療社團法人阮綜合醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,高雄市
團體,奇美醫療財團法人奇美醫院台南分院,,,1060207,"90,000",愛滋防治替代治療補助計畫,臺中市
團體,長庚醫療財團法人高雄長庚紀念醫院,,,1060207,"90,000",愛滋防治替代治療補助計畫,高雄市
團體,長庚醫療財團法人基隆長庚紀念醫院,,,1060207,"70,000",愛滋防治替代治療補助計畫,基隆市
團體,屏安醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,屏東縣
團體,財團法人天主教靈醫會羅東聖母醫院,,,1060207,"100,000",愛滋防治替代治療補助計畫,宜蘭縣
團體,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,,,1060207,"80,000",愛滋防治替代治療補助計畫,高雄市
團體,財團法人私立高雄醫學大學附設中和紀念醫院,,,1060207,"140,000",愛滋防治替代治療補助計畫,高雄市
團體,財團法人為恭紀念醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,苗栗縣
團體,童綜合醫療社團法人童綜合醫院,,,1060207,"250,000",愛滋防治替代治療補助計畫,臺中市
團體,新中興醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,新竹市
團體,義大醫療財團法人義大醫院,,,1060207,"90,000",愛滋防治替代治療補助計畫,高雄市
團體,彰化基督教醫療財團法人鹿東基督教醫院,,,1060207,"70,000",愛滋防治替代治療補助計畫,彰化縣
團體,維新醫療社團法人台中維新醫院,,,1060207,"70,000",愛滋防治替代治療補助計畫,臺中市
團體,臺南市立安南醫院-委託中國醫藥大學興建經營,,,1060207,"60,000",愛滋防治替代治療補助計畫,臺南市
團體,賢德醫院,,,1060207,"60,000",愛滋防治替代治療補助計畫,臺中市
團體,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,,,1060207,"140,000",愛滋防治替代治療補助計畫,新北市
團體,醫療財團法人羅許基金會羅東博愛醫院,,,1060207,"160,000",愛滋防治替代治療補助計畫,宜蘭縣
團體,財團法人台灣關愛基金會,,,1060209,"2,100,000",106年度補助民間團體辦理愛滋長期照顧安置服務工作計畫,臺北市
團體,社團法人台灣預防醫學學會,,,1060210,"600,000",推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,臺北市
團體,光田醫療社團法人光田綜合醫院,,,1060216,"100,000",愛滋病指定醫院服務品質提升計畫-資訊系統介接,臺中市
團體,佛教慈濟醫療財團法人大林慈濟醫院,,,1060216,"100,000",愛滋病指定醫院服務品質提升計畫-資訊系統介接,嘉義縣
團體,佛教慈濟醫療財團法人台中慈濟醫院,,,1060216,"93,438",愛滋病指定醫院服務品質提升計畫-資訊系統介接,臺中市
團體,佛教慈濟醫療財團法人台北慈濟醫院,,,1060216,"100,000",愛滋病指定醫院服務品質提升計畫-資訊系統介接,新北市
團體,秀傳醫療社團法人秀傳紀念醫院,,,1060216,"100,000",愛滋病指定醫院服務品質提升計畫-資訊系統介接,彰化縣
團體,秀傳醫療財團法人彰濱秀傳紀念醫院,,,1060216,"100,000",愛滋病指定醫院服務品質提升計畫-資訊系統介接,彰化縣
團體,長庚醫療財團法人高雄長庚紀念醫院,,,1060216,"45,360",愛滋病指定醫院服務品質提升計畫-資訊系統介接,高雄市
團體,財團法人為恭紀念醫院,,,1060216,"22,211",愛滋病指定醫院服務品質提升計畫-資訊系統介接,苗栗縣
團體,國泰醫療財團法人國泰綜合醫院,,,1060216,"100,000",愛滋病指定醫院服務品質提升計畫-資訊系統介接,臺北市
團體,彰化基督教醫療財團法人員林基督教醫院,,,1060216,"100,000",愛滋病指定醫院服務品質提升計畫-資訊系統介接,彰化縣
團體,社團法人台灣急診醫學會,,,1060221,"136,363",辦理106年重要急性傳染病防治研討會,臺北市
團體,中華身心健康促進暨研究協會,,,1060223,"30,000",推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,桃園市
團體,社團法人台北市日日春關懷互助協會,,,1060223,"200,000",推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,臺北市
團體,社團法人台灣世界快樂聯盟,,,1060223,"142,500",推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,屏東縣
團體,社團法人台灣愛之希望協會,,,1060223,"500,000",推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,高雄市
團體,社團法人台灣露德協會,,,1060223,"150,000",推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,臺北市
團體,財團法人台灣紅絲帶基金會,,,1060223,"320,000",推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,臺北市
團體,中山醫學大學附設醫院,,,1060308,"482,499",抗生素抗藥性管理通報系統,臺中市
團體,中國醫藥大學附設醫院,,,1060308,"482,500",抗生素抗藥性管理通報系統,臺中市
團體,中國醫藥大學附設醫院,,,1060308,"356,251",補助支援合作醫院相關行政費,臺中市
團體,天主教耕莘醫療財團法人耕莘醫院,,,1060308,"193,000",抗生素抗藥性管理通報系統,新北市
團體,安泰醫療社團法人安泰醫院,,,1060308,"482,500",抗生素抗藥性管理通報系統,屏東縣
團體,佛教慈濟醫療財團法人花蓮慈濟醫院,,,1060308,"680,000",補助支援合作醫院相關行政費,花蓮縣
團體,奇美醫療財團法人奇美醫院,,,1060308,"191,087",抗生素抗藥性管理通報系統,臺南市
團體,長庚醫療財團法人林口長庚紀念醫院,,,1060308,"680,000",補助支援合作醫院相關行政費,桃園市
團體,長庚醫療財團法人林口長庚紀念醫院,,,1060308,"191,100",抗生素抗藥性管理通報系統,桃園市
團體,財團法人私立高雄醫學大學附設中和紀念醫院,,,1060308,"680,000",補助支援合作醫院相關行政費,高雄市
團體,財團法人私立高雄醫學大學附設中和紀念醫院,,,1060308,"190,600",抗生素抗藥性管理通報系統,高雄市
團體,彰化基督教醫療財團法人彰化基督教醫院,,,1060308,"193,000",抗生素抗藥性管理通報系統,彰化縣
