單位類別,受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市代碼
補助其他政府機關,國防醫學院,1070403,,1070327,850000,高危險病原體及列管毒素檢驗,63000
補助其他政府機關,新北市政府衛生局,1070719,2826288,1070101,4965893,傳染病防治計畫,65000
補助其他政府機關,臺中市政府衛生局,1070718,2666160,1070101,4599760,傳染病防治計畫,66000
補助其他政府機關,臺南市政府衛生局,1070828,10864000,1070822,10864000,加強高風險縣市登革熱防治計畫,67000
補助其他政府機關,臺南市政府衛生局,1070718,6299371,1070101,10930335,傳染病防治計畫,67000
補助其他政府機關,高雄市政府衛生局,1070904,15243000,1070823,15243000,加強高風險縣市登革熱防治計畫,64000
補助其他政府機關,高雄市政府衛生局,1070720,9127026,1070101,14284718,傳染病防治計畫,64000
補助其他政府機關,桃園市政府衛生局,1070719,2439318,1070101,4424278,傳染病防治計畫,68000
補助其他政府機關,宜蘭縣政府衛生局,1070803,1408846,1070101,2455306,傳染病防治計畫,10002
補助其他政府機關,花蓮縣衛生局,1070719,842783,1070101,1665983,傳染病防治計畫,10015
補助其他政府機關,南投縣政府衛生局,1070720,1505268,1070101,2602612,傳染病防治計畫,10008
補助其他政府機關,屏東縣政府衛生局,1070718,5333759,1070101,9201763,傳染病防治計畫,10013
補助其他政府機關,屏東縣政府衛生局,1070830,3893000,1070822,3893000,加強高風險縣市登革熱防治計畫,10013
補助其他政府機關,苗栗縣政府衛生局,1070719,1185223,1070101,2047087,傳染病防治計畫,10005
補助其他政府機關,基隆市衛生局,1070727,912748,1070101,1577840,傳染病防治計畫,10017
補助其他政府機關,雲林縣衛生局,1070718,1435795,1070101,2572795,傳染病防治計畫,10009
補助其他政府機關,新竹市衛生局,1070719,716979,1070101,1242583,傳染病防治計畫,10018
補助其他政府機關,新竹縣政府衛生局,1070726,891120,1070101,1627520,傳染病防治計畫,10004
補助其他政府機關,嘉義市政府衛生局,1070720,815731,1070101,1522731,傳染病防治計畫,10020
補助其他政府機關,嘉義縣衛生局,1070903,300000,1070829,300000,1070823嘉義縣淹水地區災後防疫補助計畫,10010
補助其他政府機關,嘉義縣衛生局,1070718,1962590,1070101,3419190,傳染病防治計畫,10010
補助其他政府機關,彰化縣衛生局,1070816,1441340,1070101,2960740,傳染病防治計畫,10007
補助其他政府機關,臺東縣衛生局,1070726,1080618,1070101,1841818,傳染病防治計畫,10014
補助其他政府機關,澎湖縣政府衛生局,1070727,744998,1070101,1308098,傳染病防治計畫,10016
補助其他政府機關,金門縣衛生局,1070726,124471,1070101,260411,傳染病防治計畫,09020
補助其他政府機關,連江縣衛生福利局,1070726,109720,1070101,246720,傳染病防治計畫,09007
對特種基金之補助,三軍總醫院附設民眾診療服務處,1070424,,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
