"單位類別","受補助單位","補助日期","撥款金額","核准日期","累計撥款金額","補助事項或支出用途","縣市別"
"補助其他政府機關","國防醫學院","1080103","0 ","1070326","850,000 ","高危險病原體及列管毒素檢驗","臺北市"
"補助其他政府機關","新北市政府衛生局","1071225","0 ","1070101","4,965,893 ","傳染病防治計畫","新北市"
"補助其他政府機關","臺中市政府衛生局","1071228","0 ","1070101","4,294,707 ","傳染病防治計畫","臺中市"
"補助其他政府機關","臺南市政府衛生局","1071212","0 ","1070101","10,930,335 ","傳染病防治計畫","臺南市"
"補助其他政府機關","臺南市政府衛生局","1080107","0 ","1070816","8,595,328 ","加強高風險縣市登革熱防治計畫","臺南市"
"補助其他政府機關","高雄市政府衛生局","1071224","0 ","1070101","14,284,718 ","傳染病防治計畫","高雄市"
"補助其他政府機關","高雄市政府衛生局","1080107","0 ","1070810","15,077,292 ","加強高風險縣市登革熱防治計畫","高雄市"
"補助其他政府機關","桃園市政府衛生局","1071219","0 ","1070101","4,395,147 ","傳染病防治計畫","桃園市"
"補助其他政府機關","宜蘭縣政府衛生局","1071224","0 ","1070101","2,455,306 ","傳染病防治計畫","宜蘭縣"
"補助其他政府機關","花蓮縣衛生局","1071212","0 ","1070101","1,665,983 ","傳染病防治計畫","花蓮縣"
"補助其他政府機關","南投縣政府衛生局","1071219","0 ","1070101","2,602,612 ","傳染病防治計畫","南投縣"
"補助其他政府機關","屏東縣政府衛生局","1071212","0 ","1070101","9,201,763 ","傳染病防治計畫","屏東縣"
"補助其他政府機關","苗栗縣政府衛生局","1071219","0 ","1070101","2,047,087 ","傳染病防治計畫","苗栗縣"
"補助其他政府機關","基隆市衛生局","1071219","0 ","1070101","1,577,840 ","傳染病防治計畫","基隆市"
"補助其他政府機關","雲林縣衛生局","1071219","0 ","1070101","2,572,795 ","傳染病防治計畫","雲林縣"
"補助其他政府機關","新竹市衛生局","1071224","0 ","1070101","1,242,583 ","傳染病防治計畫","新竹市"
"補助其他政府機關","新竹縣政府衛生局","1071219","0 ","1070101","1,627,520 ","傳染病防治計畫","新竹縣"
"補助其他政府機關","嘉義市政府衛生局","1071224","0 ","1070101","1,522,731 ","傳染病防治計畫","嘉義市"
"補助其他政府機關","嘉義縣衛生局","1071224","0 ","1070101","3,419,190 ","傳染病防治計畫","嘉義縣"
"補助其他政府機關","彰化縣衛生局","1071227","0 ","1070101","2,960,740 ","傳染病防治計畫","彰化縣"
"補助其他政府機關","臺東縣衛生局","1071219","0 ","1070101","1,841,818 ","傳染病防治計畫","臺東縣"
"補助其他政府機關","澎湖縣政府衛生局","1071224","0 ","1070101","1,308,098 ","傳染病防治計畫","澎湖縣"
"補助其他政府機關","屏東縣政府衛生局","1071226","-329 ","1070816","2,362,575 ","加強高風險縣市登革熱防治計畫","屏東縣"
"補助其他政府機關","嘉義縣衛生局","1071102","0 ","1070830","300,000 ","1070823嘉義縣淹水地區災後防疫補助計畫","嘉義縣"
"補助其他政府機關","金門縣衛生局","1071203","0 ","1070101","260,411 ","傳染病防治計畫","金門縣"
"補助其他政府機關","連江縣衛生福利局","1071224","0 ","1070101","246,720 ","傳染病防治計畫","連江縣"
"對特種基金之補助","臺北市立聯合醫院","1080108","97,600 ","1070101","488,000 ","107年抗生素抗藥性管理通報系統補捐助案補捐助經費","臺北市"
"對特種基金之補助","衛生福利部桃園醫院","1080108","62,892 ","1070101","453,292 ","107年抗生素抗藥性管理通報系統補捐助案補捐助經費","桃園市"
"對特種基金之補助","疫苗基金","1071207","162,322,000 ","1070105","722,322,000 ","107年疫苗基金國庫撥補款","臺北市"
"對特種基金之補助","臺北市立聯合醫院松德院區","1080114","0 ","1070109","350,874 ","愛滋防治替代治療補助計畫-Suboxone藥品補助","臺北市"
"對特種基金之補助","衛生福利部嘉南療養院","1080112","0 ","1070109","43,120 ","愛滋防治替代治療補助計畫-Suboxone藥品補助","臺南市"
"對特種基金之補助","國立台灣大學醫學院附設醫院","1071224","0 ","1070118","100,000 ","107年度補助醫院辦理漢生病個案確診及治療計畫","臺北市"
"對特種基金之補助","國立成功大學醫學院附設醫院","1071213","0 ","1070118","44,170 ","107年度補助醫院辦理漢生病個案確診及治療計畫","臺南市"
"對特種基金之補助","臺中榮民總醫院","1071225","0 ","1070118","59,486 ","107年度補助醫院辦理漢生病個案確診及治療計畫","臺中市"
"對特種基金之補助","國立中正大學","1080102","0 ","1070205","30,000 ","補助民間團體及大專院校辦理愛滋病防治工作計畫","嘉義縣"
"對特種基金之補助","國立高雄大學","1071228","0 ","1070205","10,000 ","補助民間團體及大專院校辦理愛滋病防治工作計畫","高雄市"
"對特種基金之補助","國立高雄第一科技大學","1071114","0 ","1070205","10,000 ","補助民間團體及大專院校辦理愛滋病防治工作計畫","高雄市"
"對特種基金之補助","國立彰化師範大學","1071210","0 ","1070205","10,000 ","補助民間團體及大專院校辦理愛滋病防治工作計畫","彰化縣"
"對特種基金之補助","國立臺中科技大學","1080102","0 ","1070205","10,000 ","補助民間團體及大專院校辦理愛滋病防治工作計畫","臺中市"
"對特種基金之補助","衛生福利部桃園醫院","1080110","32,000 ","1070214","72,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","桃園市"
"對特種基金之補助","衛生福利部桃園醫院新屋分院","1080110","8,000 ","1070214","48,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","桃園市"
"對特種基金之補助","臺中榮民總醫院","1080110","0 ","1070221","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","臺中市"
"對特種基金之補助","臺中榮民總醫院埔里分院","1080110","0 ","1070221","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","南投縣"
"對特種基金之補助","衛生福利部南投醫院","1080110","30,000 ","1070221","70,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","南投縣"
"對特種基金之補助","衛生福利部彰化醫院","1080110","40,000 ","1070221","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","彰化縣"
"對特種基金之補助","衛生福利部臺中醫院","1080111","30,000 ","1070221","70,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","臺中市"
"對特種基金之補助","衛生福利部豐原醫院","1080110","30,000 ","1070221","70,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","臺中市"
"對特種基金之補助","三軍總醫院附設民眾診療服務處","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","臺北市"
"對特種基金之補助","三軍總醫院澎湖分院附設民眾診療服務處","1071227","30,000 ","1070222","70,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","澎湖縣"
"對特種基金之補助","高雄市立民生醫院","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","高雄市"
"對特種基金之補助","高雄榮民總醫院","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","高雄市"
"對特種基金之補助","國立台灣大學醫學院附設醫院","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","臺北市"
"對特種基金之補助","國立成功大學醫學院附設醫院","1080110","0 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","臺南市"
"對特種基金之補助","國立陽明大學附設醫院","1080110","0 ","1070222","40,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","宜蘭縣"
"對特種基金之補助","國立臺灣大學醫學院附設醫院金山分院","1080110","0 ","1070222","29,844 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","新北市"
"對特種基金之補助","國立臺灣大學醫學院附設醫院雲林分院","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","雲林縣"
"對特種基金之補助","國軍高雄總醫院左營分院附設民眾診療服務處","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","高雄市"
"對特種基金之補助","臺中榮民總醫院嘉義分院","1080110","0 ","1070222","72,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","嘉義市"
"對特種基金之補助","衛生福利部金門醫院","1071228","30,000 ","1070222","70,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","金門縣"
"對特種基金之補助","衛生福利部屏東醫院","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","屏東縣"
"對特種基金之補助","衛生福利部澎湖醫院","1080110","40,000 ","1070222","80,000 ","107年愛滋病指定醫院品質提升計畫-補助系統界接費用","澎湖縣"
"對特種基金之補助","三軍總醫院澎湖分院附設民眾診療服務處","1071002","22,149 ","1070302","22,149 ","107年腸病毒醫療品質提升方案","澎湖縣"
"對特種基金之補助","高雄榮民總醫院","1071004","36,500 ","1070302","36,500 ","107年腸病毒醫療品質提升方案","高雄市"
"對特種基金之補助","國立臺灣大學醫學院附設醫院新竹分院","1071023","19,000 ","1070302","19,000 ","107年腸病毒醫療品質提升方案","新竹市"
"對特種基金之補助","臺中榮民總醫院","1071113","30,311 ","1070302","30,311 ","107年腸病毒醫療品質提升方案","臺中市"
"對特種基金之補助","衛生福利部南投醫院","1070912","0 ","1070302","32,164 ","107年腸病毒醫療品質提升方案","南投縣"
"對特種基金之補助","衛生福利部桃園醫院","1071002","27,670 ","1070302","27,670 ","107年腸病毒醫療品質提升方案","桃園市"
"對特種基金之補助","國立台灣大學醫學院附設醫院","1071106","0 ","1070312","700,000 ","107年補(捐)助支援合作醫院相關行政費","臺北市"
"對特種基金之補助","國立成功大學醫學院附設醫院","1071119","0 ","1070312","700,000 ","107年補(捐)助支援合作醫院相關行政費","臺南市"
"對特種基金之補助","三軍總醫院澎湖分院附設民眾診療服務處","1071227","0 ","1070410","422,177 ","有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用","澎湖縣"
"對特種基金之補助","連江縣立醫院","1071219","0 ","1070410","340,000 ","有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用","連江縣"
"對特種基金之補助","臺北市立聯合醫院和平院區","1071219","0 ","1070410","3,500,000 ","有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用","臺北市"
"對特種基金之補助","衛生福利部花蓮醫院","1071227","0 ","1070410","1,572,000 ","有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用","花蓮縣"
"對特種基金之補助","衛生福利部金門醫院","1071213","0 ","1070410","453,355 ","有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用","金門縣"
"對特種基金之補助","衛生福利部屏東醫院","1071214","0 ","1070410","2,337,000 ","有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用","屏東縣"
