受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
國防醫學院,1080412,705000,高危險病原體及列管毒素檢驗,63000
新北市政府衛生局,1080211,2548000,傳染病防治計畫,65000
臺中市政府衛生局,1080308,2142300,傳染病防治計畫,66000
臺南市政府衛生局,1080211,4833466,傳染病防治計畫,67000
高雄市政府衛生局,1080211,15239000,傳染病防治計畫,64000
桃園市政府衛生局,1080211,2136650,傳染病防治計畫,68000
宜蘭縣政府衛生局,1080211,1280160,傳染病防治計畫,10002
花蓮縣衛生局,1080211,1193000,傳染病防治計畫,10015
南投縣政府衛生局,1080211,1661840,傳染病防治計畫,10008
屏東縣政府衛生局,1080211,4092610,傳染病防治計畫,10013
苗栗縣政府衛生局,1080211,968720,傳染病防治計畫,10005
基隆市衛生局,1080211,665790,傳染病防治計畫,10017
雲林縣衛生局,1080211,1087500,傳染病防治計畫,10009
新竹市衛生局,1080211,521200,傳染病防治計畫,10018
新竹縣政府衛生局,1080211,1166100,傳染病防治計畫,10004
嘉義市政府衛生局,1080211,776000,傳染病防治計畫,10020
嘉義縣衛生局,1080211,1783000,傳染病防治計畫,10010
彰化縣衛生局,1080211,1631000,傳染病防治計畫,10007
臺東縣衛生局,1080211,1408400,傳染病防治計畫,10014
澎湖縣政府衛生局,1080211,566720,傳染病防治計畫,10016
金門縣衛生局,1080211,154000,傳染病防治計畫,09020
連江縣衛生福利局,1080211,144000,傳染病防治計畫,09007
臺北榮民總醫院,1070101,188228,107-108年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫,63000
國立成功大學醫學院附設醫院,1080101,100000,108年度補助醫院辦理漢生病個案確診及治療計畫,67000
國立臺灣大學醫學院附設醫院,1080101,100000,108年度補助醫院辦理漢生病個案確診及治療計畫,63000
國軍花蓮總醫院附設民眾診療服務處,1080101,135000,108年「抗生素抗藥性管理通報系統」,10015
臺中榮民總醫院,1080101,80000,108年度補助醫院辦理漢生病個案確診及治療計畫,66000
臺北市立聯合醫院松德院區,1080101,347760,愛滋防治替代治療計畫藥品費-丁基原啡因複方錠(Suboxone)藥品補助費,63000
衛生福利部嘉南療養院,1080101,43120,愛滋防治替代治療計畫藥品費-丁基原啡因複方錠(Suboxone)藥品補助費,67000
衛生福利部臺南醫院,1080101,135000,108年「抗生素抗藥性管理通報系統」,67000
三軍總醫院澎湖分院附設民眾診療服務處,1080126,144000,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,10016
連江縣立醫院,1080126,124800,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,09007
臺北市立聯合醫院和平院區,1080126,1400000,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,63000
衛生福利部花蓮醫院,1080126,648000,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,10015
衛生福利部金門醫院,1080126,147200,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,09020
衛生福利部屏東醫院,1080126,935000,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,10013
衛生福利部桃園醫院新屋分院,1080126,1080000,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,68000
衛生福利部臺中醫院,1080126,935000,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,66000
衛生福利部臺南醫院,1080126,957000,有關108年傳染病防治醫療網應變醫院病房維護費補(捐)助費用,67000
國立成功大學醫學院附設醫院,1080305,700000,補(捐)助支援合作醫院行政作業款,67000
國立臺灣大學醫學院附設醫院,1080305,700000,補(捐)助支援合作醫院行政作業款,63000
高雄市立民生醫院,1080320,30000,107-108年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫,64000
國立成功大學醫學院附設醫院,1080320,30000,107-108年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫,67000
國立陽明大學附設醫院,1080320,24000,107-108年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫,10002
