受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市別,,
國防醫學院,109/05/22,0 ,109/05/05,"1,600,000 ",高危險病原體及列管毒素之檢驗,臺北市,,
新北市政府衛生局,109/08/26,"3,067,500 ",109/03/13,"5,794,000 ",傳染病防治計畫,新北市,,
臺中市政府衛生局,109/08/19,"3,376,600 ",109/03/13,"5,794,000 ",傳染病防治計畫,臺中市,,
臺南市政府衛生局,109/08/19,"6,552,600 ",109/03/13,"11,421,000 ",傳染病防治計畫,臺南市,,
高雄市政府衛生局,109/08/26,"10,552,260 ",109/03/13,"16,707,000 ",傳染病防治計畫,高雄市,,
桃園市政府衛生局,109/08/19,"2,221,927 ",109/03/13,"5,735,000 ",傳染病防治計畫,桃園市,,
宜蘭縣政府衛生局,109/08/26,"2,626,000 ",109/03/13,"4,425,000 ",傳染病防治計畫,宜蘭縣,,
花蓮縣衛生局,109/08/26,"3,284,000 ",109/03/13,"5,563,000 ",傳染病防治計畫,花蓮縣,,
南投縣政府衛生局,109/08/21,"3,984,800 ",109/03/13,"6,766,000 ",傳染病防治計畫,南投縣,,
屏東縣政府衛生局,109/09/08,"8,042,400 ",109/03/13,"12,979,000 ",傳染病防治計畫,屏東縣,,
苗栗縣政府衛生局,109/09/08,"1,915,000 ",109/03/13,"3,243,000 ",傳染病防治計畫,苗栗縣,,
基隆市衛生局,109/09/03,"1,010,600 ",109/03/13,"1,689,000 ",傳染病防治計畫,基隆市,,
雲林縣衛生局,109/08/19,"1,537,000 ",109/03/13,"2,632,000 ",傳染病防治計畫,雲林縣,,
新竹市衛生局,109/08/26,"781,000 ",109/03/13,"1,293,000 ",傳染病防治計畫,新竹市,,
新竹縣政府衛生局,109/08/21,"1,881,400 ",109/03/13,"3,781,000 ",傳染病防治計畫,新竹縣,,
嘉義市政府衛生局,109/08/26,"777,000 ",109/03/13,"1,585,000 ",傳染病防治計畫,嘉義市,,
嘉義縣衛生局,109/08/26,"2,423,400 ",109/03/13,"4,971,000 ",傳染病防治計畫,嘉義縣,,
彰化縣衛生局,109/09/03,"1,635,000 ",109/03/13,"3,376,000 ",傳染病防治計畫,彰化縣,,
臺東縣衛生局,109/08/21,"2,195,600 ",109/03/13,"4,104,000 ",傳染病防治計畫,臺東縣,,
澎湖縣政府衛生局,109/09/08,"831,280 ",109/03/13,"1,399,000 ",傳染病防治計畫,澎湖縣,,
金門縣衛生局,109/09/11,"205,500 ",109/03/13,"313,000 ",傳染病防治計畫,金門縣,,
連江縣衛生福利局,109/08/27,"148,000 ",109/03/13,"273,000 ",傳染病防治計畫,連江縣,,
國軍高雄總醫院左營分院附設民眾診療服務處,109/08/20,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,高雄市,,
衛生福利部臺中醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,臺中市,,
疫苗基金,109/09/09,"210,000,000 ",109/01/10,"800,000,000 ",109年疫苗基金國庫撥補款,臺北市,,
國立成功大學醫學院附設醫院,109/02/25,0 ,109/02/03,"100,000 ",109年度補助醫院辦理漢生病個案確診及治療計畫,臺南市,,
國立臺灣大學醫學院附設醫院,109/02/20,0 ,109/02/03,"100,000 ",109年度補助醫院辦理漢生病個案確診及治療計畫,臺北市,,
臺中榮民總醫院,109/02/20,0 ,109/02/03,"100,000 ",109年度補助醫院辦理漢生病個案確診及治療計畫,臺中市,,
高雄市立民生醫院,109/02/26,0 ,109/02/10,"12,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,高雄市,,
國立成功大學醫學院附設醫院,109/03/02,0 ,109/02/10,"10,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,臺南市,,
國立陽明大學附設醫院,109/09/09,"12,500 ",109/02/10,"25,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,宜蘭縣,,
國立臺灣大學醫學院附設醫院,109/09/01,"12,500 ",109/02/10,"25,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,臺北市,,
臺中榮民總醫院,109/02/26,0 ,109/02/10,"309,532 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,臺中市,,
臺北市立聯合醫院昆明院區,109/09/14,"575,271 ",109/02/10,"1,150,542 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,臺北市,,
臺北榮民總醫院,109/09/10,"589,307 ",109/02/10,"1,178,615 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,臺北市,,
衛生福利部屏東醫院,109/02/26,0 ,109/02/10,"12,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,屏東縣,,
衛生福利部桃園醫院,109/02/26,0 ,109/02/10,"20,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,桃園市,,
三軍總醫院澎湖分院附設民眾診療服務處,109/09/04,"237,600 ",109/02/15,"396,000 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,澎湖縣,,
連江縣立醫院,109/08/26,"205,920 ",109/02/15,"343,200 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,連江縣,,
臺北市立聯合醫院婦幼院區,109/07/13,"2,100,000 ",109/02/15,"3,500,000 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,臺北市,,
衛生福利部花蓮醫院,109/08/05,"972,000 ",109/02/15,"1,620,000 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,花蓮縣,,
衛生福利部金門醫院,109/06/24,0 ,109/02/15,"404,800 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,金門縣,,
衛生福利部屏東醫院,109/07/20,"1,419,000 ",109/02/15,"2,365,000 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,屏東縣,,
衛生福利部桃園醫院新屋分院,109/07/27,"1,468,500 ",109/02/15,"2,447,500 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,桃園市,,
