受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市別
國防醫學院,111/12/31,0 ,1110413,"1,238,000 ",協助執行「高危險病原體及列管毒素之檢驗」,臺北市
新北市政府衛生局,111/12/29,0 ,1110325,"5,467,000 ",傳染病防治計畫,新北市
臺中市政府衛生局,111/12/20,0 ,1110325,"5,292,589 ",傳染病防治計畫,臺中市
臺南市政府衛生局,111/12/13,0 ,1110325,"10,246,000 ",傳染病防治計畫,臺南市
高雄市政府衛生局,111/12/31,0 ,1110325,"13,297,000 ",傳染病防治計畫,高雄市
桃園市政府衛生局,112/01/04,"2,410 ",1110325,"4,037,214 ",傳染病防治計畫,桃園市
臺中市政府衛生局,111/12/29,0 ,1110627,"38,400,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,臺中市
新北市政府衛生局,112/01/04,0 ,1110629,"20,710,127 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,新北市
桃園市政府衛生局,112/01/04,0 ,1110630,"46,242,653 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,桃園市
臺北市政府衛生局,111/12/31,0 ,1110704,"44,098,442 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,臺北市
臺南市政府衛生局,112/01/05,0 ,1110706,"27,934,571 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,臺南市
高雄市政府衛生局,111/12/24,0 ,1110713,"38,400,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,高雄市
臺南市政府衛生局,112/01/04,0 ,1110825,"87,480 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,臺南市
高雄市政府衛生局,112/01/07,"2,040,840 ",1111129,"2,040,840 ",社區登革熱病媒緊急防治動員工作計畫,高雄市
宜蘭縣政府衛生局,111/12/13,0 ,1110325,"4,042,000 ",傳染病防治計畫,宜蘭縣
花蓮縣衛生局,111/12/24,"187,000 ",1110325,"6,112,000 ",傳染病防治計畫,花蓮縣
金門縣衛生局,111/12/29,0 ,1110325,"654,000 ",傳染病防治計畫,金門縣
南投縣政府衛生局,111/12/20,0 ,1110325,"6,882,000 ",傳染病防治計畫,南投縣
屏東縣政府衛生局,111/12/29,"6,838,000 ",1110325,"13,186,000 ",傳染病防治計畫,屏東縣
苗栗縣政府衛生局,111/12/27,"1,988,000 ",1110325,"3,546,000 ",傳染病防治計畫,苗栗縣
基隆市衛生局,111/12/27,0 ,1110325,"1,902,000 ",傳染病防治計畫,基隆市
連江縣衛生福利局,112/01/04,"117,000 ",1110325,"343,000 ",傳染病防治計畫,連江縣
雲林縣衛生局,111/12/24,0 ,1110325,"2,713,000 ",傳染病防治計畫,雲林縣
新竹市衛生局,111/12/31,"396,000 ",1110325,"1,791,000 ",傳染病防治計畫,新竹市
新竹縣政府衛生局,111/12/31,"2,023,411 ",1110325,"3,881,411 ",傳染病防治計畫,新竹縣
嘉義市政府衛生局,111/12/24,0 ,1110325,"1,724,000 ",傳染病防治計畫,嘉義市
嘉義縣衛生局,111/12/27,0 ,1110325,"4,854,000 ",傳染病防治計畫,嘉義縣
彰化縣衛生局,111/12/14,0 ,1110325,"3,051,000 ",傳染病防治計畫,彰化縣
臺東縣衛生局,111/12/31,0 ,1110325,"4,576,625 ",傳染病防治計畫,臺東縣
澎湖縣政府衛生局,111/12/24,0 ,1110325,"1,335,000 ",傳染病防治計畫,澎湖縣
金門縣衛生局,111/12/24,0 ,1110610,"9,420,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,金門縣
基隆市衛生局,111/12/27,0 ,1110615,"16,545,644 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,基隆市
屏東縣政府衛生局,111/12/22,0 ,1110620,"19,450,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,屏東縣
臺東縣衛生局,111/12/29,0 ,1110620,"8,119,541 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,臺東縣
宜蘭縣政府衛生局,112/01/05,0 ,1110621,"19,160,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,宜蘭縣
花蓮縣衛生局,111/12/29,0 ,1110621,"14,968,900 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,花蓮縣
新竹市衛生局,112/01/11,0 ,1110621,"7,622,186 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,新竹市
彰化縣衛生局,111/12/24,0 ,1110621,"19,160,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,彰化縣
澎湖縣政府衛生局,112/01/03,0 ,1110623,"9,710,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,澎湖縣
南投縣政府衛生局,111/12/29,0 ,1110624,"9,560,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,南投縣
苗栗縣政府衛生局,111/12/27,0 ,1110624,"15,709,566 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,苗栗縣
嘉義縣衛生局,111/12/27,0 ,1110628,"9,710,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,嘉義縣
新竹縣政府衛生局,111/12/27,0 ,1110630,"17,464,505 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,新竹縣
雲林縣衛生局,111/12/24,0 ,1110711,"9,560,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,雲林縣
嘉義市政府衛生局,112/01/12,0 ,1110719,"9,420,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,嘉義市
連江縣衛生福利局,112/01/11,0 ,1110725,"9,710,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,連江縣
