受補(捐)助單位,核准日期,累計撥付金額,補(捐)助事項或用途,縣市別
新北市政府衛生局,112/03/07,"2,171,000 ",傳染病防治計畫,新北市
臺南市政府衛生局,112/03/07,"4,691,000 ",傳染病防治計畫,臺南市
高雄市政府衛生局,112/03/07,"5,316,000 ",傳染病防治計畫,高雄市
桃園市政府衛生局,112/03/07,"2,618,000 ",傳染病防治計畫,桃園市
直轄市政府,112/03/27,"2,126,121,000 ",發給接受隔離、檢疫者與其請假照顧之家屬防疫補償金等,各縣市
宜蘭縣政府衛生局,112/03/07,"2,506,000 ",傳染病防治計畫,宜蘭縣
花蓮縣衛生局,112/03/07,"2,669,000 ",傳染病防治計畫,花蓮縣
金門縣衛生局,112/03/07,"290,000 ",傳染病防治計畫,金門縣
南投縣政府衛生局,112/03/07,"2,880,000 ",傳染病防治計畫,南投縣
屏東縣政府衛生局,112/03/07,"6,469,000 ",傳染病防治計畫,屏東縣
苗栗縣政府衛生局,112/03/07,"1,641,000 ",傳染病防治計畫,苗栗縣
基隆市衛生局,112/03/07,"799,000 ",傳染病防治計畫,基隆市
連江縣衛生福利局,112/03/07,"120,000 ",傳染病防治計畫,連江縣
雲林縣衛生局,112/03/07,"1,122,000 ",傳染病防治計畫,雲林縣
新竹市衛生局,112/03/07,"787,000 ",傳染病防治計畫,新竹市
新竹縣政府衛生局,112/03/07,"1,716,000 ",傳染病防治計畫,新竹縣
嘉義市政府衛生局,112/03/07,"880,000 ",傳染病防治計畫,嘉義市
嘉義縣衛生局,112/03/07,"3,049,000 ",傳染病防治計畫,嘉義縣
彰化縣衛生局,112/03/07,"1,618,000 ",傳染病防治計畫,彰化縣
臺東縣衛生局,112/03/07,"2,272,000 ",傳染病防治計畫,臺東縣
澎湖縣政府衛生局,112/03/07,"573,000 ",傳染病防治計畫,澎湖縣
臺灣省各縣市政府,112/03/27,"635,075,000 ",發給接受隔離、檢疫者與其請假照顧之家屬防疫補償金等,各縣市
高雄榮民總醫院,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,高雄市
國立成功大學醫學院附設醫院,112/01/01,"100,000 ",112年度補助醫院辦理漢生病個案確診及治療計畫,臺南市
國立陽明交通大學附設醫院,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,宜蘭縣
國立臺灣大學醫學院附設醫院,112/01/01,"100,000 ",112年度補助醫院辦理漢生病個案確診及治療計畫,臺北市
臺中榮民總醫院,112/01/01,"100,000 ",112年度補助醫院辦理漢生病個案確診及治療計畫,臺中市
臺北市立聯合醫院,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,臺北市
衛生福利部樂生療養院,112/01/01,"100,000 ",112年度補助醫院辦理漢生病個案確診及治療計畫,新北市
疫苗基金,112/01/04,"228,000,000 ",112年疫苗基金國庫撥補款,臺北市
