"單位類別","受捐助單位名稱","核准日期","補助金額","累計金額","補助事項或用途","縣市代碼"
"個人","民眾","1070630","0 ","8000,000 ","107年1-6月兒童常規疫苗接種處置費補助",""
"個人","民眾","1070502","117111,020","117111020","107年7-12月兒童常規疫苗及75歲以上長者肺炎連球菌疫苗接種處置費",""
"個人","民眾","1070502","212888,980","212888980","107年兒童常規疫苗及長者肺炎鏈球菌疫苗接種處置費",""
"個人","民眾","1071204","346236,000","346236000","107年流感疫苗接種處置費",""
"縣市政府","新竹縣政府衛生局","1060331 1061124","700000","700000","106年補助疫苗冷運冷藏設備經費","10004"
"縣市政府","嘉義縣政府衛生局","1060331 1061229","345280","345280","106年補助疫苗冷運冷藏設備經費","10010"
"縣市政府","宜蘭縣政府衛生局","1060331 1061212","1140000","1140000","106年補助疫苗冷運冷藏設備經費","10002"
"縣市政府","臺南市政府衛生局","1060621","0 ","410880 ","107年補助疫苗冷運冷藏設備經費","67000"
"縣市政府","連江縣政府衛生局","1060621","0 ","73710 ","107年補助疫苗冷運冷藏設備經費","09007"
"縣市政府","花蓮縣政府衛生局","1060621","28800","28800","107年補助疫苗冷運冷藏設備經費","10015"
"縣市政府","金門縣政府衛生局","1060621","61760","61760","107年補助疫苗冷運冷藏設備經費","09020"
"縣市政府","嘉義市政府衛生局","1060621","33600","33600","107年補助疫苗冷運冷藏設備經費","10020"
"縣市政府","新竹縣政府衛生局","1060621","159560","159560","107年補助疫苗冷運冷藏設備經費","10004"
"縣市政府","彰化縣政府衛生局","1060621","243865","243865","107年補助疫苗冷運冷藏設備經費","10007"
"縣市政府","嘉義縣政府衛生局","1060621","1496735","1496735","107年補助疫苗冷運冷藏設備經費","10010"
"縣市政府","雲林縣政府衛生局","1060621","115855","115855","107年補助疫苗冷運冷藏設備經費","10009"
"縣市政府","宜蘭縣政府衛生局","1060621","55250","55250","107年補助疫苗冷運冷藏設備經費","10002"
"縣市政府","桃園市政府衛生局","1060621","70988","70988","107年補助疫苗冷運冷藏設備經費","68000"
"縣市政府","臺東縣政府衛生局","1060621","418500","418500","107年補助疫苗冷運冷藏設備經費","10014"
"縣市政府","南投縣政府衛生局","1060621","181948","181948","107年補助疫苗冷運冷藏設備經費","10008"
"縣市政府","澎湖縣政府衛生局","1060621","49050","49050","107年補助疫苗冷運冷藏設備經費","10016"
"縣市政府","基隆市政府衛生局","1060621","55104","55104","107年補助疫苗冷運冷藏設備經費","10017"
"縣市政府","高雄市政府衛生局","1060621","391584","391584","107年補助疫苗冷運冷藏設備經費","64000"
"縣市政府","臺中市政府衛生局","1060621","1419450","1419450","107年補助疫苗冷運冷藏設備經費","66000"
"縣市政府","連江縣政府衛生局","1070605","85000","85000","107年補助辦理流感疫苗接種計畫經費","09007"
"縣市政府","金門縣政府衛生局","1070601","423000","423000","107年補助辦理流感疫苗接種計畫經費","09020"
"縣市政府","臺東縣政府衛生局","1070608","1651000","1651000","107年補助辦理流感疫苗接種計畫經費","10014"
"縣市政府","臺北市政府衛生局","1070606","12469054","12469054","107年補助辦理流感疫苗接種計畫經費","63000"
"縣市政府","新北市政府衛生局","1070530","18979733","18979733","107年補助辦理流感疫苗接種計畫經費","65000"
"縣市政府","基隆市政府衛生局","1070608","1942353","1942353","107年補助辦理流感疫苗接種計畫經費","10017"
"縣市政府","宜蘭縣政府衛生局","1070606","3370558","3370558","107年補助辦理流感疫苗接種計畫經費","10002"
"縣市政府","桃園市政府衛生局","1070525","8954752","8954752","107年補助辦理流感疫苗接種計畫經費","68000"
"縣市政府","新竹縣政府衛生局","1070529","3070852","3070852","107年補助辦理流感疫苗接種計畫經費","10004"
"縣市政府","新竹市政府衛生局","1070605","2343280","2343280","107年補助辦理流感疫苗接種計畫經費","10018"
"縣市政府","苗栗縣政府衛生局","1070530","4274209","4274209","107年補助辦理流感疫苗接種計畫經費","10005"
"縣市政府","臺中市政府衛生局","1070611","12819215","12819215","107年補助辦理流感疫苗接種計畫經費","66000"
"縣市政府","彰化縣政府衛生局","1070607","8839769","8839769","107年補助辦理流感疫苗接種計畫經費","10007"
"縣市政府","南投縣政府衛生局","1070601","3116420","3116420","107年補助辦理流感疫苗接種計畫經費","10008"
"縣市政府","雲林縣政府衛生局","1070606","5070943","5070943","107年補助辦理流感疫苗接種計畫經費","10009"
"縣市政府","嘉義縣政府衛生局","1070601","4760000","4760000","107年補助辦理流感疫苗接種計畫經費","10010"
"縣市政府","嘉義市政府衛生局","1070525","1731739","1731739","107年補助辦理流感疫苗接種計畫經費","10020"
"縣市政府","臺南市政府衛生局","1070614","9807992","9807992","107年補助辦理流感疫苗接種計畫經費","67000"
"縣市政府","高雄市政府衛生局","1070604","13730548","13730548","107年補助辦理流感疫苗接種計畫經費","64000"
"縣市政府","屏東縣政府衛生局","1070607","4634216","4634216","107年補助辦理流感疫苗接種計畫經費","10013"
"縣市政府","澎湖縣政府衛生局","1070607","851000","851000","107年補助辦理流感疫苗接種計畫經費","10016"
"縣市政府","花蓮縣政府衛生局","1070528","2962640","2962640","107年補助辦理流感疫苗接種計畫經費","10015"
