疾病別,題目,答案,日期,提供單位
A型肝炎,生吃青蔥會得到A型肝炎,1.A型肝炎主要是透過糞口傳染，民眾食/飲用到受病毒汙染的食物或水就有可能被傳染，與吃特定的食物沒有關係。2.接種A型肝炎疫苗是最有效的預防措施；平時吃東西前、如廁後應該以肥皂確實清潔雙手，食物應確實加熱煮熟後再食用，就可降低群聚感染的風險。,2017/2/7,疾病管制署
A型肝炎,針對2016年12月10日某媒體刊載某讀者投書「以公衛觀點，應定專法保障同婚但不宜收養」乙事,1.該報導觀點論述恐有誤導社會大眾之虞，本署特此鄭重澄清。A型肝炎是主要是經由糞口途徑傳播，其傳染途徑，包括食用或飲用受病毒污染的食物、與A肝感染者密切接觸，例如：共同飲食及親密接觸(性接觸)等。2.A型肝炎最有效的預防方法就是接種A肝疫苗，一般接種1劑疫苗後，約有95%以上的民眾可產生保護抗體，而按期完成兩劑疫苗接種，產生的免疫力可維持20年以上。一旦得到A型肝炎只要經由醫師診治，提供適當藥物治療，大部分的人均可完全康復。,2016/12/22,疾病管制署
MMR混合疫苗,聽說接種疫苗(混和破傷風、白喉、百日咳疫苗)也會導致感染小頭症，請問是真的嗎？,1.目前並無證據指出孕婦接種特定疫苗，會導致胎兒小頭症，目前研究多認為是因為孕婦感染茲卡病毒造成嬰兒小頭症。2.提醒民眾，目前茲卡病毒並無疫苗可以預防，建議應避免前往流行區域，並做好防蚊措施避免傳染。,2016/5/16,疾病管制署
日本腦炎疫苗,聽說目前使用的日本腦炎疫苗因為接種後不良反應較多且製造程序未標準化，所以106年將換打新型疫苗，是真的嗎？,政府過去提供兒童常規接種之不活化鼠腦製程日本腦炎疫苗，均依藥事法規範經衛生福利部食品藥物管理署核准，每批次並經檢驗合格完成封緘後，才會上市提供民眾接種，品質與安全無虞。但因疫苗產製技術的進步，國內外生產鼠腦製程的疫苗廠陸續停產，疾管署目前已進行採購作業，依作業時程及疫苗供貨狀況估計，將自106年下半年起改提供細胞培養之日本腦炎疫苗，屆時接種單位將會依幼童過往接種史及專家訂定的銜接原則，安排後續應接種的疫苗劑次與時間，確保幼童獲得足夠保護力。,2016/10/19,疾病管制署
同婚與愛滋,同性婚姻合法化後國際經驗顯示感染愛滋感染的人會變多？,國際間同性婚姻合法化的國家及地區如南非(2006年11月30日通過)、美國麻州(2005年5月17日通過)，其愛滋疫情並沒有上升，反而是下降。(資料來源：http://pansci.asia/archives/114721),2017/6/5,疾病管制署
同婚與愛滋,同性婚姻入法等同於變相鼓勵同性性行為，不利愛滋防治？,l. 不僅是愛滋病，任何疾病的傳染並不會區分性別、性向。2.唯有安全性行為(保險套+水性潤滑液)才能防治愛滋與其他性傳染病。,2017/6/5,疾病管制署
同婚與愛滋,同性婚姻合法化後，全世界同志都會來台結婚享受愛滋治療？,1.105年3月開放外籍配偶納入我國愛滋公務預算照護，根據分析資料顯示，105年外籍人士感染愛滋之通報人數並無增加。2.事實上，婚姻的成立，需要多重步驟，且除了我國，國外許多先進國家，也以保險或公費提供愛滋治療，疫情也已獲控制。3.由此可知，所謂「同性婚姻合法化後，全世界同志都會來和台灣同志結婚，享受免費愛滋藥物，增加我國醫療支出」等，並非事實。,2017/6/5,疾病管制署
同婚與愛滋,外國人感染愛滋來台2年後，所有外國人的愛滋治療費用是由健保支付，將大量增加我國醫療支出負擔？,1.105年3月開放外籍配偶納入我國愛滋公務預算照護，根據分析資料顯示，105年外籍人士感染愛滋之通報人數並無增加。2.事實上，婚姻的成立，需要多重步驟，且除了我國，國外許多先進國家，也以保險或公費提供愛滋治療，疫情也已獲控制。3.由此可知，所謂「同性婚姻合法化後，全世界同志都會來和台灣同志結婚，享受免費愛滋藥物，增加我國醫療支出」等，並非事實。,2017/6/5,疾病管制署
同婚與愛滋,如果發現在台居留的外國人感染愛滋，不能強制遣返嗎? ,愛滋傳染途徑主要是透過不安全性行為，一般工作生活之接觸，並不會傳染愛滋，故我國順應世界衛生組織建議及國際人權趨勢，已不強制愛滋病患遣返出境。,2017/6/5,疾病管制署
同婚與愛滋,目前已有很多外國籍愛滋感染者已納入健保給付？,依據本署資料，外籍感染者多數已經離境，僅有零星個案未離境。,2017/6/5,疾病管制署
