年別,縣市別,MDR總人數,團隊照護中人數,未加入團隊人數,男性人數,女性人數,0-49歲人數,50-64歲人數,65歲以上人數,MDR-TB人數,XDR-TB人數
2022,63000,4,3,1,2,2,1,0,3,4,0
2022,65000,9,9,0,8,1,3,2,4,9,0
2022,10002,2,2,0,2,0,1,1,0,2,0
2022,10017,1,1,0,1,0,0,1,0,1,0
2022,68000,4,4,0,2,2,3,0,1,4,0
2022,10004,1,0,1,1,0,0,0,1,1,0
2022,10005,1,1,0,0,1,1,0,0,1,0
2022,10019,10,10,0,9,1,2,3,5,10,0
2022,10008,1,0,1,1,0,0,0,1,1,0
2022,10007,7,7,0,5,2,1,2,4,7,0
2022,10010,2,1,1,2,0,0,0,2,2,0
2022,10020,1,1,0,1,0,0,0,1,1,0
2022,10021,5,4,1,4,1,0,0,5,5,0
2022,64000,12,9,3,9,3,3,4,5,12,0
2022,10013,2,1,1,2,0,0,2,0,2,0
2022,10015,1,1,0,1,0,0,1,0,1,0
2022,10014,1,1,0,1,0,1,0,0,1,0
2022,-,64,55,9,51,13,16,16,32,64,0
2021,63000,5,5,0,2,3,1,2,2,5,0
2021,65000,13,10,3,11,2,3,2,8,13,0
2021,10002,2,2,0,0,2,1,0,1,2,0
2021,10017,2,2,0,2,0,0,1,1,2,0
2021,68000,6,6,0,6,0,2,3,1,6,0
2021,10018,1,1,0,1,0,0,1,0,1,0
2021,10005,2,1,1,2,0,0,0,2,2,0
2021,10019,6,6,0,5,1,3,0,3,6,0
2021,10008,1,1,0,1,0,0,0,1,1,0
2021,10007,4,3,1,3,1,1,0,3,4,0
2021,10009,3,1,2,2,1,0,0,3,3,0
2021,10010,3,2,1,2,1,0,1,2,3,0
2021,10021,7,7,0,5,2,0,4,3,6,1
2021,64000,19,16,3,18,1,0,9,10,19,0
2021,10013,2,2,0,1,1,2,0,0,1,1
2021,10015,6,6,0,5,1,2,3,1,6,0
2021,-,82,71,11,66,16,15,26,41,80,2
2020,63000,11,7,4,9,2,1,1,9,11,0
2020,65000,14,14,0,9,5,2,4,8,13,1
2020,10002,1,1,0,1,0,0,0,1,1,0
2020,68000,3,2,1,2,1,1,0,2,3,0
2020,10004,1,0,1,1,0,0,0,1,1,0
2020,10005,2,2,0,0,2,1,0,1,2,0
2020,10019,8,8,0,5,3,4,2,2,8,0
2020,10008,3,2,1,1,2,0,2,1,3,0
2020,10007,6,4,2,6,0,0,1,5,6,0
2020,10009,3,3,0,3,0,1,2,0,3,0
