縣市代碼,縣市別,鄉鎮別,年別,新案發生數,新案發生率
--,全台灣,--,2022,176,86.9
--,全台灣,--,2021,179,88.7
--,全台灣,--,2020,229,113.4
--,全台灣,--,2019,203,100
--,全台灣,--,2018,227,112.2
--,全台灣,--,2017,245,122.1
--,全台灣,--,2016,272,135.7
--,全台灣,--,2015,280,138.9
--,全台灣,--,2014,330,164.4
--,全台灣,--,2013,342,172.1
--,全台灣,--,2012,385,193.3
--,全台灣,--,2011,455,227.1
--,全台灣,--,2010,427,212.5
--,全台灣,--,2009,470,236.3
--,全台灣,--,2008,406,205.7
--,全台灣,--,2007,409,206.1
--,全台灣,--,2006,533,266.8
--,全台灣,--,2005,585,292.9
10019,台中市,和平區,2022,7,64.3
10019,台中市,和平區,2021,5,46.1
10019,台中市,和平區,2020,6,55.3
10019,台中市,和平區,2019,10,91.3
10019,台中市,和平區,2018,6,54.6
10019,台中市,和平區,2017,8,73.6
10019,台中市,和平區,2016,13,120.8
10019,台中市,和平區,2015,7,65
10019,台中市,和平區,2014,14,130.8
10019,台中市,和平區,2013,8,75.7
10019,台中市,和平區,2012,9,84.7
10019,台中市,和平區,2011,17,158.7
10019,台中市,和平區,2010,10,93.1
10019,台中市,和平區,2009,17,157.9
10019,台中市,和平區,2008,15,138.4
10019,台中市,和平區,2007,17,155.7
10019,台中市,和平區,2006,11,99.9
10019,台中市,和平區,2005,15,134.9
64000,高雄市,茂林區,2022,0,0
64000,高雄市,桃源區,2022,1,23.7
64000,高雄市,那瑪夏區,2022,1,31.5
64000,高雄市,茂林區,2021,2,105.6
64000,高雄市,桃源區,2021,2,47.5
64000,高雄市,那瑪夏區,2021,0,0
64000,高雄市,茂林區,2020,2,103.8
64000,高雄市,桃源區,2020,1,23.6
64000,高雄市,那瑪夏區,2020,0,0
64000,高雄市,茂林區,2019,3,152.6
64000,高雄市,桃源區,2019,5,116.7
64000,高雄市,那瑪夏區,2019,1,31.8
64000,高雄市,茂林區,2018,2,102.1
