縣市別,年別,發生數,男性發生數,女性發生數,0-44歲發生數,45-64歲發生數,65歲以上發生數
台中市,2005,1532,1046,486,347,384,801
台中市,2006,1468,999,469,347,382,739
台中市,2007,1358,935,423,320,326,712
台中市,2008,1427,974,453,321,389,717
台中市,2009,1300,908,392,283,338,679
台中市,2010,1326,900,426,260,340,726
台中市,2011,1226,849,231,253,347,626
台中市,2012,1187,861,326,239,336,612
台中市,2013,1097,761,336,204,297,596
台中市,2014,1100,782,318,193,311,596
台中市,2015,1059,735,324,170,313,576
台中市,2016,1125,765,360,175,339,611
台中市,2017,932,610,322,148,262,522
台中市,2018,1007,702,305,139,293,575
台中市,2019,888,603,285,128,242,518
台中市,2020,792,531,261,133,211,448
台中市,2021,776,533,243,100,199,477
台中市,2022,690,448,242,93,185,412
台中市,2023,660,458,202,66,170,424
台北市,2005,1386,911,475,364,323,699
台北市,2006,1244,828,416,265,332,647
台北市,2007,1280,838,442,292,320,668
台北市,2008,1178,752,426,280,295,603
台北市,2009,1110,731,379,224,281,605
台北市,2010,1082,709,373,245,256,581
台北市,2011,1000,664,377,217,248,535
台北市,2012,925,637,288,173,239,513
台北市,2013,895,589,306,172,220,503
台北市,2014,905,593,312,180,235,490
台北市,2015,824,551,273,124,192,508
台北市,2016,797,560,237,131,217,449
台北市,2017,797,511,286,127,203,467
台北市,2018,727,474,253,121,177,429
台北市,2019,725,465,260,92,167,466
台北市,2020,631,419,212,101,128,402
台北市,2021,545,355,190,62,130,353
台北市,2022,506,324,182,60,113,333
台北市,2023,540,346,194,66,115,359
台東縣,2005,276,202,74,84,75,117
台東縣,2006,249,175,74,73,71,105
台東縣,2007,215,154,61,77,57,81
台東縣,2008,233,165,68,40,83,110
台東縣,2009,263,184,79,60,74,129
台東縣,2010,231,149,82,57,75,99
台東縣,2011,223,167,3,49,69,105
台東縣,2012,184,140,44,30,67,87
台東縣,2013,173,128,45,41,51,81
台東縣,2014,178,136,42,36,61,81
台東縣,2015,156,110,46,30,60,66
台東縣,2016,147,108,39,15,59,73
台東縣,2017,150,109,41,33,45,72
台東縣,2018,129,96,33,18,49,62
台東縣,2019,118,87,31,21,48,49
台東縣,2020,107,78,29,18,33,56
台東縣,2021,95,70,25,13,40,42
台東縣,2022,104,82,22,10,28,66
台東縣,2023,92,61,31,15,28,49
台南市,2005,1326,924,402,257,371,698
台南市,2006,1255,862,393,233,299,723
台南市,2007,1131,807,324,229,299,603
台南市,2008,1238,880,358,233,310,695
台南市,2009,1066,764,302,172,279,615
台南市,2010,1036,758,278,172,265,599
台南市,2011,983,707,176,176,290,517
台南市,2012,926,665,261,159,265,502
台南市,2013,900,650,250,152,256,492
台南市,2014,893,642,251,119,264,510
台南市,2015,884,629,255,121,283,480
台南市,2016,870,602,268,112,251,507
台南市,2017,863,604,259,119,240,504
台南市,2018,720,514,206,78,199,443
台南市,2019,678,484,194,66,203,409
台南市,2020,633,447,186,59,179,395
台南市,2021,617,426,191,62,158,397
台南市,2022,545,381,164,66,131,348
台南市,2023,547,389,158,35,148,364
全台灣,2005,16472,11403,5069,3884,4180,8408
全台灣,2006,15378,10604,4774,3413,3936,8029
全台灣,2007,14480,9980,4500,3219,3784,7477
全台灣,2008,14265,9835,4430,3187,3627,7451
全台灣,2009,13336,9261,4075,2758,3500,7078
全台灣,2010,13237,9131,4106,2667,3570,7000
全台灣,2011,12634,8781,3853,2542,3483,6609
全台灣,2012,12338,8653,3685,2332,3582,6424
全台灣,2013,11528,8071,3457,2229,3187,6112
全台灣,2014,11326,7894,3432,2006,3266,6054
全台灣,2015,10711,7499,3212,1761,3126,5824
全台灣,2016,10328,7215,3113,1535,2992,5801
全台灣,2017,9759,6688,3071,1476,2757,5526
全台灣,2018,9179,6439,2740,1301,2537,5341
全台灣,2019,8732,6015,2717,1200,2474,5058
全台灣,2020,7823,5413,2410,990,2113,4720
全台灣,2021,7062,4909,2153,813,1951,4298
全台灣,2022,6576,4512,2064,736,1745,4095
全台灣,2023,6584,4559,2025,626,1729,4229
宜蘭縣,2005,361,262,99,106,77,178
宜蘭縣,2006,344,243,101,86,66,192
宜蘭縣,2007,351,241,110,80,88,183
宜蘭縣,2008,360,265,95,75,85,200
