縣市別,鄉鎮別,年別,發生數
台中市,大甲區,2023,16
台中市,大甲區,2022,18
台中市,大甲區,2021,25
台中市,大甲區,2020,20
台中市,大甲區,2019,32
台中市,大甲區,2018,24
台中市,大甲區,2017,26
台中市,大甲區,2016,37
台中市,大甲區,2015,33
台中市,大甲區,2014,24
台中市,大甲區,2013,42
台中市,大甲區,2012,34
台中市,大甲區,2011,36
台中市,大甲區,2010,34
台中市,大甲區,2009,46
台中市,大甲區,2008,48
台中市,大甲區,2007,35
台中市,大甲區,2006,47
台中市,大甲區,2005,73
台中市,大安區,2023,4
台中市,大安區,2022,7
台中市,大安區,2021,3
台中市,大安區,2020,2
台中市,大安區,2019,10
台中市,大安區,2018,10
台中市,大安區,2017,6
台中市,大安區,2016,10
台中市,大安區,2015,9
台中市,大安區,2014,7
台中市,大安區,2013,8
台中市,大安區,2012,5
台中市,大安區,2011,8
台中市,大安區,2010,15
台中市,大安區,2009,10
台中市,大安區,2008,9
台中市,大安區,2007,6
台中市,大安區,2006,10
台中市,大安區,2005,18
台中市,大肚區,2023,7
台中市,大肚區,2022,13
台中市,大肚區,2021,14
台中市,大肚區,2020,14
台中市,大肚區,2019,29
台中市,大肚區,2018,24
台中市,大肚區,2017,19
台中市,大肚區,2016,31
台中市,大肚區,2015,15
台中市,大肚區,2014,19
台中市,大肚區,2013,31
台中市,大肚區,2012,25
台中市,大肚區,2011,16
台中市,大肚區,2010,39
台中市,大肚區,2009,25
台中市,大肚區,2008,26
台中市,大肚區,2007,27
台中市,大肚區,2006,36
台中市,大肚區,2005,33
台中市,大里區,2023,46
台中市,大里區,2022,47
台中市,大里區,2021,55
台中市,大里區,2020,53
台中市,大里區,2019,50
台中市,大里區,2018,66
台中市,大里區,2017,71
台中市,大里區,2016,69
台中市,大里區,2015,77
台中市,大里區,2014,84
台中市,大里區,2013,67
台中市,大里區,2012,77
台中市,大里區,2011,75
台中市,大里區,2010,70
台中市,大里區,2009,84
台中市,大里區,2008,86
台中市,大里區,2007,86
台中市,大里區,2006,90
台中市,大里區,2005,95
台中市,大雅區,2023,28
台中市,大雅區,2022,22
台中市,大雅區,2021,24
台中市,大雅區,2020,36
台中市,大雅區,2019,36
台中市,大雅區,2018,33
台中市,大雅區,2017,30
台中市,大雅區,2016,46
台中市,大雅區,2015,35
台中市,大雅區,2014,45
台中市,大雅區,2013,59
台中市,大雅區,2012,37
台中市,大雅區,2011,45
台中市,大雅區,2010,55
台中市,大雅區,2009,45
台中市,大雅區,2008,51
台中市,大雅區,2007,65
台中市,大雅區,2006,52
台中市,大雅區,2005,60
台中市,中區,2023,10
台中市,中區,2022,5
台中市,中區,2021,10
台中市,中區,2020,14
台中市,中區,2019,6
台中市,中區,2018,9
台中市,中區,2017,10
台中市,中區,2016,8
台中市,中區,2015,8
台中市,中區,2014,9
台中市,中區,2013,7
台中市,中區,2012,13
台中市,中區,2011,12
台中市,中區,2010,13
台中市,中區,2009,12
台中市,中區,2008,16
台中市,中區,2007,15
台中市,中區,2006,17
台中市,中區,2005,17
台中市,太平區,2023,28
台中市,太平區,2022,50
台中市,太平區,2021,54
台中市,太平區,2020,47
台中市,太平區,2019,66
台中市,太平區,2018,60
台中市,太平區,2017,72
台中市,太平區,2016,70
台中市,太平區,2015,68
台中市,太平區,2014,63
台中市,太平區,2013,55
台中市,太平區,2012,82
台中市,太平區,2011,90
台中市,太平區,2010,82
台中市,太平區,2009,102
台中市,太平區,2008,109
台中市,太平區,2007,99
台中市,太平區,2006,102
台中市,太平區,2005,107
台中市,北屯區,2023,43
台中市,北屯區,2022,57
台中市,北屯區,2021,67
台中市,北屯區,2020,62
台中市,北屯區,2019,75
台中市,北屯區,2018,81
台中市,北屯區,2017,68
台中市,北屯區,2016,105
台中市,北屯區,2015,90
台中市,北屯區,2014,85
台中市,北屯區,2013,98
台中市,北屯區,2012,96
台中市,北屯區,2011,112
台中市,北屯區,2010,120
台中市,北屯區,2009,95
台中市,北屯區,2008,117
台中市,北屯區,2007,117
台中市,北屯區,2006,103
台中市,北屯區,2005,129
台中市,北區,2023,37
台中市,北區,2022,47
台中市,北區,2021,56
台中市,北區,2020,43
台中市,北區,2019,43
台中市,北區,2018,66
台中市,北區,2017,51
台中市,北區,2016,58
台中市,北區,2015,63
台中市,北區,2014,67
台中市,北區,2013,66
台中市,北區,2012,72
台中市,北區,2011,77
台中市,北區,2010,82
台中市,北區,2009,76
台中市,北區,2008,86
台中市,北區,2007,85
台中市,北區,2006,93
台中市,北區,2005,69
台中市,外埔區,2023,9
台中市,外埔區,2022,10
台中市,外埔區,2021,14
台中市,外埔區,2020,17
台中市,外埔區,2019,11
台中市,外埔區,2018,19
台中市,外埔區,2017,15
台中市,外埔區,2016,18
台中市,外埔區,2015,16
台中市,外埔區,2014,12
台中市,外埔區,2013,14
台中市,外埔區,2012,18
台中市,外埔區,2011,11
台中市,外埔區,2010,15
台中市,外埔區,2009,27
台中市,外埔區,2008,18
台中市,外埔區,2007,18
台中市,外埔區,2006,27
台中市,外埔區,2005,18
台中市,石岡區,2023,4
台中市,石岡區,2022,2
台中市,石岡區,2021,3
台中市,石岡區,2020,6
台中市,石岡區,2019,8
台中市,石岡區,2018,6
台中市,石岡區,2017,8
台中市,石岡區,2016,4
台中市,石岡區,2015,7
台中市,石岡區,2014,11
台中市,石岡區,2013,7
台中市,石岡區,2012,2
台中市,石岡區,2011,8
台中市,石岡區,2010,6
台中市,石岡區,2009,7
台中市,石岡區,2008,8
台中市,石岡區,2007,9
台中市,石岡區,2006,14
台中市,石岡區,2005,5
台中市,后里區,2023,15
台中市,后里區,2022,8
台中市,后里區,2021,17
台中市,后里區,2020,19
台中市,后里區,2019,23
台中市,后里區,2018,24
台中市,后里區,2017,20
台中市,后里區,2016,20
台中市,后里區,2015,31
台中市,后里區,2014,24
台中市,后里區,2013,15
台中市,后里區,2012,19
台中市,后里區,2011,25
台中市,后里區,2010,35
台中市,后里區,2009,29
台中市,后里區,2008,29
台中市,后里區,2007,35
台中市,后里區,2006,32
台中市,后里區,2005,33
台中市,西屯區,2023,46
台中市,西屯區,2022,72
台中市,西屯區,2021,61
台中市,西屯區,2020,65
台中市,西屯區,2019,60
台中市,西屯區,2018,65
台中市,西屯區,2017,64
台中市,西屯區,2016,85
台中市,西屯區,2015,97
台中市,西屯區,2014,77
台中市,西屯區,2013,79
台中市,西屯區,2012,88
台中市,西屯區,2011,77
台中市,西屯區,2010,86
台中市,西屯區,2009,108
台中市,西屯區,2008,104
台中市,西屯區,2007,92
台中市,西屯區,2006,103
台中市,西屯區,2005,99
台中市,西區,2023,31
台中市,西區,2022,36
台中市,西區,2021,32
台中市,西區,2020,46
台中市,西區,2019,32
台中市,西區,2018,52
台中市,西區,2017,52
台中市,西區,2016,42
台中市,西區,2015,40
台中市,西區,2014,42
台中市,西區,2013,54
台中市,西區,2012,48
台中市,西區,2011,50
台中市,西區,2010,60
台中市,西區,2009,47
台中市,西區,2008,58
台中市,西區,2007,59
台中市,西區,2006,64
台中市,西區,2005,55
台中市,沙鹿區,2023,20
