縣市別,鄉鎮別,年別,新案發生率
台北市,士林區,2022,17.6
台北市,士林區,2021,23.7
台北市,士林區,2020,21.4
台北市,士林區,2019,23.2
台北市,士林區,2018,24.4
台北市,士林區,2017,26.6
台北市,士林區,2016,24.1
台北市,士林區,2015,32.0
台北市,士林區,2014,36.2
台北市,士林區,2013,32.5
台北市,士林區,2012,32.3
台北市,士林區,2011,31.8
台北市,士林區,2010,40.1
台北市,士林區,2009,44.2
台北市,士林區,2008,40.5
台北市,士林區,2007,47.6
台北市,士林區,2006,46.5
台北市,士林區,2005,47.9
台北市,大同區,2022,19.2
台北市,大同區,2021,24.5
台北市,大同區,2020,30.4
台北市,大同區,2019,28.4
台北市,大同區,2018,29.6
台北市,大同區,2017,32.4
台北市,大同區,2016,32.2
台北市,大同區,2015,35.9
台北市,大同區,2014,36.8
台北市,大同區,2013,42.5
台北市,大同區,2012,47.0
台北市,大同區,2011,56.5
台北市,大同區,2010,49.2
台北市,大同區,2009,50.8
台北市,大同區,2008,46.3
台北市,大同區,2007,50.6
台北市,大同區,2006,64.6
台北市,大同區,2005,65.0
台北市,大安區,2022,17.4
台北市,大安區,2021,15.8
台北市,大安區,2020,23.9
台北市,大安區,2019,28.5
台北市,大安區,2018,29.4
台北市,大安區,2017,27.7
台北市,大安區,2016,29.1
台北市,大安區,2015,30.0
台北市,大安區,2014,39.2
台北市,大安區,2013,31.6
台北市,大安區,2012,24.6
台北市,大安區,2011,36.5
台北市,大安區,2010,38.2
台北市,大安區,2009,42.2
台北市,大安區,2008,40.1
台北市,大安區,2007,43.9
台北市,大安區,2006,40.9
台北市,大安區,2005,43.5
台北市,中山區,2022,21.5
台北市,中山區,2021,22.3
台北市,中山區,2020,23.5
台北市,中山區,2019,23.2
台北市,中山區,2018,21.3
台北市,中山區,2017,28.1
台北市,中山區,2016,23.8
台北市,中山區,2015,29.4
台北市,中山區,2014,38.8
台北市,中山區,2013,32.5
台北市,中山區,2012,33.3
台北市,中山區,2011,41.0
台北市,中山區,2010,40.6
台北市,中山區,2009,49.4
台北市,中山區,2008,50.8
台北市,中山區,2007,46.6
台北市,中山區,2006,47.7
台北市,中山區,2005,58.6
台北市,中正區,2022,18.7
台北市,中正區,2021,16.3
台北市,中正區,2020,25.5
台北市,中正區,2019,31.5
台北市,中正區,2018,25.1
台北市,中正區,2017,29.4
台北市,中正區,2016,34.7
台北市,中正區,2015,32.5
台北市,中正區,2014,27.0
台北市,中正區,2013,32.6
台北市,中正區,2012,30.3
台北市,中正區,2011,34.9
台北市,中正區,2010,37.7
台北市,中正區,2009,28.9
台北市,中正區,2008,38.3
台北市,中正區,2007,54.7
台北市,中正區,2006,37.3
台北市,中正區,2005,43.1
台北市,內湖區,2022,14.6
台北市,內湖區,2021,18.6
台北市,內湖區,2020,22.2
台北市,內湖區,2019,22.3
台北市,內湖區,2018,27.5
台北市,內湖區,2017,21.5
台北市,內湖區,2016,19.5
台北市,內湖區,2015,18.5
台北市,內湖區,2014,24.6
台北市,內湖區,2013,24.5
台北市,內湖區,2012,28.1
台北市,內湖區,2011,25.3
台北市,內湖區,2010,32.7
台北市,內湖區,2009,37.0
台北市,內湖區,2008,36.8
台北市,內湖區,2007,44.1
台北市,內湖區,2006,35.0
台北市,內湖區,2005,44.7
台北市,文山區,2022,20.0
台北市,文山區,2021,23.4
台北市,文山區,2020,24.4
台北市,文山區,2019,35.6
台北市,文山區,2018,30.3
台北市,文山區,2017,28.4
台北市,文山區,2016,28.3
台北市,文山區,2015,29.1
台北市,文山區,2014,35.9
台北市,文山區,2013,35.5
台北市,文山區,2012,42.2
台北市,文山區,2011,41.2
台北市,文山區,2010,37.8
台北市,文山區,2009,39.8
台北市,文山區,2008,42.8
台北市,文山區,2007,44.7
台北市,文山區,2006,47.7
台北市,文山區,2005,47.2
台北市,北投區,2022,24.7
台北市,北投區,2021,23.4
台北市,北投區,2020,25.4
台北市,北投區,2019,31.1
台北市,北投區,2018,23.4
台北市,北投區,2017,34.3
台北市,北投區,2016,31.8
台北市,北投區,2015,30.7
台北市,北投區,2014,35.9
台北市,北投區,2013,30.6
台北市,北投區,2012,35.5
台北市,北投區,2011,36.3
台北市,北投區,2010,53.5
台北市,北投區,2009,44.2
台北市,北投區,2008,53.6
台北市,北投區,2007,54.0
台北市,北投區,2006,52.7
台北市,北投區,2005,71.6
台北市,松山區,2022,20.3
台北市,松山區,2021,17.8
台北市,松山區,2020,21.3
台北市,松山區,2019,22.4
台北市,松山區,2018,25.7
台北市,松山區,2017,28.4
台北市,松山區,2016,35.9
台北市,松山區,2015,20.9
台北市,松山區,2014,25.7
台北市,松山區,2013,31.8
台北市,松山區,2012,25.2
台北市,松山區,2011,33.0
台北市,松山區,2010,37.0
台北市,松山區,2009,31.1
台北市,松山區,2008,38.9
台北市,松山區,2007,35.7
台北市,松山區,2006,40.7
台北市,松山區,2005,46.9
台北市,信義區,2022,23.3
台北市,信義區,2021,22.2
台北市,信義區,2020,22.1
台北市,信義區,2019,22.6
台北市,信義區,2018,21.8
台北市,信義區,2017,29.1
台北市,信義區,2016,33.3
台北市,信義區,2015,40.5
台北市,信義區,2014,21.0
台北市,信義區,2013,32.0
台北市,信義區,2012,44.5
台北市,信義區,2011,42.1
台北市,信義區,2010,41.7
台北市,信義區,2009,38.4
台北市,信義區,2008,42.5
台北市,信義區,2007,56.5
台北市,信義區,2006,54.9
台北市,信義區,2005,51.4
台北市,南港區,2022,22.7
台北市,南港區,2021,17.1
台北市,南港區,2020,15.1
台北市,南港區,2019,22.3
台北市,南港區,2018,32.8
台北市,南港區,2017,33.5
台北市,南港區,2016,26.1
台北市,南港區,2015,32.0
台北市,南港區,2014,28.2
台北市,南港區,2013,36.1
台北市,南港區,2012,40.1
台北市,南港區,2011,34.8
台北市,南港區,2010,48.4
台北市,南港區,2009,40.6
台北市,南港區,2008,39.6
台北市,南港區,2007,31.7
台北市,南港區,2006,38.9
台北市,南港區,2005,41.6
台北市,萬華區,2022,26.9
台北市,萬華區,2021,30.6
台北市,萬華區,2020,35.1
台北市,萬華區,2019,36.6
台北市,萬華區,2018,39.3
台北市,萬華區,2017,44.6
台北市,萬華區,2016,43.3
台北市,萬華區,2015,41.6
台北市,萬華區,2014,51.5
台北市,萬華區,2013,48.7
台北市,萬華區,2012,46.4
台北市,萬華區,2011,54.7
台北市,萬華區,2010,49.3
台北市,萬華區,2009,65.5
台北市,萬華區,2008,72.1
台北市,萬華區,2007,73.3
台北市,萬華區,2006,68.8
台北市,萬華區,2005,78.5
新北市,八里區,2022,34.5
新北市,八里區,2021,12.5
新北市,八里區,2020,40.4
新北市,八里區,2019,33.1
新北市,八里區,2018,41.3
新北市,八里區,2017,26.1
新北市,八里區,2016,34.3
新北市,八里區,2015,37.4
新北市,八里區,2014,65.4
新北市,八里區,2013,77.9
新北市,八里區,2012,61.8
新北市,八里區,2011,51.3
新北市,八里區,2010,78.5
新北市,八里區,2009,47.6
新北市,八里區,2008,57.6
新北市,八里區,2007,49.1
新北市,八里區,2006,34.1
新北市,八里區,2005,56.7
新北市,三芝區,2022,9.0
新北市,三芝區,2021,35.6
新北市,三芝區,2020,17.7
新北市,三芝區,2019,26.2
新北市,三芝區,2018,34.6
新北市,三芝區,2017,25.8
新北市,三芝區,2016,34.1
新北市,三芝區,2015,21.3
新北市,三芝區,2014,46.9
新北市,三芝區,2013,34.1
新北市,三芝區,2012,47.0
新北市,三芝區,2011,25.8
新北市,三芝區,2010,30.0
新北市,三芝區,2009,21.3
新北市,三芝區,2008,42.5
新北市,三芝區,2007,42.4
新北市,三芝區,2006,55.2
新北市,三芝區,2005,72.5
新北市,三重區,2022,32.0
新北市,三重區,2021,27.9
新北市,三重區,2020,25.9
新北市,三重區,2019,31.6
新北市,三重區,2018,39.1
新北市,三重區,2017,42.0
新北市,三重區,2016,36.3
新北市,三重區,2015,55.3
新北市,三重區,2014,50.8
新北市,三重區,2013,45.6
新北市,三重區,2012,52.3
新北市,三重區,2011,57.2
新北市,三重區,2010,56.8
新北市,三重區,2009,60.3
新北市,三重區,2008,60.4
新北市,三重區,2007,62.3
新北市,三重區,2006,61.0
新北市,三重區,2005,62.0
新北市,三峽區,2022,38.9
新北市,三峽區,2021,28.3
新北市,三峽區,2020,38.6
新北市,三峽區,2019,42.2
新北市,三峽區,2018,48.5
新北市,三峽區,2017,44.5
新北市,三峽區,2016,54.7
新北市,三峽區,2015,35.1
新北市,三峽區,2014,61.4
新北市,三峽區,2013,45.0
新北市,三峽區,2012,37.5
新北市,三峽區,2011,44.2
新北市,三峽區,2010,41.3
新北市,三峽區,2009,54.4
新北市,三峽區,2008,76.7
新北市,三峽區,2007,69.7
新北市,三峽區,2006,76.6
新北市,三峽區,2005,92.2
新北市,土城區,2022,22.3
新北市,土城區,2021,30.3
新北市,土城區,2020,32.8
新北市,土城區,2019,32.9
新北市,土城區,2018,33.7
新北市,土城區,2017,38.2
新北市,土城區,2016,36.0
新北市,土城區,2015,52.8
新北市,土城區,2014,43.5
新北市,土城區,2013,53.7
新北市,土城區,2012,60.5
新北市,土城區,2011,66.5
新北市,土城區,2010,64.4
新北市,土城區,2009,55.3
新北市,土城區,2008,57.6
新北市,土城區,2007,58.6
新北市,土城區,2006,52.8
新北市,土城區,2005,61.8
新北市,中和區,2022,30.9
新北市,中和區,2021,27.4
新北市,中和區,2020,33.5
新北市,中和區,2019,33.9
新北市,中和區,2018,43.1
新北市,中和區,2017,37.4
新北市,中和區,2016,46.3
新北市,中和區,2015,59.0
新北市,中和區,2014,47.2
新北市,中和區,2013,69.4
新北市,中和區,2012,68.4
新北市,中和區,2011,71.1
新北市,中和區,2010,80.8
新北市,中和區,2009,61.5
新北市,中和區,2008,60.6
新北市,中和區,2007,66.0
新北市,中和區,2006,62.7
新北市,中和區,2005,62.2
新北市,五股區,2022,22.0
新北市,五股區,2021,25.6
新北市,五股區,2020,31.6
新北市,五股區,2019,35.6
新北市,五股區,2018,39.7
新北市,五股區,2017,34.3
新北市,五股區,2016,31.1
新北市,五股區,2015,42.4
新北市,五股區,2014,23.2
新北市,五股區,2013,45.4
新北市,五股區,2012,38.3
新北市,五股區,2011,53.6
新北市,五股區,2010,50.3
新北市,五股區,2009,45.9
新北市,五股區,2008,55.5
新北市,五股區,2007,57.2
新北市,五股區,2006,46.0
新北市,五股區,2005,46.7
新北市,平溪區,2022,0.0
新北市,平溪區,2021,45.7
新北市,平溪區,2020,22.3
新北市,平溪區,2019,21.7
新北市,平溪區,2018,42.6
新北市,平溪區,2017,63.2
新北市,平溪區,2016,103.6
新北市,平溪區,2015,142.4
新北市,平溪區,2014,100.4
新北市,平溪區,2013,118.7
新北市,平溪區,2012,58.2
新北市,平溪區,2011,94.9
新北市,平溪區,2010,92.7
新北市,平溪區,2009,91.2
新北市,平溪區,2008,107.6
新北市,平溪區,2007,52.3
新北市,平溪區,2006,98.6
新北市,平溪區,2005,115.7
新北市,永和區,2022,26.7
新北市,永和區,2021,29.9
新北市,永和區,2020,25.9
新北市,永和區,2019,32.1
新北市,永和區,2018,30.7
新北市,永和區,2017,34.9
新北市,永和區,2016,28.5
新北市,永和區,2015,24.3
新北市,永和區,2014,30.7
新北市,永和區,2013,33.1
新北市,永和區,2012,35.0
新北市,永和區,2011,31.1
新北市,永和區,2010,29.3
新北市,永和區,2009,52.0
新北市,永和區,2008,42.3
新北市,永和區,2007,55.5
新北市,永和區,2006,49.7
新北市,永和區,2005,56.8
新北市,石門區,2022,36.1
新北市,石門區,2021,8.8
新北市,石門區,2020,25.7
新北市,石門區,2019,16.7
新北市,石門區,2018,24.6
新北市,石門區,2017,40.4
新北市,石門區,2016,39.8
新北市,石門區,2015,0.0
新北市,石門區,2014,23.5
新北市,石門區,2013,15.6
新北市,石門區,2012,15.6
新北市,石門區,2011,39.2
新北市,石門區,2010,15.9
新北市,石門區,2009,41.0
新北市,石門區,2008,41.9
新北市,石門區,2007,42.4
新北市,石門區,2006,17.1
新北市,石門區,2005,26.2
新北市,石碇區,2022,40.6
新北市,石碇區,2021,13.3
新北市,石碇區,2020,26.3
新北市,石碇區,2019,52.1
新北市,石碇區,2018,26.0
新北市,石碇區,2017,13.0
新北市,石碇區,2016,25.7
新北市,石碇區,2015,50.9
新北市,石碇區,2014,25.5
新北市,石碇區,2013,76.2
新北市,石碇區,2012,12.7
新北市,石碇區,2011,63.1
新北市,石碇區,2010,62.7
新北市,石碇區,2009,50.6
新北市,石碇區,2008,38.2
新北市,石碇區,2007,76.4
新北市,石碇區,2006,102.3
新北市,石碇區,2005,90.5
新北市,汐止區,2022,26.7
新北市,汐止區,2021,22.8
新北市,汐止區,2020,28.8
新北市,汐止區,2019,34.2
新北市,汐止區,2018,40.0
新北市,汐止區,2017,41.8
新北市,汐止區,2016,47.2
新北市,汐止區,2015,66.4
新北市,汐止區,2014,60.1
新北市,汐止區,2013,69.7
新北市,汐止區,2012,78.5
新北市,汐止區,2011,88.0
新北市,汐止區,2010,68.8
新北市,汐止區,2009,51.8
新北市,汐止區,2008,58.2
新北市,汐止區,2007,72.8
新北市,汐止區,2006,59.7
新北市,汐止區,2005,71.4
新北市,坪林區,2022,45.6
新北市,坪林區,2021,45.0
新北市,坪林區,2020,0.0
新北市,坪林區,2019,0.0
新北市,坪林區,2018,60.9
新北市,坪林區,2017,30.6
新北市,坪林區,2016,30.7
新北市,坪林區,2015,30.9
新北市,坪林區,2014,0.0
新北市,坪林區,2013,30.9
新北市,坪林區,2012,30.7
新北市,坪林區,2011,45.9
新北市,坪林區,2010,0.0
新北市,坪林區,2009,61.1
新北市,坪林區,2008,15.2
新北市,坪林區,2007,15.1
新北市,坪林區,2006,0.0
新北市,坪林區,2005,46.0
新北市,板橋區,2022,30.8
新北市,板橋區,2021,27.9
新北市,板橋區,2020,31.2
新北市,板橋區,2019,38.0
新北市,板橋區,2018,37.8
新北市,板橋區,2017,41.1
新北市,板橋區,2016,39.8
新北市,板橋區,2015,38.7
新北市,板橋區,2014,49.6
新北市,板橋區,2013,50.8
新北市,板橋區,2012,48.0
新北市,板橋區,2011,49.7
新北市,板橋區,2010,56.7
新北市,板橋區,2009,55.6
新北市,板橋區,2008,56.3
新北市,板橋區,2007,61.5
新北市,板橋區,2006,62.8
新北市,板橋區,2005,61.8
新北市,林口區,2022,18.2
新北市,林口區,2021,20.3
新北市,林口區,2020,25.3
新北市,林口區,2019,18.6
新北市,林口區,2018,23.1
新北市,林口區,2017,27.7
新北市,林口區,2016,19.6
新北市,林口區,2015,28.3
新北市,林口區,2014,27.1
新北市,林口區,2013,29.3
新北市,林口區,2012,32.9
新北市,林口區,2011,36.5
新北市,林口區,2010,38.4
新北市,林口區,2009,37.0
新北市,林口區,2008,35.7
新北市,林口區,2007,40.2
新北市,林口區,2006,43.0
新北市,林口區,2005,52.1
新北市,金山區,2022,9.7
新北市,金山區,2021,19.1
新北市,金山區,2020,23.5
新北市,金山區,2019,27.8
新北市,金山區,2018,27.4
新北市,金山區,2017,4.5
新北市,金山區,2016,27.0
新北市,金山區,2015,22.4
新北市,金山區,2014,35.7
新北市,金山區,2013,35.7
新北市,金山區,2012,35.6
新北市,金山區,2011,22.3
新北市,金山區,2010,31.3
新北市,金山區,2009,58.1
新北市,金山區,2008,58.4
新北市,金山區,2007,49.5
新北市,金山區,2006,72.5
新北市,金山區,2005,41.0
新北市,泰山區,2022,22.0
新北市,泰山區,2021,20.5
新北市,泰山區,2020,44.5
新北市,泰山區,2019,26.7
新北市,泰山區,2018,31.7
新北市,泰山區,2017,17.8
新北市,泰山區,2016,44.4
新北市,泰山區,2015,28.0
新北市,泰山區,2014,47.3
新北市,泰山區,2013,37.3
新北市,泰山區,2012,40.1
新北市,泰山區,2011,41.7
新北市,泰山區,2010,51.0
新北市,泰山區,2009,48.6
新北市,泰山區,2008,58.6
新北市,泰山區,2007,55.8
新北市,泰山區,2006,64.6
新北市,泰山區,2005,82.9
新北市,烏來區,2022,62.7
新北市,烏來區,2021,0.0
新北市,烏來區,2020,46.7
新北市,烏來區,2019,62.2
