縣市別,年別,死亡數,死亡率
台北市,2023,51,2
台北市,2022,45,1.8
台北市,2021,56,2.2
台北市,2020,29,1.1
台北市,2019,44,1.7
台北市,2018,50,1.9
台北市,2017,41,1.5
台北市,2016,54,2
台北市,2015,48,1.8
台北市,2014,54,2
台北市,2013,67,2.5
台北市,2012,59,2.2
台北市,2011,52,2
台北市,2010,50,1.9
台北市,2009,61,2.3
台北市,2008,69,2.6
台北市,2007,57,2.2
台北市,2006,68,2.6
台北市,2005,60,2.3
新北市,2023,62,1.5
新北市,2022,68,1.7
新北市,2021,56,1.4
新北市,2020,54,1.3
新北市,2019,84,2.1
新北市,2018,74,1.9
新北市,2017,68,1.7
新北市,2016,57,1.4
新北市,2015,63,1.6
新北市,2014,73,1.8
新北市,2013,72,1.8
新北市,2012,78,2
新北市,2011,74,1.9
新北市,2010,82,2.1
新北市,2009,89,2.3
新北市,2008,83,2.2
新北市,2007,85,2.2
新北市,2006,70,1.9
新北市,2005,83,2.2
宜蘭縣,2023,5,1.1
宜蘭縣,2022,5,1.1
宜蘭縣,2021,5,1.1
宜蘭縣,2020,6,1.3
宜蘭縣,2019,9,2
宜蘭縣,2018,10,2.2
宜蘭縣,2017,15,3.3
宜蘭縣,2016,15,3.3
宜蘭縣,2015,11,2.4
宜蘭縣,2014,12,2.6
宜蘭縣,2013,11,2.4
宜蘭縣,2012,10,2.2
宜蘭縣,2011,7,1.5
宜蘭縣,2010,11,2.4
宜蘭縣,2009,18,3.9
宜蘭縣,2008,18,3.9
宜蘭縣,2007,21,4.6
宜蘭縣,2006,21,4.6
宜蘭縣,2005,16,3.5
基隆市,2023,6,1.7
基隆市,2022,4,1.1
基隆市,2021,5,1.4
基隆市,2020,12,3.3
基隆市,2019,6,1.6
基隆市,2018,10,10.4
基隆市,2017,7,1.9
基隆市,2016,6,1.6
基隆市,2015,8,2.1
基隆市,2014,5,1.3
基隆市,2013,7,1.9
基隆市,2012,4,1.1
基隆市,2011,8,2.1
基隆市,2010,11,2.8
基隆市,2009,10,2.6
基隆市,2008,13,3.3
基隆市,2007,11,2.8
基隆市,2006,8,2
基隆市,2005,13,3.3
金門縣,2023,3,2.1
金門縣,2022,0,0
金門縣,2021,2,1.4
金門縣,2020,3,2.1
金門縣,2019,2,1.4
金門縣,2018,2,1.4
金門縣,2017,0,0
金門縣,2016,4,3
金門縣,2015,2,1.5
金門縣,2014,1,0.8
金門縣,2013,3,2.6
金門縣,2012,1,0.9
金門縣,2011,1,1
金門縣,2010,6,6.3
金門縣,2009,2,2.2
金門縣,2008,2,2.4
金門縣,2007,3,3.8
金門縣,2006,2,2.7
金門縣,2005,1,1.5
連江縣,2023,0,0
連江縣,2022,0,0
連江縣,2021,0,0
連江縣,2020,0,0
連江縣,2019,0,0
連江縣,2018,0,0
連江縣,2017,1,7.9
連江縣,2016,0,0
連江縣,2015,0,0
連江縣,2014,1,8.1
連江縣,2013,0,0
連江縣,2012,0,0
連江縣,2011,1,10
連江縣,2010,0,0
連江縣,2009,0,0
連江縣,2008,0,0
連江縣,2007,0,0
連江縣,2006,0,0
連江縣,2005,0,0
桃園市,2023,26,1.1
桃園市,2022,34,1.5
桃園市,2021,30,1.3
桃園市,2020,30,1.3
桃園市,2019,31,1.4
桃園市,2018,29,1.3
桃園市,2017,38,1.8
桃園市,2016,55,2.6
桃園市,2015,44,2.1
桃園市,2014,42,2
桃園市,2013,46,2.3
桃園市,2012,56,2.8
桃園市,2011,44,2.2
桃園市,2010,31,1.6
桃園市,2009,45,2.3
桃園市,2008,43,2.2
桃園市,2007,54,2.8
桃園市,2006,53,2.8
桃園市,2005,41,2.2
新竹縣,2023,12,2.1
新竹縣,2022,12,2.1
新竹縣,2021,6,1
新竹縣,2020,3,0.5
新竹縣,2019,20,3.6
新竹縣,2018,8,1.4
新竹縣,2017,8,1.5
新竹縣,2016,7,1.3
新竹縣,2015,17,3.1
新竹縣,2014,4,0.7
新竹縣,2013,8,1.5
新竹縣,2012,9,1.7
新竹縣,2011,9,1.7
新竹縣,2010,17,3.3
新竹縣,2009,15,3
新竹縣,2008,22,4.4
新竹縣,2007,11,2.2
新竹縣,2006,12,2.5
新竹縣,2005,22,4.7
新竹市,2023,3,0.7
新竹市,2022,8,1.8
新竹市,2021,0,0
新竹市,2020,4,0.9
新竹市,2019,6,1.3
新竹市,2018,5,1.1
新竹市,2017,2,0.5
新竹市,2016,6,1.4
新竹市,2015,2,0.5
新竹市,2014,11,2.6
新竹市,2013,11,2.6
新竹市,2012,4,0.9
新竹市,2011,10,2.4
新竹市,2010,6,1.5
新竹市,2009,10,2.4
新竹市,2008,14,3.5
新竹市,2007,10,2.5
新竹市,2006,15,3.8
新竹市,2005,8,2.1
苗栗縣,2023,8,1.5
苗栗縣,2022,7,1.3
苗栗縣,2021,7,1.3
苗栗縣,2020,11,2
苗栗縣,2019,9,1.6
苗栗縣,2018,8,1.5
苗栗縣,2017,8,1.4
苗栗縣,2016,13,2.3
苗栗縣,2015,12,2.1
苗栗縣,2014,5,0.9
苗栗縣,2013,9,1.6
苗栗縣,2012,11,2
苗栗縣,2011,7,1.2
苗栗縣,2010,12,2.1
苗栗縣,2009,15,2.7
苗栗縣,2008,15,2.7
苗栗縣,2007,16,2.9
苗栗縣,2006,27,4.8
苗栗縣,2005,38,6.8
台中市,2023,46,1.6
台中市,2022,37,1.3
台中市,2021,46,1.6
台中市,2020,37,1.3
台中市,2019,43,1.5
台中市,2018,44,1.6
台中市,2017,30,1.1
台中市,2016,41,1.5
台中市,2015,53,1.9
台中市,2014,53,2
台中市,2013,50,1.9
台中市,2012,34,1.3
台中市,2011,51,1.9
台中市,2010,72,2.7
台中市,2009,57,2.2
台中市,2008,70,2.7
台中市,2007,55,2.1
台中市,2006,71,2.8
台中市,2005,89,3.3
南投縣,2023,14,2.9
南投縣,2022,10,2.1
南投縣,2021,16,3.3
南投縣,2020,9,1.8
南投縣,2019,11,2.2
南投縣,2018,13,2.6
南投縣,2017,15,3
南投縣,2016,16,3.2
南投縣,2015,26,5.1
南投縣,2014,23,4.5
南投縣,2013,20,3.9
南投縣,2012,24,4.6
南投縣,2011,20,3.8
南投縣,2010,21,4
南投縣,2009,23,4.3
南投縣,2008,24,4.5
南投縣,2007,29,5.4
南投縣,2006,17,3.2
南投縣,2005,18,3.3
彰化縣,2023,27,2.2
彰化縣,2022,34,2.7
彰化縣,2021,32,2.5
彰化縣,2020,38,3
彰化縣,2019,48,3.8
彰化縣,2018,41,3.2
彰化縣,2017,32,2.5
彰化縣,2016,50,3.9
彰化縣,2015,48,3.7
彰化縣,2014,47,3.6
彰化縣,2013,32,2.5
彰化縣,2012,50,3.8
彰化縣,2011,51,3.9
彰化縣,2010,62,4.7
彰化縣,2009,78,5.9
彰化縣,2008,57,4.3
彰化縣,2007,73,5.6
彰化縣,2006,78,5.9
彰化縣,2005,113,8.6
雲林縣,2023,15,2.3
雲林縣,2022,22,3.3
雲林縣,2021,17,2.5
雲林縣,2020,27,4
雲林縣,2019,23,3.4
雲林縣,2018,33,4.8
雲林縣,2017,23,3.3
雲林縣,2016,24,3.4
雲林縣,2015,24,3.4
雲林縣,2014,33,4.7
雲林縣,2013,22,3.1
雲林縣,2012,40,5.6
雲林縣,2011,31,4.3
雲林縣,2010,31,4.3
雲林縣,2009,29,4
雲林縣,2008,34,4.7
雲林縣,2007,40,5.5
雲林縣,2006,39,5.3
雲林縣,2005,42,5.7
嘉義縣,2023,10,2.1
嘉義縣,2022,9,1.8
嘉義縣,2021,17,3.4
嘉義縣,2020,17,3.4
嘉義縣,2019,8,1.6
嘉義縣,2018,14,2.7
嘉義縣,2017,15,2.9
嘉義縣,2016,12,2.3
嘉義縣,2015,14,2.7
嘉義縣,2014,14,2.7
嘉義縣,2013,20,3.8
嘉義縣,2012,18,3.4
嘉義縣,2011,26,4.8
嘉義縣,2010,18,3.3
嘉義縣,2009,16,2.9
嘉義縣,2008,21,3.8
嘉義縣,2007,13,2.4
嘉義縣,2006,18,3.2
嘉義縣,2005,46,8.3
嘉義市,2023,1,0.4
嘉義市,2022,4,1.5
嘉義市,2021,0,0
嘉義市,2020,7,2.6
嘉義市,2019,4,1.5
嘉義市,2018,1,0.4
嘉義市,2017,8,3
嘉義市,2016,4,1.5
嘉義市,2015,4,1.5
嘉義市,2014,5,1.8
嘉義市,2013,7,2.6
嘉義市,2012,7,2.6
嘉義市,2011,3,1.1
嘉義市,2010,4,1.5
嘉義市,2009,12,4.4
嘉義市,2008,5,1.8
嘉義市,2007,9,3.3
嘉義市,2006,3,1.1
嘉義市,2005,6,2.2
台南市,2023,42,2.3
台南市,2022,33,1.8
台南市,2021,31,1.7
台南市,2020,40,2.1
台南市,2019,48,2.5
台南市,2018,42,2.2
台南市,2017,55,2.9
台南市,2016,48,2.5
台南市,2015,43,2.3
台南市,2014,55,2.9
台南市,2013,55,2.9
台南市,2012,33,1.8
台南市,2011,51,2.7
台南市,2010,45,2.4
台南市,2009,58,3.1
台南市,2008,51,2.7
台南市,2007,66,3.5
台南市,2006,59,3.2
台南市,2005,60,2.6
高雄市,2023,75,2.7
高雄市,2022,76,2.8
高雄市,2021,65,2.4
高雄市,2020,78,2.8
高雄市,2019,91,3.3
高雄市,2018,75,2.7
高雄市,2017,81,2.9
高雄市,2016,76,2.7
高雄市,2015,98,3.5
高雄市,2014,85,3.1
高雄市,2013,100,3.6
高雄市,2012,94,3.4
高雄市,2011,101,3.6
高雄市,2010,90,3.2
高雄市,2009,99,3.6
高雄市,2008,116,4.2
高雄市,2007,109,3.9
高雄市,2006,132,4.8
高雄市,2005,172,6.2
屏東縣,2023,26,3.3
屏東縣,2022,49,6.1
屏東縣,2021,35,4.3
屏東縣,2020,26,3.2
屏東縣,2019,40,4.9
屏東縣,2018,30,3.6
屏東縣,2017,41,4.9
屏東縣,2016,35,4.2
屏東縣,2015,30,3.6
屏東縣,2014,43,5.1
屏東縣,2013,45,5.3
屏東縣,2012,47,5.5
屏東縣,2011,54,6.2
屏東縣,2010,37,4.2
屏東縣,2009,58,6.6
屏東縣,2008,68,7.7
屏東縣,2007,73,8.2
屏東縣,2006,82,9.2
屏東縣,2005,84,9.3
澎湖縣,2023,1,0.9
澎湖縣,2022,2,1.9
澎湖縣,2021,1,0.9
澎湖縣,2020,6,5.7
澎湖縣,2019,1,1
澎湖縣,2018,1,1
澎湖縣,2017,0,0
澎湖縣,2016,1,1
澎湖縣,2015,2,2
澎湖縣,2014,1,1
澎湖縣,2013,1,1
澎湖縣,2012,3,3.1
澎湖縣,2011,1,1
澎湖縣,2010,2,2.1
澎湖縣,2009,0,0
澎湖縣,2008,1,1.1
澎湖縣,2007,2,2.2
澎湖縣,2006,2,2.2
澎湖縣,2005,1,1.1
花蓮縣,2023,14,4.4
花蓮縣,2022,12,3.7
花蓮縣,2021,10,3.1
花蓮縣,2020,15,4.6
花蓮縣,2019,12,3.7
花蓮縣,2018,12,3.7
花蓮縣,2017,11,3.3
花蓮縣,2016,16,4.8
花蓮縣,2015,14,4.2
花蓮縣,2014,17,5.1
花蓮縣,2013,13,3.9
花蓮縣,2012,23,6.8
花蓮縣,2011,19,5.6
花蓮縣,2010,26,7.6
花蓮縣,2009,28,8.2
花蓮縣,2008,24,7
花蓮縣,2007,27,7.8
花蓮縣,2006,32,9.2
花蓮縣,2005,33,9.5
台東縣,2023,5,2.4
台東縣,2022,6,2.8
台東縣,2021,5,2.3
台東縣,2020,8,3.7
台東縣,2019,6,2.8
台東縣,2018,4,1.8
台東縣,2017,12,5.5
台東縣,2016,7,3.2
台東縣,2015,8,3.6
台東縣,2014,7,3.1
台東縣,2013,10,4.4
台東縣,2012,21,9.2
台東縣,2011,17,7.4
台東縣,2010,20,8.6
台東縣,2009,25,10.8
台東縣,2008,12,5.2
台東縣,2007,19,8.1
台東縣,2006,23,9.7
台東縣,2005,24,10
全台灣,2023,452,1.9
全台灣,2022,477,2
全台灣,2021,442,1.9
全台灣,2020,460,2
全台灣,2019,546,2.3
全台灣,2018,506,2.1
全台灣,2017,511,2.2
全台灣,2016,547,2.3
全台灣,2015,571,2.4
全台灣,2014,591,2.5
全台灣,2013,609,2.6
全台灣,2012,626,2.7
全台灣,2011,638,2.8
全台灣,2010,654,2.8
全台灣,2009,748,3.2
全台灣,2008,762,3.3
全台灣,2007,783,3.4
全台灣,2006,832,3.6
全台灣,2005,970,4.3
