縣市別,鄉鎮別,年別,治療成功率
63000,士林區,2021,67.7
63000,大同區,2021,62.1
63000,大安區,2021,76.6
63000,中山區,2021,61.2
63000,中正區,2021,80
63000,內湖區,2021,63.5
63000,文山區,2021,61.3
63000,北投區,2021,63.8
63000,松山區,2021,68.6
63000,信義區,2021,53.2
63000,南港區,2021,65
63000,萬華區,2021,63.6
63000,士林區,2020,68.3
63000,大同區,2020,63.2
63000,大安區,2020,74
63000,中山區,2020,77.4
63000,中正區,2020,65
63000,內湖區,2020,68.3
63000,文山區,2020,66.7
63000,北投區,2020,75
63000,松山區,2020,64.3
63000,信義區,2020,70.8
63000,南港區,2020,66.7
63000,萬華區,2020,64.6
63000,士林區,2019,74.2
63000,大同區,2019,63.9
63000,大安區,2019,73.9
63000,中山區,2019,79.2
63000,中正區,2019,82
63000,內湖區,2019,71.9
63000,文山區,2019,69.1
63000,北投區,2019,69.6
63000,松山區,2019,69.6
63000,信義區,2019,66
63000,南港區,2019,85.2
63000,萬華區,2019,69.6
63000,士林區,2018,80
63000,大同區,2018,68.4
63000,大安區,2018,76.9
63000,中山區,2018,83.7
63000,中正區,2018,62.5
63000,內湖區,2018,70.9
63000,文山區,2018,78.3
63000,北投區,2018,65
63000,松山區,2018,83
63000,信義區,2018,79.6
63000,南港區,2018,67.5
63000,萬華區,2018,77.3
63000,士林區,2017,74
63000,大同區,2017,83.3
63000,大安區,2017,68.6
63000,中山區,2017,72.3
63000,中正區,2017,72.3
63000,內湖區,2017,75.8
63000,文山區,2017,71.8
63000,北投區,2017,72.4
63000,松山區,2017,69.5
63000,信義區,2017,80.3
63000,南港區,2017,73.2
63000,萬華區,2017,70.9
63000,士林區,2016,62.9
63000,大同區,2016,85.7
63000,大安區,2016,58.2
63000,中山區,2016,76.4
63000,中正區,2016,66.1
63000,內湖區,2016,76.8
63000,文山區,2016,71.8
63000,北投區,2016,72
63000,松山區,2016,68
63000,信義區,2016,71.1
63000,南港區,2016,71.9
63000,萬華區,2016,75
63000,士林區,2015,84.9
63000,大同區,2015,72.3
63000,大安區,2015,64.9
63000,中山區,2015,63.2
63000,中正區,2015,69.8
63000,內湖區,2015,73.6
63000,文山區,2015,68.4
63000,北投區,2015,62
63000,松山區,2015,65.9
63000,信義區,2015,71
63000,南港區,2015,74.4
63000,萬華區,2015,76.5
63000,士林區,2014,61.9
63000,大同區,2014,79.2
63000,大安區,2014,67.2
