縣市,醫療院所名稱,醫事機構代碼,地址
臺北市,臺北市立聯合醫院,0101090517,臺北市大同區鄭州路145號
臺北市,國立臺灣大學醫學院附設醫院癌醫中心分院,0401020013,臺北市大安區基隆路3段155巷57號
臺北市,國立臺灣大學醫學院附設醫院,0401180014,臺北市中正區中山南路7、8號；常德街1號
臺北市,國立臺灣大學醫學院附設醫院兒童醫院,0401180023,臺北市中正區中山南路8號
臺北市,國立臺灣大學醫學院附設醫院北護分院,0401190010,臺北市萬華區康定路37號、臺北市萬華區內江街87號
臺北市,三軍總醫院松山分院附設民眾診療服務處,0501010019,臺北市松山區健康路131號
臺北市,三軍總醫院附設民眾診療服務處,0501110514,臺北市內湖區成功路2段325號
臺北市,臺北榮民總醫院,0601160016,臺北市北投區石牌路2段201號
臺北市,臺北市立關渡醫院-委託臺北榮民總醫院經營,0701160518,臺北市北投區知行路225巷12號
臺北市,西園醫療社團法人西園醫院,0901190010,臺北市萬華區西園路2段266～274號、185、187號
臺北市,長庚醫療財團法人台北長庚紀念醫院,1101010012,臺北市松山區敦化北路199號
臺北市,基督復臨安息日會醫療財團法人臺安醫院,1101010021,臺北市松山區八德路2段424、426號
臺北市,國泰醫療財團法人國泰綜合醫院,1101020018,臺北市大安區仁愛路4段280號，266巷6號
臺北市,宏恩醫療財團法人宏恩綜合醫院,1101020036,臺北市大安區仁愛路4段71巷1號及4段61號、91巷16號
臺北市,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,1101100011,臺北市中山區中山北路2段92號
臺北市,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,1101100020,臺北市中山區中山北路2段92號
臺北市,新光醫療財團法人新光吳火獅紀念醫院,1101150011,臺北市士林區文昌路95號及士商路51號1至7樓53、55號
臺北市,振興醫療財團法人振興醫院,1101160017,臺北市北投區振興街45號
臺北市,中國醫藥大學附設醫院臺北分院,1301110511,臺北市內湖區內湖路2段360號
臺北市,臺北醫學大學附設醫院,1301170017,臺北市信義區吳興街252號、250號
臺北市,臺北市立萬芳醫院-委託臺北醫學大學辦理,1301200010,臺北市文山區興隆路3段111號
臺北市,中華民國防癆協會第一胸腔病防治所,3501093057,臺北市大同區民權西路104號2樓
臺北市,郵政醫院(委託中英醫療社團法人經營),0901180023,臺北市中正區福州街14號
臺北市,財團法人台灣省私立台北仁濟院附設仁濟醫院,1401190011,臺北市萬華區廣州街200、243號
臺北市,中山醫療社團法人中山醫院,0901020013,臺北市大安區仁愛路4段112巷11號
新北市,新北市立聯合醫院,0131020016,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號
新北市,衛生福利部樂生療養院,0131060010,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號
新北市,衛生福利部臺北醫院,0131060029,新北市新莊區思源路127號、新北巿新莊區長青街6號2樓、3樓
新北市,國立臺灣大學醫學院附設醫院金山分院,0431270012,新北市金山區五湖里玉爐路7號
新北市,永聖醫療社團法人文化醫院,0931090014,新北市三峽區介壽路1段199號
新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,1131010011,新北市板橋區南雅南路2段21號及高爾富路300號
新北市,佛教慈濟醫療財團法人台北慈濟醫院,1131050515,新北市新店區建國路289號
新北市,行天宮醫療志業醫療財團法人恩主公醫院,1131090019,新北市三峽區復興路399號、中山路198、258號
新北市,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,1131100010,新北市淡水區民生路45號、民權路47號B1至10樓
新北市,國泰醫療財團法人汐止國泰綜合醫院,1131110516,新北市汐止區建成路59巷2號地下4樓至地上12樓
新北市,新北市立土城醫院(委託長庚醫療財團法人興建經營),1131130018,新北市土城區金城路2段6號
新北市,天主教耕莘醫療財團法人永和耕莘醫院,1231030015,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓
新北市,天主教耕莘醫療財團法人耕莘醫院,1231050017,新北市新店區中正路362號、車子路15號
新北市,衛生福利部雙和醫院(委託臺北醫學大學興建經營),1331040513,新北市中和區中正路291號
新北市,輔仁大學學校財團法人輔仁大學附設醫院,1331160010,新北市泰山區貴子路69號（地下4層、地上1至13層、15層）
新北市,蕭中正醫院,1531010108,新北市板橋區南雅南路1段15－1，17，19號
新北市,中祥醫院,1531040259,新北市中和區中山路2段138號2－4樓140號及142號
新北市,怡和醫院,1531041390,新北市中和區連城路49號1至4樓
新北市,豐榮醫院,1531051163,新北市新店區安德街26巷3號B棟
新北市,新泰綜合醫院,1531061249,新北市新莊區新樹路176號
新北市,清福醫院,1531091149,新北市三峽區介壽路1段286號2樓
新北市,仁安醫院,1531130105,新北市土城區中央路1段62．64號
新北市,翰生診所,3531012695,新北市板橋區漢生西路73號、75號（1樓）
新北市,嘉齊診所,3531054399,新北市新店區北新路1段56號1樓
新北市,宇康診所,3531066915,新北市新莊區富國路184號1樓
新北市,土城中央診所,3531133644,新北市土城區中央路2段219號1樓
新北市,明揚診所,3531170174,新北市林口區中山路192號 1、2樓
新北市,祥顥醫院,1531061258,新北市新莊區思源路2號1、4、5、6樓
新北市,新北市板橋區衛生所,2331010016,新北市板橋區英士路192號
新北市,新北市三重區衛生所,2331020012,新北市三重區新北大道1段1號
新北市,新北市永和區衛生所,2331030018,新北市永和區秀朗路1段137號1、2、3樓
新北市,新北市中和區衛生所,2331040014,新北市中和區南山路4巷3號
新北市,新北市新店區衛生所,2331050010,新北市新店區北新路1段86號12樓
新北市,新北市新莊區衛生所,2331060016,新北市新莊區中華路1段2號1至4樓
新北市,新北市樹林區衛生所,2331070012,新北市樹林區樹新路40－7號1、2樓
新北市,新北市鶯歌區衛生所,2331080018,新北市鶯歌區文化路389號
新北市,新北市三峽區衛生所,2331090014,新北市三峽區光明路71號3樓
新北市,新北市淡水區衛生所,2331100015,新北市淡水區中山路158號
新北市,新北市汐止區衛生所,2331110011,新北市汐止區新台五路1段266號地下1樓．地上1至4樓
新北市,新北市瑞芳區衛生所,2331120017,新北市瑞芳區明燈路3段1號
新北市,新北市土城區衛生所,2331130013,新北市土城區和平路26號1、2樓
新北市,新北市蘆洲區衛生所,2331140019,新北市蘆洲區中央路58號
新北市,新北市五股區衛生所,2331150015,新北市五股區新城三路11號1樓、2樓及3樓
新北市,新北市泰山區衛生所,2331160011,新北市泰山區全興路212號3樓
新北市,新北市林口區衛生所,2331170017,新北市林口區忠孝二路55號
新北市,新北市深坑區衛生所,2331180013,新北市深坑區深坑街165號1－3樓
新北市,新北市石碇區衛生所,2331190019,新北市石碇區潭邊里碇坪路1段82號
新北市,新北市坪林區衛生所,2331200010,新北市坪林區坪林街104號
新北市,新北市三芝區衛生所,2331210016,新北市三芝區中山路1段12號
新北市,新北市石門區衛生所,2331220012,新北市石門區中山路28－1號
新北市,新北市八里區衛生所,2331230018,新北市八里區舊城路16號
新北市,新北市平溪區衛生所,2331240014,新北市平溪區公園街17號1樓
新北市,新北市雙溪區衛生所,2331250010,新北市雙溪區新基南街18號
新北市,新北市貢寮區衛生所,2331260016,新北市貢寮區仁愛路128號
新北市,新北市金山區衛生所,2331270012,新北市金山區民生路59號
新北市,新北市萬里區衛生所,2331280018,新北市萬里區瑪鍊路157號1－3樓及地下1樓
新北市,新北市烏來區衛生所,2331290014,新北市烏來區新烏路5段109號
基隆市,衛生福利部基隆醫院,0111070010,基隆市信義區信二路268號
基隆市,長庚醫療財團法人基隆長庚紀念醫院,1111060015,基隆市安樂區麥金路222號、基隆市麥金路201號
基隆市,醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院,1411030013,基隆市暖暖區源遠路29號
基隆市,林承興診所,3511010524,基隆市中正區北寧路319號
基隆市,三軍總醫院基隆分院附設民眾診療服務處,0511040010,基隆市中正區正榮街100號，仁愛區孝二路39號2樓
基隆市,基隆市立慢性病防治所,2211070014,基隆市信義區信二路266號
基隆市,基隆市中正區衛生所,2311010010,基隆市中正區中正路236號2樓
基隆市,基隆市七堵區衛生所,2311020016,基隆市七堵區光明路21號1樓之1、2樓
基隆市,基隆市暖暖區衛生所,2311030012,基隆市暖暖區暖暖街281巷98號
基隆市,基隆市仁愛區衛生所,2311040018,基隆市仁愛區光一路26號
基隆市,基隆市中山區衛生所,2311050014,基隆市中山區中山二路15號
基隆市,基隆市安樂區衛生所,2311060010,基隆市安樂區安樂路2段164號1樓前棟
基隆市,基隆市信義區衛生所,2311070016,基隆市信義區信一路69號
宜蘭縣,國立陽明交通大學附設醫院,0434010518,宜蘭縣宜蘭市校舍路169號、新民路152號
宜蘭縣,臺北榮民總醫院蘇澳分院,0634030014,宜蘭縣蘇澳鎮蘇濱路1段301號、中山路1段439號
宜蘭縣,臺北榮民總醫院員山分院,0634070018,宜蘭縣員山鄉榮光路386號、宜蘭縣宜蘭市林森路1號
宜蘭縣,醫療財團法人羅許基金會羅東博愛醫院,1134020019,宜蘭縣羅東鎮南昌街81、83號及站前南路61、63號
宜蘭縣,天主教靈醫會醫療財團法人羅東聖母醫院,1134020028,宜蘭縣羅東鎮中正南路160號
宜蘭縣,天主教靈醫會醫療財團法人礁溪杏和醫院,1134050026,宜蘭縣礁溪鄉礁溪路4段129號
宜蘭縣,開蘭安心診所,3534012062,宜蘭縣宜蘭市神農路1段93號1－3樓及95、97、99號1樓
宜蘭縣,宜蘭縣宜蘭市衛生所,2334010018,宜蘭縣宜蘭市健康路2段2－2號1樓
宜蘭縣,宜蘭縣羅東鎮衛生所,2334020014,宜蘭縣羅東鎮民生路79號
宜蘭縣,宜蘭縣蘇澳鎮衛生所,2334030010,宜蘭縣蘇澳鎮志成路60號
宜蘭縣,宜蘭縣頭城鎮衛生所,2334040016,宜蘭縣頭城鎮吉祥路15號
宜蘭縣,宜蘭縣礁溪鄉衛生所,2334050012,宜蘭縣礁溪鄉礁溪路4段126號
宜蘭縣,宜蘭縣壯圍鄉衛生所,2334060018,宜蘭縣壯圍鄉中央路2段290號
宜蘭縣,宜蘭縣員山鄉衛生所,2334070014,宜蘭縣員山鄉復興路2號
宜蘭縣,宜蘭縣冬山鄉衛生所,2334081026,宜蘭縣冬山鄉中正路16號
宜蘭縣,宜蘭縣五結鄉衛生所,2334090016,宜蘭縣五結鄉五結路2段337號
宜蘭縣,宜蘭縣三星鄉衛生所,2334100017,宜蘭縣三星鄉三星路5段70號
宜蘭縣,宜蘭縣大同鄉衛生所,2334110013,宜蘭縣大同鄉崙埤村朝陽40號
宜蘭縣,宜蘭縣南澳鄉衛生所,2334120019,宜蘭縣南澳鄉蘇花路2段375號
金門縣,衛生福利部金門醫院,0190030516,金門縣金湖鎮復興路2號、烈嶼鄉上林村后井37號（烈嶼院區）
金門縣,金門縣金城鎮衛生所,2390010010,金門縣金城鎮民權路147號
金門縣,金門縣金沙鎮衛生所,2390020016,金門縣金沙鎮汶沙里后浦頭120號
金門縣,金門縣金湖鎮衛生所,2390030030,金門縣金湖鎮新湖里市港6路15號
金門縣,金門縣金寧鄉衛生所,2390040518,金門縣金寧鄉盤山村仁愛新屯2之1號
金門縣,金門縣烈嶼鄉衛生所,2390050032,金門縣烈嶼鄉西口村西方6－5號
連江縣,連江縣立醫院,0291010010,連江縣南竿鄉復興村217號
連江縣,連江縣北竿鄉衛生所,2391020010,連江縣北竿鄉塘岐村281－6號
連江縣,連江縣莒光鄉西莒衛生所,2391030016,連江縣莒光鄉青帆村14－1號
連江縣,連江縣莒光鄉東莒衛生所,2391030026,連江縣莒光鄉大坪村30－1號
連江縣,連江縣東引鄉衛生所,2391040012,連江縣東引鄉中柳村123號
桃園市,衛生福利部桃園醫院,0132010014,桃園市桃園區中山路1492號
桃園市,衛生福利部桃園醫院新屋分院,0132110519,桃園市新屋區新屋村14鄰新福二路6號
桃園市,國軍桃園總醫院,0532090029,桃園市龍潭區中興里中興路168號
桃園市,臺北榮民總醫院桃園分院,0632010014,桃園市桃園區成功路三段100號
桃園市,天成醫療社團法人天晟醫院,0932020025,桃園市中壢區延平路155號
桃園市,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,1132010024,桃園市桃園區建新街123號
桃園市,長庚醫療財團法人林口長庚紀念醫院,1132070011,桃園市龜山區公西里復興街5號、5之7號及文化一路15號
桃園市,長庚醫療財團法人桃園長庚紀念醫院,1132071036,桃園市龜山區頂湖路123號、123之1號
桃園市,聯新國際醫院桃新分院,1532010120,桃園市桃園區復興路195號；桃園市南海街7號
桃園市,敏盛綜合醫院,1532011154,桃園市桃園區經國路168號、三民路三段106號
桃園市,仁祥醫院,1532021310,桃園市中壢區中美路13.15.17號1-6樓
桃園市,中壢長榮醫院,1532021338,桃園市中壢區環中東路150號
桃園市,華揚醫院,1532021365,桃園市中壢區中北路二段316號
桃園市,天成醫院,1532040039,桃園市楊梅區新成路196號、中山北路一段356號
桃園市,怡仁綜合醫院,1532040066,桃園市楊梅區楊新北路321巷30號
桃園市,龍潭敏盛醫院,1532091081,桃園市龍潭區中豐路168號
桃園市,聯新國際醫院,1532100049,桃園市平鎮區廣泰路77號、延平路二段430巷115號
桃園市,豐田診所,3532082780,桃園市八德區豐田二路56號
桃園市,桃園市桃園區衛生所,2332010010,桃園市桃園區國豐三街123號4樓
桃園市,桃園市中壢區衛生所,2332020016,桃園市中壢區溪洲街296號1、2樓
桃園市,桃園市大溪區衛生所,2332030012,桃園市大溪區仁愛路1號
桃園市,桃園市楊梅區衛生所,2332040018,桃園市楊梅區校前路409號1、2樓
桃園市,桃園市蘆竹區衛生所,2332050014,桃園市蘆竹區長安路二段238號
桃園市,桃園市大園區衛生所,2332060010,桃園市大園區田心里中正西路19號
桃園市,桃園市龜山區衛生所,2332070016,桃園市龜山區自強南路103號
桃園市,桃園市八德區衛生所,2332080012,桃園市八德區大華里介壽路二段361巷28號
桃園市,桃園市龍潭區衛生所,2332090018,桃園市龍潭區中正路210號1至2樓
桃園市,桃園市平鎮區衛生所,2332100019,桃園市平鎮區振興路1號
桃園市,桃園市新屋區衛生所,2332110015,桃園市新屋區新屋里中山路239號
桃園市,桃園市觀音區衛生所,2332120011,桃園市觀音區觀新路58號
桃園市,桃園市復興區衛生所,2332130017,桃園市復興區澤仁里中正路25號
新竹市,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,0412040012,新竹市北區金華里經國路一段442巷25號
新竹市,國軍桃園總醫院新竹分院,0512040014,新竹市北區武陵路3號
新竹市,臺灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,1112010519,新竹市東區光復路二段690號
新竹市,國泰醫療財團法人新竹國泰綜合醫院,1112010528,新竹市東區福德里中華路二段678號及678號之1
新竹市,"新竹市立馬偕兒童醫院
(委託台灣基督長老教會馬偕醫療財團法人興建經營)",1112010537,新竹市東區建功里建功二路28號
新竹市,財團法人台灣省私立桃園仁愛之家附設新竹新生醫院,1412040022,新竹市北區興南里西門街120號
新竹縣,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,0433050018,新竹縣竹北市生醫路一段2號
新竹縣,臺北榮民總醫院新竹分院,0633030010,新竹縣竹東鎮中豐路1段81號
新竹縣,東元醫療社團法人東元綜合醫院,0933050018,新竹縣竹北市縣政二路69號
新竹縣,天主教仁慈醫療財團法人仁慈醫院,1133060019,新竹縣湖口鄉孝勢村忠孝路29號
新竹縣,中國醫藥大學新竹附設醫院,1333050017,新竹縣竹北市興隆路一段199號
新竹縣,竹信醫院,1533030046,新竹縣竹東鎮仁愛路196號
新竹縣,大安醫院,1533051063,新竹縣竹北市博愛街318巷6號
新竹縣,新仁醫院,1533051072,新竹縣竹北市博愛街331號
新竹縣,新竹縣關西鎮衛生所,2333010014,新竹縣關西鎮中山路207號
新竹縣,新竹縣新埔鎮衛生所,2333020010,新竹縣新埔鎮田新里福德街535號
新竹縣,新竹縣竹東鎮衛生所,2333030016,新竹縣竹東鎮中正路221號
新竹縣,新竹縣竹北市衛生所,2333050018,新竹縣竹北市光明二街89號
新竹縣,新竹縣湖口鄉衛生所,2333060014,新竹縣湖口鄉達生路506號
新竹縣,新竹縣橫山鄉衛生所,2333070010,新竹縣橫山鄉大肚村3鄰新興街141巷10號
新竹縣,新竹縣新豐鄉衛生所,2333080016,新竹縣新豐鄉重興村萃豐路21號
新竹縣,新竹縣芎林鄉衛生所,2333090012,新竹縣芎林鄉文山路532號
新竹縣,新竹縣寶山鄉衛生所,2333100013,新竹縣寶山鄉雙溪村7鄰雙園路二段273號
新竹縣,新竹縣北埔鄉衛生所,2333110019,新竹縣北埔鄉北埔街90號
新竹縣,新竹縣峨眉鄉衛生所,2333120015,新竹縣峨眉鄉峨眉村峨眉街2鄰5號
新竹縣,新竹縣尖石鄉衛生所,2333130011,新竹縣尖石鄉嘉樂村2鄰61號
新竹縣,新竹縣五峰鄉衛生所,2333140017,新竹縣五峰鄉大隘村六鄰99號
苗栗縣,衛生福利部苗栗醫院,0135010016,苗栗縣苗栗市為公路747號
苗栗縣,梓榮醫療社團法人弘大醫院,0935010012,苗栗縣苗栗市新東街125號
苗栗縣,李綜合醫療社團法人苑裡李綜合醫院,0935020027,苗栗縣苑裡鎮和平路168號、苗栗縣苑裡鎮中華路137號
苗栗縣,為恭醫療財團法人為恭紀念醫院,1135050020,苗栗縣頭份市信義路128號
苗栗縣,協和醫院,1535010024,苗栗縣苗栗市中正路1367號
苗栗縣,大千綜合醫院,1535010051,苗栗縣苗栗市大同路133號、信義路23號、恭敬路36號、信義街36號
苗栗縣,通霄光田醫院,1535031041,苗栗縣通霄鎮中山路88號
苗栗縣,大順醫院,1535081078,苗栗縣大湖鄉明湖村13鄰中山路71號
苗栗縣,天恩診所,3535012011,苗栗縣苗栗市中正路39號1樓及41號1－2樓
苗栗縣,活力診所,3535041718,苗栗縣竹南鎮功明街212號1樓
苗栗縣,竹南診所,3535041745,苗栗縣竹南鎮光復路272號
苗栗縣,祥安診所,3535050146,苗栗縣頭份市中華路928、930號1樓
苗栗縣,後龍診所,3535061434,苗栗縣後龍鎮中山路121號1－3樓及123號1－4樓
苗栗縣,公館診所,3535091245,苗栗縣公館鄉館東村5鄰安東街8號
苗栗縣,竹南診所,3535041745,苗栗縣竹南鎮光復路272號
苗栗縣,崇仁診所,3535051947,苗栗縣頭份市東興路110號
苗栗縣,苗栗縣苗栗市衛生所,2335010012,苗栗縣苗栗市建民街28號
苗栗縣,苗栗縣苑裡鎮衛生所,2335020018,苗栗縣苑裡鎮客庄里公民街16號
苗栗縣,苗栗縣通霄鎮衛生所,2335030014,苗栗縣通霄鎮通東里23鄰中正路16－2號1－3樓
苗栗縣,苗栗縣竹南鎮衛生所,2335040010,苗栗縣竹南鎮大營路209號
苗栗縣,苗栗縣頭份市衛生所,2335050016,苗栗縣頭份市顯會路72號
苗栗縣,苗栗縣後龍鎮衛生所,2335060012,苗栗縣後龍鎮大庄里21鄰光華路375號1樓
苗栗縣,苗栗縣卓蘭鎮衛生所,2335070018,苗栗縣卓蘭鎮老庄里中正路142號
苗栗縣,苗栗縣大湖鄉衛生所,2335080014,苗栗縣大湖鄉明湖村中原路87號
苗栗縣,苗栗縣公館鄉衛生所,2335090010,苗栗縣公館鄉館中村大同路75號
苗栗縣,苗栗縣銅鑼鄉衛生所,2335100011,苗栗縣銅鑼鄉銅鑼村新興路81號
苗栗縣,苗栗縣南庄鄉衛生所,2335110017,苗栗縣南庄鄉東村大同路17號
苗栗縣,苗栗縣頭屋鄉衛生所,2335120013,苗栗縣頭屋鄉頭屋村中山街56巷54號
苗栗縣,苗栗縣三義鄉衛生所,2335130019,苗栗縣三義鄉復興路45號
苗栗縣,苗栗縣西湖鄉衛生所,2335140015,苗栗縣西湖鄉龍洞村1鄰16號
苗栗縣,苗栗縣造橋鄉衛生所,2335150011,苗栗縣造橋鄉造橋村14鄰8－2號
苗栗縣,苗栗縣三灣鄉衛生所,2335160017,苗栗縣三灣鄉三灣村親民路17號
苗栗縣,苗栗縣獅潭鄉衛生所,2335170013,苗栗縣獅潭鄉新店村130之6號
苗栗縣,苗栗縣泰安鄉衛生所,2335180019,苗栗縣泰安鄉清安村2鄰72號
臺中市,衛生福利部臺中醫院,0117030010,臺中市西區三民路一段199號
臺中市,衛生福利部豐原醫院,0136010010,臺中市豐原區安康路100號
臺中市,國軍臺中總醫院中清分院附設民眾診療服務處,0517050010,臺中市北區忠明路500號
臺中市,國軍臺中總醫院附設民眾診療服務處,0536190011,臺中市太平區中山路2段348號
臺中市,臺中榮民總醫院,0617060018,臺中市西屯區臺灣大道4段 1650號
臺中市,法務部矯正署臺中監獄附設培德醫院,0717070516,臺中市南屯區培德路九號
臺中市,林新醫療社團法人林新醫院,0917070029,臺中市南屯區惠中路3段36號
臺中市,李綜合醫療社團法人大甲李綜合醫院,0936030018,臺中市大甲區八德街2號
臺中市,光田醫療社團法人光田綜合醫院,0936050029,臺中市沙鹿區沙田路117號
臺中市,童綜合醫療社團法人童綜合醫院,0936060016,臺中市梧棲區臺灣大道八段699號
臺中市,仁愛醫療財團法人台中仁愛醫院,1117010019,臺中市中區柳岸里柳川東路三段36號
臺中市,佛教慈濟醫療財團法人台中慈濟醫院,1136090519,臺中市潭子區豐興路1段66、88號
臺中市,仁愛醫療財團法人大里仁愛醫院,1136200015,臺中市大里區東榮路483號
臺中市,亞洲大學附屬醫院,1303180011,臺中市霧峰區福新路222號
臺中市,中國醫藥大學兒童醫院,1303260014,臺中市北區育德路1號、學士路95號、學士路2號
臺中市,中山醫學大學附設醫院,1317040011,臺中市南區建國北路一段110號
臺中市,中山醫學大學附設醫院中興分院,1317040039,臺中市南區復興路2段11號
臺中市,中國醫藥大學附設醫院,1317050017,臺中市北區育德路2號
臺中市,東勢區農會附設農民醫院,1436020013,臺中市東勢區南平里豐勢路297號
臺中市,澄清綜合醫院,1517011112,臺中市中區平等街139號
臺中市,澄清綜合醫院中港分院,1517061032,臺中市西屯區臺灣大道4段966號
臺中市,聯安醫院,1517080019,臺中市北屯區東光里東山路一段37號
臺中市,清泉醫院,1536100081,臺中市大雅區三和里雅潭路四段80號
臺中市,賢德醫院,1536190076,臺中市太平區宜昌路420號
臺中市,新太平澄清醫院,1503190039,臺中市太平區中興路100號
臺中市,長安醫院,1503190020,臺中市太平區永平路1段9號
臺中市,林新醫療社團法人烏日林新醫院,0903150014,臺中市烏日區榮和路168號
臺中市,元和診所,3503020089,臺中市東勢區豐勢路318號1樓
臺中市,臺安醫院雙十分院,1503260018,臺中市北區雙十路二段29號
臺中市,明德醫院,1536060037,臺中市梧棲區中正里仁美街33巷50號
臺中市,臺中市梨山衛生所,2336210034,臺中市和平區中正路12號1樓、68號1樓
臺中市,臺中市中西區衛生所,2303240013,臺中市西區民權路105號
臺中市,臺中市東區衛生所,2317020010,臺中市東區信義街142號
臺中市,臺中市南區衛生所,2317040012,臺中市南區工學路72號2樓
臺中市,臺中市北區衛生所,2317050018,臺中市北區永興街301號4樓
臺中市,臺中市西屯區衛生所,2317060014,臺中市西屯區西安里西屯路二段299號
臺中市,臺中市南屯區衛生所,2317070010,臺中市南屯區向心南路811號1樓
臺中市,臺中市北屯區軍功衛生所,2317080016,臺中市北屯區軍功路二段16號
臺中市,臺中市北屯區四民衛生所,2317081022,臺中市北屯區后庄路1062號
臺中市,臺中市豐原區衛生所,2336010016,臺中市豐原區西勢里中興路136號
臺中市,臺中市東勢區衛生所,2336020012,臺中市東勢區中寧里豐勢路490號
臺中市,臺中市大甲區衛生所,2336030018,臺中市大甲區德興路81號
臺中市,臺中市清水區衛生所,2336040014,臺中市清水區中山路92號1、2、3樓
臺中市,臺中市梧棲區衛生所,2336060016,臺中市梧棲區雲集街70巷3號
臺中市,臺中市后里區衛生所,2336070012,臺中市后里區墩西里公安路86號
臺中市,臺中市神岡區衛生所,2336080018,臺中市神岡區神岡里神岡路2號
臺中市,臺中市潭子區衛生所,2336090014,臺中市潭子區中山路2段241巷5號
臺中市,臺中市大雅區衛生所,2336100015,臺中市大雅區中清東路232號
臺中市,臺中市新社區衛生所,2336110011,臺中市新社區新社里興社街4段1號
臺中市,臺中市石岡區衛生所,2336120017,臺中市石岡區石岡街6號
臺中市,臺中市外埔區衛生所,2336130013,臺中市外埔區甲后路三段1062號
臺中市,臺中市大安區衛生所,2336140019,臺中市大安區中山南路333號
臺中市,臺中市烏日區衛生所,2336150015,臺中市烏日區烏日里長樂街136號
臺中市,臺中市大肚區衛生所,2336160011,臺中市大肚區頂街里榮華街1號
臺中市,臺中市龍井區衛生所,2336170017,臺中市龍井區沙田路四段243號
臺中市,臺中市霧峰區衛生所,2336180013,臺中市霧峰區本堂里民生路1－9號
臺中市,臺中市太平區衛生所,2336190019,臺中市太平區中山路1段213之1號
臺中市,臺中市大里區衛生所,2336200010,臺中市大里區大衛路82號
臺中市,臺中市和平區衛生所,2336210025,臺中市和平區南勢里東關路3段132號
臺中市,臺中市沙鹿區衛生所,2336050010,臺中市沙鹿區洛泉里文昌街20號
南投縣,衛生福利部南投醫院,0138010027,南投縣南投市康壽里復興路478號
南投縣,臺中榮民總醫院埔里分院,0638020014,南投縣埔里鎮蜈蚣里榮光路1號
南投縣,佑民醫療社團法人佑民醫院,0938030016,南投縣草屯鎮太平路一段200號
南投縣,竹山秀傳醫療社團法人竹山秀傳醫院,0938040012,南投縣竹山鎮集山路2段75號
南投縣,彰化基督教醫療財團法人南投基督教醫院,1138010019,南投縣南投市中興路870號
南投縣,埔基醫療財團法人埔里基督教醫院,1138020015,南投縣埔里鎮愛蘭里鐵山路1號
