Date,County,Town,Village,VillageID,VillageLon,VillageLat,BI,BILv,HI,HILv,CI,CILv,LI,LILv,AI,Con100HH
2024/06/01,台南市,北區,文成里,6703400-041,120.196746846681,23.0075063224354,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/01,台南市,新市區,永就里,6702000-011,120.30292859393,23.0636578365007,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/01,台南市,仁德區,太子里,6702700-001,120.260793760596,22.9909817583366,10.000,3,2.000,1,25.000,6,120.000,5,0.0000,10.00
2024/06/01,台南市,新營區,民生里,6700100-014,120.307125779833,23.3061195562283,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/01,台南市,安平區,億載里,6703600-012,120.159997007541,22.9909919737947,4.000,1,4.000,2,40.000,8,60.000,4,0.0000,4.00
2024/06/01,台南市,安平區,華平里,6703600-007,120.173520502393,22.9943071272892,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/01,台南市,安平區,華平里,6703600-007,120.173520502393,22.9943071272892,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/02,台南市,善化區,None,None,None,None,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/02,台南市,善化區,None,None,None,None,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/02,台南市,北區,None,None,None,None,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/02,台南市,龍崎區,崎頂里,6703000-001,120.383079419765,22.9686315751322,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/02,台南市,歸仁區,南興里,6702800-018,120.277679110783,22.9698693529707,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/02,台南市,中西區,光賢里,6703700-025,120.18898415528,23.0041169618932,2.000,1,2.000,1,12.500,4,10.000,2,0.0000,2.00
2024/06/02,台南市,北區,中樓里,6703400-032,120.216607455012,23.0035862487795,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,永康區,崑山里,6703100-016,120.255065774438,23.0012531167108,2.666,1,2.666,1,5.555,3,26.666,3,0.0000,2.66
2024/06/03,台南市,鹽水區,岸內里,6700200-011,120.268346441923,23.3308702812069,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,東區,自強里,6703200-013,120.232800819737,22.9823636764871,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安南區,溪頂里,6703500-039,120.207979981048,23.0256345441138,2.000,1,2.000,1,7.692,3,20.000,3,0.0000,2.00
2024/06/03,台南市,安南區,溪墘里,6703500-040,120.192613779782,23.0245587357256,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,永康區,西灣里,6703100-014,120.260197955036,23.0112690555621,2.000,1,2.000,1,10.000,4,40.000,4,0.0000,2.00
2024/06/03,台南市,中西區,None,None,None,None,2.000,1,2.000,1,7.142,3,40.000,4,0.0000,2.00
2024/06/03,台南市,北區,None,None,None,None,4.000,1,4.000,2,22.222,6,110.000,5,0.0000,4.00
2024/06/03,台南市,北區,None,None,None,None,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,仁德區,仁義里,6702700-005,120.260465402353,22.9675514427643,4.000,1,4.000,2,8.000,3,60.000,4,0.0000,4.00
2024/06/03,台南市,仁德區,仁義里,6702700-005,120.260465402353,22.9675514427643,4.000,1,4.000,2,8.000,3,60.000,4,0.0000,4.00
