Date,County,Town,Village,VillageID,VillageLon,VillageLat,BI,BILv,HI,HILv,CI,CILv,LI,LILv,AI,Con100HH
2023/07/01,高雄市,橋頭區,甲北里,6402000-011,120.296653393912,22.7409451008197,22.388,4,12.686,3,38.461,8,311.194,6,0.0000,22.38
2023/07/01,高雄市,三民區,安生里,6400500-055,120.311403954237,22.6469513158604,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2023/07/01,高雄市,仁武區,赤山里,6401700-015,120.347043251423,22.6764640516259,15.447,3,11.382,3,32.758,8,155.284,5,0.0162,15.44
2023/07/02,高雄市,仁武區,八卦里,6401700-009,120.336912597055,22.6852855841335,4.000,1,2.000,1,6.451,3,20.000,3,0.0000,4.00
2023/07/02,高雄市,三民區,德西里,6400500-079,120.288881964866,22.6454727552808,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2023/07/02,高雄市,鳳山區,老爺里,6401200-017,120.345662334792,22.6072793067485,19.642,4,15.178,3,20.952,6,224.107,5,0.0000,19.64
2023/07/03,高雄市,鳳山區,鎮北里,6401200-009,120.371069257909,22.6414368421992,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2023/07/03,高雄市,前鎮區,良和里,6400900-032,120.310140646329,22.6060140973212,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2023/07/03,高雄市,三民區,十全里,6400500-063,120.29356926461,22.6440138177109,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2023/07/03,高雄市,左營區,新下里,6400300-039,120.299510729206,22.6711867566794,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2023/07/03,高雄市,楠梓區,加昌里,6400400-033,120.297198757136,22.7189554068796,2.000,1,2.000,1,6.666,3,40.000,4,0.0000,2.00
2023/07/03,高雄市,前鎮區,瑞南里,6400900-047,120.324202027174,22.5994662301704,2.000,1,2.000,1,10.000,4,14.000,3,0.0000,2.00
2023/07/03,高雄市,仁武區,赤山里,6401700-015,120.347043251423,22.6764640516259,13.600,3,8.000,3,23.943,6,120.000,5,0.0000,13.60
2023/07/03,高雄市,左營區,新中里,6400300-041,120.309405770329,22.6700290376611,4.000,1,4.000,2,9.523,4,10.000,2,0.0000,4.00
2023/07/03,高雄市,鳳山區,新甲里,6401200-025,120.343096832934,22.6075722637709,12.582,3,11.920,3,29.230,7,239.072,5,0.0000,12.58
2023/07/04,高雄市,仁武區,仁和里,6401700-014,120.354038721816,22.6779568117654,2.000,1,2.000,1,4.347,2,8.000,2,0.0000,2.00
