縣市,鄉鎮市區,機構類別,醫事機構代碼,合約醫療院所名稱,接種時間,聯絡電話,地址,公費疫苗,自費疫苗
連江縣,南竿鄉,合約院所,291010010,連江縣立醫院,"週一下午02:00-05:00
週五上午09:00-12:00

",0836-23995分機1322,連江縣南竿鄉復興村217號,各項常規疫苗、卡介苗、育齡婦女MMR、HBIG,"成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR
、HPV"
連江縣,北竿鄉,衛生所,2391020010,連江縣北竿鄉衛生所,週四下午1:30~4:00,0836-55592,連江縣北竿鄉塘岐村25號,各項常規疫苗、卡介苗、育齡婦女MMR,成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、HPV
連江縣,莒光鄉,衛生所,2391030026,連江縣莒光鄉東莒衛生所,週三下午2:00~5:00,0836-89038,連江縣莒光鄉大坪村30之1號,各項常規疫苗、卡介苗、育齡婦女MMR,成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、HPV
連江縣,莒光鄉,衛生所,2391030016,連江縣莒光鄉西莒衛生所,週二下午2:00~5:00,0836-89122,連江縣莒光鄉青帆村14之1號,各項常規疫苗、卡介苗、育齡婦女MMR,成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、HPV
連江縣,東引鄉,衛生所,2391040012,連江縣東引鄉衛生所,有家醫科門診時段皆可,0836-77206,連江縣東引鄉中柳村123號,各項常規疫苗、卡介苗、育齡婦女MMR,成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、HPV
花蓮縣,花蓮市,衛生所,2345010015,花蓮縣花蓮市衛生所,每週二、五上午09:00-11:00卡介苗接種每月第一、三週星期一上午09:00-11:00,03-8230232#110,花蓮縣花蓮市新興路200號,各項常規疫苗、卡介苗、育齡婦女MMR、儲備不活化日本腦炎疫苗,
花蓮縣,花蓮市,合約院所,1145010010,佛教慈濟醫療財團法人花蓮慈濟醫院,"每週一至五下午14:00-17:00
卡介苗每週一、三下午15:00-17:00",03-8561825#3134,花蓮縣花蓮市中央路3段707號,各項常規疫苗、卡介苗、B型肝炎免疫球蛋白、育齡婦女MMR,幼兒A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、水痘、MMR、HPV
花蓮縣,花蓮市,合約院所,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,"每週一、二、四、六
上午09:00-12:00
下午14:00-16:30
卡介苗每週二、四
上午10:00以前",03-8241460,花蓮縣花蓮市民權路44號,各項常規疫苗、卡介苗、B型肝炎免疫球蛋白、育齡婦女MMR,水痘、帶狀皰疹疫苗
花蓮縣,花蓮市,合約院所,3545010547,呂小兒科診所,"每週一至五
下午15:00-17:30
星期六09:00-12:00",03-8329341,花蓮市博愛街201號,各項常規疫苗,
花蓮縣,花蓮市,合約院所,3545012827,張海山診所,"每週一至五
上午08:00-12:00
下午16:00-20:30
星期六08:00-12:00
星期日下午16:00-20:00",03-8353777,花蓮市中正路191號,各項常規疫苗,幼兒A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、水痘、MMR、HPV、帶狀泡疹疫苗
